Agency Name,Tier (A/B/C),Website,Submit URL,Contact Email Pattern,Phone,Specialties,Fee Range They Handle,Notable Speakers on Roster,How to Apply,Requirements,LinkedIn,Twitter,Notes
Gotham Artists,B,https://www.gothamartists.com,https://www.gothamartists.com/contact,info@gothamartists.com,(212) 328-0041,"Business, Entertainment, Celebrity, Innovation","$10K-$75K+","Various business and entertainment speakers",Submit speaker kit via email or form,Professional speaking experience; clear niche,https://www.linkedin.com/company/gotham-artists,,"NYC-based. Entertainment crossover focus. Good for media/entertainment angle."
Speak Inc Bureau,B,https://www.speakinc.com,https://www.speakinc.com/become-a-speaker,info@speakinc.com,(858) 457-9880,"Innovation, Leadership, Tech, Motivation","$10K-$50K+","Various innovation and leadership speakers",Online form + video submission,Demo reel; topic expertise; testimonials,https://www.linkedin.com/company/speakinc,,"San Diego-based. Good West Coast relationships."
Krupp Kommunications (KK) Speaking,B,https://www.kruppkom.com,https://www.kruppkom.com/contact,info@kruppkom.com,(212) 886-6710,"Business, Entrepreneurship, Women Leaders, Tech","$10K-$50K+","Various women entrepreneurs and business leaders",Referral or direct pitch,Strong media presence; women in business focus,https://www.linkedin.com/company/krupp-kommunications,,"NYC-based PR firm with speaking division. GREAT for women entrepreneur speakers like Angel."
Worldwide Speakers Group,B,https://www.worldwidespeakersgroup.com,https://www.worldwidespeakersgroup.com/contact,info@wwsg.com,(703) 373-9974,"Business, Politics, Leadership, Innovation","$15K-$100K+","Newt Gingrich, Rudy Giuliani, various executives",Submit via contact form with speaker materials,National/international recognition; clear speaking niche,https://www.linkedin.com/company/worldwide-speakers-group,@WWSG,"VA-based. Strong in political and business leadership."
The Lavin Agency,B,https://www.thelavinagency.com,https://www.thelavinagency.com/contact,info@thelavinagency.com,(416) 979-7979,"Innovation, Tech, Science, Business, Culture","$15K-$75K+","Steven Pinker, Nouriel Roubini, various TED speakers",Submit via contact form; referral helpful,Published author preferred; strong ideas/thought leadership,https://www.linkedin.com/company/the-lavin-agency,@LavinAgency,"Toronto-based. Excellent for ideas-driven speakers. TED connection. GREAT fit for Angel."
Speakers.com,B,https://www.speakers.com,https://www.speakers.com/become-a-speaker,support@speakers.com,,(All categories),"$5K-$75K+","Various speakers across categories",Register via become-a-speaker portal,Professional bio; demo video; topic descriptions,https://www.linkedin.com/company/speakers-com,,"Online marketplace + bureau hybrid. Easy to list on."
Celebrity Speakers Bureau,B,https://www.celebrityspeakersbureau.com,https://www.celebrityspeakersbureau.com/contact,info@celebrityspeakersbureau.com,(888) 832-3569,"Celebrity, Business, Entertainment, Motivation","$10K-$100K+","Various celebrities and business personalities",Submit via contact form,Some level of public recognition/media presence,,,Good for speakers with media/celebrity crossover.
Keynote Speakers Inc,B,https://www.keynotespeakers.com,https://www.keynotespeakers.com/contact,info@keynotespeakers.com,,"Business, Leadership, Innovation, Sales","$10K-$50K+","Various business keynote speakers",Email pitch with speaker kit,Professional speaking demo; established expertise,,,"Online-focused bureau. Responsive to applications."
Corporate Speakers,B,https://www.corporatespeakers.com,https://www.corporatespeakers.com/contact,info@corporatespeakers.com,,"Business, Corporate Events, Leadership, Sales","$10K-$50K+","Various corporate speakers and trainers",Submit speaker profile via email,Corporate speaking experience; polished presentation,,,"Focused on corporate events. Good for building corporate client base."
Innovative Entertainment,B,https://www.innovative-ent.com,https://www.innovative-ent.com/contact,info@innovative-ent.com,(800) 580-1383,"Business, Entertainment, Motivation, Sports","$10K-$50K+","Various entertainment and business speakers",Submit via website,Professional bio and demo materials,,,"Nashville-based. Mix of entertainment and business speakers."
AAE Speakers (All American Entertainment),C,https://www.aaespeakers.com,https://www.aaespeakers.com/contact,info@aaespeakers.com,(908) 698-0066,"Business, Celebrity, Sports, Motivation, Innovation","$5K-$50K+","Various speakers across categories",Submit via website contact form,Professional bio; speaking demo,https://www.linkedin.com/company/all-american-entertainment,@AAESpeakers,"NJ-based. Accessible. Good for building speaking resume and getting initial bookings."
All American Speakers,C,https://www.allamericanspeakers.com,https://www.allamericanspeakers.com/contactus.php,info@allamericanspeakers.com,(310) 614-1046,"All categories — Business, Tech, Sports, Celebrity","$5K-$50K+","Wide range of speakers",Online profile submission,Basic professional credentials; speaking topics,,,"LA-based. Very accessible. Low barrier to entry."
eSpeakers,C,https://www.espeakers.com,https://www.espeakers.com/marketplace/speaker/signup,support@espeakers.com,,"All categories — marketplace model","$2K-$50K+","Thousands of speakers across all levels",Create speaker profile on platform,Free to create basic profile; premium tiers available,https://www.linkedin.com/company/espeakers,@espeakers,"Industry-standard speaker management platform. Many bureaus use it as back-end. MUST be on this platform."
SpeakerHub,C,https://www.speakerhub.com,https://www.speakerhub.com/signup,support@speakerhub.com,,"All categories — marketplace model","$1K-$25K+","Thousands of speakers globally",Create free speaker profile,Free basic profile; premium profile available,https://www.linkedin.com/company/speakerhub,@speakerhub,"Good for SEO — profiles rank well in Google. Free to start."
GigSalad,C,https://www.gigsalad.com,https://www.gigsalad.com/join,support@gigsalad.com,,"Events, Corporate, Entertainment, Speakers","$1K-$15K+","Various speakers and entertainers",Create vendor profile,Free to browse; paid membership for leads ($10-30/month),https://www.linkedin.com/company/gigsalad,@GigSalad,"More entertainment-focused but has corporate speaker category. Good for smaller/regional gigs."
Engage (formerly Premiere Motivational Speakers),C,https://www.engagespeakers.com,https://www.engagespeakers.com/contact,info@engagespeakers.com,,"Business, Motivation, Leadership, Innovation","$5K-$25K+","Various emerging speakers",Submit via website form,Speaking demo; professional bio,,,Good for emerging speakers building their resume.
SpeakerMatch,C,https://www.speakermatch.com,https://www.speakermatch.com/register,support@speakermatch.com,,"All categories — matching platform","$1K-$25K+","Various speakers",Create speaker profile; get matched with opportunities,Free basic profile; premium for direct leads,,,"Matching platform connecting speakers with event planners. Good lead source."
BookingSpeakers.com,C,https://www.bookingspeakers.com,https://www.bookingspeakers.com/contact,info@bookingspeakers.com,,"Business, Innovation, Motivation","$5K-$25K+","Various business speakers",Submit via contact form,Professional bio and demo,,,"Straightforward booking service."
FindASpeaker.com,C,https://www.findaspeaker.com,https://www.findaspeaker.com/register,info@findaspeaker.com,,"All categories","$2K-$25K+","Various speakers",Register and create profile,Basic professional credentials,,,"Search-focused platform. Good for inbound leads."
Sessionize,C,https://sessionize.com,https://sessionize.com/app/signup,support@sessionize.com,,"Tech, Innovation, Conferences — CFP platform","$0-$25K+","Tech conference speakers",Create profile; respond to CFPs,Free profile; tech/innovation focus,https://www.linkedin.com/company/sessionize,@sessionaborni,"Primary CFP platform for tech conferences. MUST have a profile here for conference speaking."
Notist,C,https://noti.st,https://noti.st/signup,support@noti.st,,"Tech, Design, Innovation — portfolio platform","$0-$25K+","Tech and design speakers",Create speaker portfolio,Free profile; upload past talks,,,"Speaker portfolio platform. Great for showcasing past talks. Not a booking platform per se."
LinkedIn Service Marketplace,C,https://www.linkedin.com/services,https://www.linkedin.com/services,N/A,,"Business, Professional services including speaking","$1K-$50K+","Various professionals",Enable 'Services' on LinkedIn profile,LinkedIn profile; services listed,,,"Free. Increasingly used by event planners to find speakers. Enable 'Keynote Speaker' service."
ProSpeaker.com,C,https://www.prospeaker.com,https://www.prospeaker.com/register,info@prospeaker.com,,"Business, Motivation, Leadership","$2K-$15K+","Various professional speakers",Create speaker profile,Speaking experience,,,"Directory-style. Good for SEO and inbound."
Champion Speakers (UK),C,https://www.championspeakers.co.uk,https://www.championspeakers.co.uk/contact,info@championspeakers.co.uk,+44 1onal 7,"Business, Celebrity, Sports, Innovation","£3K-£25K+","Various UK and international speakers",Submit via contact form,Bio and speaking credentials,,,"UK-based. Good for entering UK market at accessible level."
Speaker Booking Agency,C,https://www.speakerbookingagency.com,https://www.speakerbookingagency.com/contact,info@speakerbookingagency.com,(888) 752-5831,"Business, Innovation, Celebrity, Motivation","$5K-$30K+","Various speakers",Submit via contact form,Professional bio; speaking demo,,,"Accessible mid-market agency."
Hunt Big Sales (niche),C,https://www.huntbigsales.com,https://www.huntbigsales.com/contact,info@huntbigsales.com,,"Sales, Business Growth, Entrepreneurship","$5K-$25K+","Sales and business growth speakers",Apply via website,Sales/business growth expertise,,,Niche — sales conferences. Relevant for Angel's growth/capital topics.
Catalyst Speakers,C,https://www.catalystspeakers.com,https://www.catalystspeakers.com/contact,info@catalystspeakers.com,,"Innovation, Change, Leadership, Women in Business","$5K-$25K+","Various innovation and diversity speakers",Submit via website contact,Innovation/leadership focus,,,"Good fit for women in tech/business angle."
Speakers Inc (South Africa/International),C,https://www.speakersinc.com,https://www.speakersinc.com/become-a-speaker,info@speakersinc.com,,"Business, Innovation, Leadership, Diversity","$3K-$20K+","Various international speakers",Submit via become-a-speaker form,International availability; bio and demo,,,"South African-based but books internationally. Gateway to African/emerging market circuit."
A-Speakers (Scandinavia/Europe),C,https://www.a-speakers.com,https://www.a-speakers.com/contact,info@a-speakers.com,,"Business, Innovation, Tech, Leadership","€3K-€25K+","Various European and international speakers",Submit via contact form,European/international availability,,,"Scandinavian-based. Good for Northern European market."
Ovation Speakers,C,https://www.ovationspeakers.com,https://www.ovationspeakers.com/contact,info@ovationspeakers.com,,"Business, Leadership, Motivation","$5K-$20K+","Various business speakers",Submit via website,Bio and demo reel,,,"Accessible mid-market bureau."
Motivational Speaker Agency (UK),C,https://www.motivationalspeakeragency.co.uk,https://www.motivationalspeakeragency.co.uk/contact,info@motivationalspeakeragency.co.uk,,"Business, Motivation, Leadership, Innovation","£2K-£15K+","Various UK speakers",Submit via contact form,UK availability; speaking credentials,,,"Good for UK market entry at accessible price points."
Speaker Ideas,C,https://www.speakerideas.com,https://www.speakerideas.com/contact,info@speakerideas.com,,"Business, Innovation, Tech, Leadership","$5K-$25K+","Various business and innovation speakers",Submit via website,Professional credentials and demo,,,"Online-focused bureau. Responsive to new speakers."
Right Source Speakers,C,https://www.rightsourcespeakers.com,https://www.rightsourcespeakers.com/contact,info@rightsourcespeakers.com,,"Business, Leadership, Innovation, Diversity","$5K-$20K+","Various emerging speakers",Submit via contact form,Speaking experience; clear topic niche,,,"Newer bureau actively building roster. Good for getting in early."
