Platform Name,Type,How It Works,Fee Range,Commission,Website,Submit URL,Requirements,Notes
ProSpeaker,Directory,"Speaker directory focused on professional/business speakers. Good for SEO and discovery.","$2K-$25K+","Free basic listing",https://www.prospeaker.com,https://www.prospeaker.com/register,"Speaking experience, professional bio","Directory-style. Helps with search engine visibility."
Speakers.com,Bureau + Marketplace,"Hybrid bureau/marketplace. Both actively market speakers and allow event planners to search/book directly.","$5K-$75K+","Bureau commission on bureau-initiated bookings",https://www.speakers.com,https://www.speakers.com/become-a-speaker,"Professional credentials, demo video","Large platform. Good visibility across price ranges."
FindASpeaker,Directory/Matching,"Search-focused platform where event planners find speakers by topic, location, fee range.","$2K-$25K+","Free basic listing",https://www.findaspeaker.com,https://www.findaspeaker.com/register,"Basic profile, topics, fee range","Good for inbound discovery."
BookingSpeakers,Booking Service,"Direct booking platform. Create profile, set rates, receive booking inquiries.","$5K-$30K+","Platform commission on bookings",https://www.bookingspeakers.com,https://www.bookingspeakers.com/contact,"Professional profile, speaking topics","Straightforward booking service."
Speaker Booking Agency,Booking Platform,"Online speaker booking platform. Create profile, get booked for corporate and conference events.","$5K-$30K+","Platform commission on bookings",https://www.speakerbookingagency.com,https://www.speakerbookingagency.com/contact,"Bio, demo materials, topic list","Growing platform. Responsive to applications."
Expertise.tv,Video-First Platform,"Video-first speaker platform. Upload talk recordings, get discovered by event planners who want to see you speak before booking.","$5K-$50K+","Free basic; premium options available",https://www.expertise.tv,https://www.expertise.tv/signup,"Video recordings of past talks","Video-first discovery. Great if you have strong stage footage."
National Speakers Association (NSA) Directory,Professional Association,"NSA membership includes listing in their speaker directory. Event planners search for NSA-certified speakers.","$5K-$50K+","Membership: ~$650/year",https://www.nsaspeaker.org,https://www.nsaspeaker.org/membership,"NSA membership; speaking track record","Professional credibility. CSP (Certified Speaking Professional) designation is gold standard. Worth pursuing."
Toastmasters International (referral network),Professional Development,"Not a booking platform, but Toastmasters chapters often hire speakers for events, and members become referral sources.","$2K-$10K+","Free (attend as guest; membership ~$50/6months if desired)",https://www.toastmasters.org,https://www.toastmasters.org/find-a-club,"Willingness to engage with local chapters","Toastmasters members = event planners, HR people, executives. Great referral network."
SpeakerFlow (CRM),Speaker CRM Tool,"Not a marketplace — it's a CRM and business tool specifically built for professional speakers. Manage leads, contracts, follow-ups.","N/A (business tool)","Starting at ~$50/month",https://www.speakerflow.com,https://www.speakerflow.com/demo,"Active speaking business","Essential business tool once you're doing 10+ talks/year. Tracks leads, manages contracts, invoicing."
A-Speakers,European Marketplace,"European speaker marketplace. Create profile, get discovered by European event planners.","€3K-€50K+","Free listing; commission on bookings",https://www.a-speakers.com,https://www.a-speakers.com/contact,"International availability","Gateway to European market. Good for expanding beyond US."
Champion Speakers,UK Marketplace,"UK speaker marketplace. Create profile, get booked for UK/European events.","£2K-£25K+","Commission on bookings",https://www.championspeakers.co.uk,https://www.championspeakers.co.uk/contact,"UK/European availability","UK market access."
Speakeasy (corporate),Corporate Platform,"Platform matching speakers with corporate off-sites and leadership events. Curated speaker roster.","$10K-$30K+","Platform commission",https://www.speakeasyco.com,https://www.speakeasyco.com/speakers,"Corporate speaking experience; curated roster","Corporate-focused. Good for corporate retreat/off-site bookings."
