Podcast Name,Host,Audience Size (est.),Topic Fit,Frequency,How to Pitch,Submit/Contact URL,Email Pattern,LinkedIn (Host),Twitter (Host),YouTube,Past Guest Examples,Why Good Fit for Angel,Priority,Notes
The Knowledge Project,Shane Parrish,"200K+/ep",Decision Making / Mental Models / Wisdom,Bi-weekly,"Email pitch to team; Shane is selective about wisdom-oriented guests",https://fs.blog/contact/,"info@fs.blog",https://www.linkedin.com/in/shaneparrish/,@ShaneAParrish,Yes,"Naval Ravikant, Annie Duke, Daniel Kahneman","5 exits = 5 cycles of decisions under uncertainty. Angel's pattern recognition across investments is Shane's sweet spot",A,"Pitch the decision-making framework from 5 exits. What mental models survived all 5?"
Hard Fork,Kevin Roose & Casey Newton,"200K+/ep",Tech / AI / Culture / Social Media,Weekly,"NYT production team; pitch via NYT opinion/contact or warm intro",https://www.nytimes.com/column/hard-fork,"hardfork@nytimes.com",https://www.linkedin.com/in/kevinroose/,@kevinroose @CaseyNewton,Yes,"Sam Altman, various tech executives","AI + Human Potential angle; also women-in-tech perspective on AI's impact fits their cultural tech lens",A,"NYT show — very credibility-building. Pitch a news-pegged AI angle."
,,,,,,,,,,,,,,
=== TIER B: Strong Niche Shows (10K-50K audience) ===,,,,,,,,,,,,,,
Angel (Podcast),Jason Calacanis,"30K+/ep",Angel Investing / Early Stage / Startups,Weekly,"Direct pitch to Jason; overlap with TWIST",https://angel.co/podcast,"jason@calacanis.com",https://www.linkedin.com/in/jasoncalacanis/,@Jason,Yes,"Various angel investors and founders","The show is literally named after what Angel does. 40+ investments. Name is Angel. Come on.",A,"Highest probability Tier A/B show. The name alone is a hook. Pitch immediately."
Venture Stories (Village Global),Erik Torenberg,"20K+/ep",VC / Startups / Future of Work,Weekly,"Email pitch; Erik is accessible on Twitter",N/A,"erik@villageglobal.vc",https://www.linkedin.com/in/eriktorenberg/,@ericktorenberg,No,"Marc Andreessen, Naval Ravikant, various founders","Future of work + angel investing + community building — all core Village Global themes",B,"Erik values novel frameworks. Pitch a specific thesis about how angel investing is changing."
SaaStr Podcast,Jason Lemkin,"30K+/ep",SaaS / B2B / Scaling / Revenue,2-3x/week,"Apply via SaaStr; also pitch at SaaStr Annual conference",https://www.saastr.com/podcast/,"podcast@saastr.com",https://www.linkedin.com/in/jasonlemkin/,@jasonlk,Yes,"Aaron Levie, Dharmesh Shah, various SaaS founders/CROs","If any of Angel's 40+ investments are SaaS, that's the hook. Community building at scale also relevant",B,"Pitch with specific SaaS metrics or investment learnings."
Indie Hackers,Courtland Allen,"30K+/ep",Bootstrapping / Solo Founders / Online Business,Irregular,"Email pitch; community-driven booking",https://www.indiehackers.com/podcast,"courtland@indiehackers.com",https://www.linkedin.com/in/courtlandallen/,@csaborallen,Yes,"Pieter Levels, various bootstrapped founders","Angel Club as a community-building case study; also angel investing in indie/bootstrapped companies",B,"Less traditional fit but community angle works. Pitch the 'building in public' or 'community as product' angle."
StartUp Podcast (Gimlet),Various hosts,"50K+/ep (historical)",Startup Stories / Behind the Scenes,Irregular (legacy),"Series format; pitch a story arc to Gimlet/Spotify",https://gimletmedia.com/shows/startup,"N/A",N/A,N/A,No,"Alex Blumberg (creator), various startup founders","Angel's 5-exit journey could be a multi-part narrative. Nfluence Partners origin story is compelling",B,"Show is less active but still has massive back catalog audience. Worth pitching if they do new seasons."
Foundr Podcast,Nathan Chan,"25K+/ep",Entrepreneurship / Ecommerce / Growth,Weekly,"Apply via website; Foundr is accessible to pitches",https://foundr.com/podcast/,"podcast@foundr.com",https://www.linkedin.com/in/nathanhchan/,@nathanhchan,Yes,"Richard Branson, Arianna Huffington, Gary Vee","Broad entrepreneurship audience. Angel's multi-exit story + investing portfolio = strong content",B,"Good middle-tier show with engaged audience. Easy booking process."
Startup Hustle,Matt DeCoursey & Matt Watson,"15K+/ep",Startups / Entrepreneurship / Real Talk,Daily,"Email pitch; high volume show needs guests",https://startuphustle.xyz/podcast/,"matt@startuphustle.xyz",https://www.linkedin.com/in/mattdecoursey/,@shortmattlong,Yes,"Various founders and investors","High-frequency show = more likely to book. Angel's diverse background gives multiple episode angles",B,"Easy to book. Good for building podcast reel. Pitch any angle."
Mixergy,Andrew Warner,"20K+/ep",Startups / Entrepreneurship / Founder Stories,2-3x/week,"Apply via website; Andrew does thorough pre-interviews",https://mixergy.com/contact/,"andrew@mixergy.com",https://www.linkedin.com/in/andrewwarner/,@AndrewWarner,Yes,"Paul Graham, Gary Vee, various YC founders","Andrew loves deep founder stories. 5 exits gives 5 episodes worth of content",B,"Andrew does excellent prep. Be ready for deep-dive questions. Great for detailed storytelling."
Tropical MBA,Dan Andrews,"15K+/ep",Location-Independent Business / Entrepreneurship,Weekly,"Email pitch to Dan; engaged community",https://www.tropicalmba.com/podcast/,"dan@tropicalmba.com",https://www.linkedin.com/in/danandrews/,@TropicalMBA,No,"Various location-independent entrepreneurs","Angel Club's global community + Bay Area base but global reach = relevant to their audience",C,"Niche but loyal audience. Good if pivoting to remote/global angle."
Founder Coffee,Jeroen Corthout,"10K+/ep",Entrepreneurship / Founder Life / SaaS,Weekly,"Email pitch; smaller show, high acceptance rate",https://www.salesflare.com/founder-coffee,"jeroen@salesflare.com",https://www.linkedin.com/in/jeroencorthout/,@JeroenCorthout,No,"Various SaaS founders","Intimate show format. Good for personal founder story. Easy to book.",B,"Good for building podcast portfolio. Low-key, authentic conversations."
Rethink with Jason Feifer (Entrepreneur Magazine),Jason Feifer,"20K+/ep",Innovation / Business / Adaptability,Weekly,"Email pitch; Jason is editor of Entrepreneur",https://www.jasonfeifer.com/podcast/,"jason@jasonfeifer.com",https://www.linkedin.com/in/jasonfeifer/,@haboreyfeifer,No,"Various founders and business leaders","Angel's reinvention story across 5 companies + pivot to investing + M&A = ultimate adaptability narrative",B,"Pitch the career reinvention angle. Each exit was a pivot point."
Unlearn Podcast,Barry O'Reilly,"10K+/ep",Leadership / Innovation / Unlearning,Bi-weekly,"Email pitch; Barry values unconventional thinkers",https://barryoreilly.com/podcast/,"barry@barryoreilly.com",https://www.linkedin.com/in/barryoreilly/,@barryoreilly,No,"Various executives and founders","5 exits = 5 times Angel had to unlearn what worked before. Perfect thematic fit",B,"Pitch the 'unlearning between exits' angle. Each company required a different playbook."
The Bootstrapped Founder,Arvid Kahl,"15K+/ep",Bootstrapping / SaaS / Building in Public,Weekly,"Email pitch; Arvid is very accessible",https://thebootstrappedfounder.com/podcast/,"arvid@thebootstrappedfounder.com",https://www.linkedin.com/in/arvidkahl/,@arvidkahl,Yes,"Various bootstrapped founders","Angel Club community building + angel investing in bootstrapped companies angle",C,"More indie-focused but community building resonates."
The Logan Bartlett Show,Logan Bartlett,"15K+/ep",Venture Capital / Tech / Startups,Weekly,"Email pitch; Logan is at Redpoint Ventures",N/A,"logan@redpoint.com",https://www.linkedin.com/in/loganbartlett/,@loganbartlett,Yes,"Various tech founders and VCs","Angel investing perspective + M&A expertise. Logan covers venture broadly",B,"Pitch the operator-to-investor transition."
The Dales Report,Matthew Dales,"10K+/ep",Venture Capital / Tech / Crypto,2x/week,"Email pitch through website",https://thedalesreport.com/contact,"N/A",https://www.linkedin.com/in/matthewdales/,@TheDalesReport,Yes,"Various VCs and tech founders","Angel investing + tech ecosystem coverage",C,"Good for building out investor brand."
,,,,,,,,,,,,,,
=== TIER C: Women/Diversity Focused ===,,,,,,,,,,,,,,
Second Life,Hillary Kerr,"50K+/ep",Career Reinvention / Women in Business,Weekly,"Email pitch; show focuses on career pivots",https://www.secondlifepod.com/,"hillary@secondlifepod.com",https://www.linkedin.com/in/hillarykerr/,@hillarykerr,No,"Bobbi Brown, Rebecca Minkoff, various career pivoters","Angel's multiple career transitions (founder → investor → M&A advisor) IS a second life story. Multiple second lives!",A,"Perfect fit. Pitch the serial reinvention angle."
WorkLife with Adam Grant,Adam Grant,"500K+/ep",Work Culture / Psychology / Leadership,Seasonal,"Pitch via TED production team; Adam is very selective",https://www.ted.com/podcasts/worklife,"N/A",https://www.linkedin.com/in/adammgrant/,@AdamMGrant,Yes,"Various organizational leaders and researchers","Angel Club community building + leadership across 5 companies + future of work expertise",A,"Very competitive but very high value. Pitch a research-backed angle."
Girlboss Radio,Sophia Amoruso / Various,20K+/ep,Women in Business / Entrepreneurship / Leadership,Weekly,"Pitch via website; show actively seeks women founders",https://girlboss.com/podcasts,"podcast@girlboss.com",https://www.linkedin.com/in/sophiaamoruso/,@sophiaamoruso,No,"Jen Rubio, Glossier team, various women founders","5x exited woman entrepreneur. WIRED Top 100. Runs a community of 6400+ founders. Dream guest for Girlboss",A,"Very strong fit. Lead with the exits and community building."
Being Boss,Emily Thompson & Kathleen Shannon,"20K+/ep",Creative Entrepreneurship / Boss Mindset,Weekly,"Email pitch; community-focused show",https://beingboss.club/podcast,"hello@beingboss.club",https://www.linkedin.com/in/emilytaborhompson/,@beingbossclub,No,"Various women entrepreneurs and creatives","Angel's entrepreneurial mindset + community building + multiple businesses = strong alignment",B,"Good for reaching creative entrepreneur audience."
She Did It Her Way,Amanda Boleyn,"10K+/ep",Women Entrepreneurs / Side Hustles / Business,Weekly,"Email pitch via website",https://shediditherwaypodcast.com/,"amanda@shediditherwaypodcast.com",https://www.linkedin.com/in/amandaboleyn/,@amandaboleyn,No,"Various women entrepreneurs","Angel's 5-exit story from a woman entrepreneur perspective is powerful and rare",B,"Easy to book. Good for women-focused audience."
The Broad Experience,Ashley Milne-Tyte,"15K+/ep",Women in the Workplace / Gender / Business,Bi-weekly,"Email pitch; Ashley is journalist, values research-backed perspectives",https://www.thebroadexperience.com/contact,"ashley@thebroadexperience.com",https://www.linkedin.com/in/ashleyamilnetyte/,@ashleymilnetyte,No,"Various women leaders and researchers","Funding gap perspective + running a mixed-gender investor community + 5 exits as a woman",B,"Pitch the systemic angle: what Angel sees across 40+ investments re: gender dynamics."
Women at Work (HBR),Amy Bernstein & Amy Gallo & Emily Caulfield,"50K+/ep",Women in Business / Leadership / Workplace Issues,Weekly,"Pitch via HBR podcast team",https://hbr.org/podcast/women-at-work,"womenatwork@hbr.org",https://www.linkedin.com/in/amybernstein/,@amybernstein,No,"Various women executives and researchers","HBR audience = senior leaders. Angel's experience across VC, M&A, entrepreneurship = credible voice on women at work",A,"High credibility platform. Pitch with data from Angel Club about women founders' experiences."
Redefining Wealth,Patrice Washington,"25K+/ep",Women / Wealth / Purpose / Entrepreneurship,Weekly,"Email pitch; Patrice values purposeful entrepreneurship",https://patricewashington.com/podcast/,"hello@patricewashington.com",https://www.linkedin.com/in/patricewashington/,@SeekWisdomPCW,No,"Various women entrepreneurs and wealth builders","Angel investing + multiple exits + building wealth through entrepreneurship = core theme alignment",B,"Pitch the wealth-building-through-serial-entrepreneurship angle."
Ellevate Podcast,Kristy Wallace,"15K+/ep",Women in Business / Leadership / Network,Weekly,"Pitch via Ellevate Network",https://www.ellevatenetwork.com/podcast,"podcast@ellevatenetwork.com",https://www.linkedin.com/in/kristywallace/,@kristy_wallace,No,"Various women executives and founders","Angel Club + Ellevate are complementary communities. Natural partnership opportunity",B,"Pitch as community builder to community. Explore cross-promotion."
Her Money,Jean Chatzky,"30K+/ep",Women / Finance / Money / Investing,Weekly,"Email pitch via NBCUniversal team",https://hermoney.com/podcast/,"podcast@hermoney.com",https://www.linkedin.com/in/jeanchatzky/,@JeanChatzky,No,"Various women in finance and business","Angel investing from a woman investor's perspective. 40+ investments = real track record",B,"Pitch the 'women as angel investors' angle. How to start investing in startups."
The Wing Woman Podcast,Various,"10K+/ep",Women in Business / Community / Career,Bi-weekly,"Email pitch",N/A,"N/A",N/A,N/A,No,"Various women founders","Community building focus aligns with Angel Club",C,"Smaller show but targeted audience."
Goal Digger,Jenna Kutcher,"50K+/ep",Women / Entrepreneurship / Marketing / Growth,Weekly,"Email pitch via team; Jenna books diverse female founders",https://jennakutcher.com/podcast/,"hello@jennakutcher.com",https://www.linkedin.com/in/jennakutcher/,@jennakutcher,No,"Amy Porterfield, various women entrepreneurs","Large women entrepreneur audience. Angel's story resonates with aspiring founders",B,"Pitch the scaling and exits angle. Most of Jenna's audience is early-stage."
Superwomen with Rebecca Minkoff,Rebecca Minkoff,"20K+/ep",Women Entrepreneurs / Fashion / Tech,Bi-weekly,"Pitch via Rebecca's team; founder-to-founder format",N/A,"N/A",https://www.linkedin.com/in/rebeccaminkoff/,@rebeccaminkoff,No,"Various women founders and investors","Rebecca is herself a founder who pivoted to community (Female Founder Collective). Mirror story to Angel",B,"Strong fit — two community-building women founders in conversation."
The Marie Forleo Podcast,Marie Forleo,"100K+/ep",Entrepreneurship / Personal Development / Women,Weekly,"Apply via website; Marie is selective but values entrepreneurship stories",https://www.marieforleo.com/podcast,"N/A",https://www.linkedin.com/in/marieforleo/,@marieforleo,Yes,"Various entrepreneurs and authors","Large audience of aspiring women entrepreneurs. Angel's multiple exits = aspirational but achievable",A,"High reach, very engaged female audience. Pitch the personal transformation angle."
,,,,,,,,,,,,,,
=== TIER D: Investor/Finance Focused ===,,,,,,,,,,,,,,
Capital Allocators,Ted Seides,"50K+/ep",Investing / Capital Allocation / Institutional,Weekly,"Email pitch to Ted; he values unique investment perspectives",https://capitalallocators.com/contact/,"ted@capitalallocators.com",https://www.linkedin.com/in/tedseides/,@taboredseides,No,"David Swensen, Ray Dalio, Howard Marks, various CIOs","Angel investing as capital allocation + M&A advisory = institutional-grade perspective from a non-institutional investor",A,"Ted loves non-traditional allocators. Pitch the 'angel investor as capital allocator' framework."
Meb Faber Show,Meb Faber,"40K+/ep",Investing / Markets / Quant / Alternative Assets,2-3x/week,"Email pitch; Meb is very accessible and books quickly",https://mebfaber.com/podcast/,"meb@cambriainvestments.com",https://www.linkedin.com/in/maborebfaber/,@MebFaber,Yes,"Various investors, quant researchers, asset managers","Angel investing as alternative asset class. 40+ startup investments = real portfolio data",B,"Meb loves data and alternative strategies. Pitch angel investing returns and portfolio construction."
Rational Reminder,Ben Felix & Cameron Passmore,"30K+/ep",Evidence-Based Investing / Financial Planning,Weekly,"Email pitch; Canadian show with global reach",https://rationalreminder.ca/podcast,"info@rationalreminder.ca",https://www.linkedin.com/in/benjaminfelix/,@BenFelixCSI,Yes,"Various finance academics and practitioners","Angel investing from an evidence-based perspective. What does the data actually say about angel returns?",B,"Academic-leaning audience. Pitch with data and frameworks, not just stories."
Animal Spirits,Michael Batnick & Ben Carlson,"30K+/ep",Markets / Investing / Pop Culture,2x/week,"Email pitch; both hosts are active on Twitter",https://theirrelevantinvestor.com/,"N/A",https://www.linkedin.com/in/michaelbatnick/,@michaelbatnick @awealthofcs,Yes,"Various finance personalities","Lighter investing show. Angel's stories would fit their conversational, pop-culture-meets-finance format",B,"Casual format. Pitch a fun angle — 'what 5 exits taught me about money.'"
The Pomp Podcast,Anthony Pompliano,"100K+/ep",Investing / Business / Entrepreneurship / Crypto,Daily,"Email pitch; Pomp books very frequently",https://www.pompshow.com/,"pomp@anthonypompliano.com",https://www.linkedin.com/in/anthonypompliano/,@APompliano,Yes,"Mark Cuban, various founders and investors","High-frequency show. Angel investing + entrepreneurship + capital formation angles all fit",A,"Easy to get booked. Pomp does 5+ episodes/week. Lead with a bold investing thesis."
We Study Billionaires (TIP),Preston Pysh & Stig Brodersen,"50K+/ep",Value Investing / Entrepreneurship / Business,Weekly,"Email pitch to team",https://www.theinvestorspodcast.com/contact/,"info@theinvestorspodcast.com",https://www.linkedin.com/in/prestonpysh/,@PrestonPysh,Yes,"Warren Buffett (analysis), Mohnish Pabrai, Guy Spier","Angel's investment philosophy across 40+ startups. How she evaluates companies before the market does",B,"Pitch the 'private market investor evaluating like a public market investor' angle."
The Indicator (NPR / Planet Money),Various NPR hosts,"100K+/ep",Economics / Business / Markets / Indicators,Daily (short 10 min),"Pitch via NPR; short-format show focused on economic stories",https://www.npr.org/podcasts/510325/the-indicator-from-planet-money,"N/A",N/A,N/A,No,"Various economists and business people","Short format — Angel could discuss a specific economic indicator related to startup funding or M&A activity",B,"Pitch a specific data point or trend. Very short format so needs tight hook."
Motley Fool Money,Various Motley Fool hosts,"50K+/ep",Investing / Stocks / Business News,Daily,"Pitch via Motley Fool production team",https://www.fool.com/podcasts/,"podcasts@fool.com",https://www.linkedin.com/company/the-motley-fool/,@MotleyFool,Yes,"Various analysts and business leaders","M&A advisory perspective on public markets and tech trends",B,"Pitch around M&A trends or a specific public company acquisition analysis."
The Compound & Friends,Downtown Josh Brown & Michael Batnick,"40K+/ep",Markets / Finance / Media / Culture,Weekly (live),"Email pitch; Josh is very active on Twitter",https://thecompoundnews.com/,"N/A",https://www.linkedin.com/in/joshbrown/,@ReformedBroker,Yes - YouTube primary,"Various finance media personalities","Josh values strong personalities and women in finance. Media/entertainment background is a plus",B,"Pitch via Twitter engagement first. Josh books people he finds interesting online."
Odd Lots (Bloomberg),Tracy Alloway & Joe Weisenthal,"100K+/ep",Economics / Markets / Unusual Topics,2x/week,"Pitch via Bloomberg; hosts respond to Twitter DMs",N/A,"oddlots@bloomberg.net",https://www.linkedin.com/in/tracyalloway/,@tracyalloway @TheStalwart,No,"Various economists and niche experts","The 'odd lot' is angel investing patterns — what founders get wrong about raising, what investors actually fund",B,"Pitch a contrarian or unexpected finding from 40+ angel investments."
,,,,,,,,,,,,,,
=== TIER E: AI/Tech Focused ===,,,,,,,,,,,,,,
Practical AI,Daniel Whitenack & Chris Benson,"20K+/ep",Applied AI / ML / Real World AI Use Cases,Weekly,"Email pitch; show focuses on practical applications",https://changelog.com/practicalai,"practicalai@changelog.com",https://www.linkedin.com/in/dwhitena/,@daborwhitena,No,"Various AI practitioners and researchers","AI + Human Potential angle with real business applications from Angel's portfolio companies",B,"Pitch how AI is being applied across Angel Club's 6400+ founder community."
TWIML AI Podcast (This Week in ML),Sam Charrington,"25K+/ep",Machine Learning / AI Research / Industry,Weekly,"Apply via website; Sam values industry perspectives alongside research",https://twimlai.com/podcast/,"sam@twimlai.com",https://www.linkedin.com/in/samcharrington/,@samcharrington,No,"Various AI researchers and practitioners","AI + Human Potential fits their industry perspective track. Not purely technical but applied",B,"Pitch the business/human side of AI adoption. Less technical, more strategic."
The AI Podcast (NVIDIA),Noah Kravitz,"30K+/ep",AI / Deep Learning / GPU Computing / Industry,Weekly,"Pitch via NVIDIA communications team",https://blogs.nvidia.com/ai-podcast/,"N/A",https://www.linkedin.com/in/noahkravitz/,@noahkravitz,No,"Jensen Huang, various AI researchers and founders","If Angel's portfolio includes AI companies, that's the hook. Otherwise pitch AI + entrepreneurship intersection",B,"NVIDIA-adjacent topics preferred. Pitch AI investment thesis."
No Priors,Sarah Guo & Elad Gil,"50K+/ep",AI / Startups / Venture Capital,Weekly,"Warm intro preferred; both hosts are VCs (Conviction, various)",N/A,"N/A",https://www.linkedin.com/in/sarahguo/,@sarahguo @eaborladgil,Yes,"Various AI founders and researchers","AI investing thesis + operator background + women in AI/VC = strong fit for Sarah Guo's perspective",A,"Sarah Guo is a female VC who champions AI. Natural affinity with Angel. Try warm intro."
The Vergecast,Nilay Patel & David Pierce,"100K+/ep",Tech / Media / Culture / Gadgets,Weekly,"Pitch via Vox Media; more news-focused",https://www.theverge.com/the-vergecast,"N/A",https://www.linkedin.com/in/nilaypatel/,@raboreckless,No,"Various tech executives and journalists","Media/entertainment background + tech investing = interesting perspective for Verge audience",C,"Hard to get booked as non-news guest. Pitch around a timely tech topic."
a]6z Podcast,Various a16z partners,"50K+/ep",Tech / Startups / Crypto / AI / Bio,2-3x/week,"Warm intro through a16z network; they book people in their portfolio orbit",https://a16z.com/podcasts/,"N/A",N/A,@a16z,Yes,"Various a16z portfolio founders and partners","If any of Angel's 40+ investments overlap with a16z thesis areas, that's the entry point",B,"Need warm intro through a16z network. Pitch a specific thesis that aligns with their investment areas."
Decoder (with Nilay Patel),Nilay Patel,"50K+/ep",Business / Tech / Leadership / Decision Making,Weekly,"Pitch via Vox Media production team",https://www.theverge.com/decoder-podcast-with-nilay-patel,"N/A",https://www.linkedin.com/in/nilaypatel/,@reckless,No,"Various CEOs and tech leaders","How Angel makes decisions across investing, M&A, and community building. Decision-making framework",B,"More business-focused than Vergecast. Pitch the decision-making angle."
BG2Pod,Bill Gurley & Brad Gerstner,"50K+/ep",Venture Capital / Markets / Tech,Bi-weekly,"Warm intro; both are major VCs",N/A,"N/A",https://www.linkedin.com/in/billgurley/,@bgurley,Yes - YouTube,"Various VCs and tech leaders","Angel investing perspective + M&A advisory as a bridge between VC and public markets",A,"New show but massive reach. Need warm intro through VC network."
