Name,Email,Location (City),Location (State),Location (Country),Type of Investor,Stage: Investment Thesis,Sector: Investment Thesis,LinkedIn,Website,Fund,Leads Rounds?,Typical Check Size,Fund Size
Cho Jae-beom,,Seoul,,South Korea,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Private Equity",,https://www.kic.kr,Korea Investment Corporation,No,$50M-$300M,$230B
National Pension Service (NPS Korea),,Jeonju,,South Korea,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Alternative Investments",,https://www.nps.or.kr,National Pension Service,No,$100M-$500M,$800B+
Kim Tae-hyun,,Jeonju,,South Korea,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Alternative Investments",,https://www.nps.or.kr,National Pension Service,No,$100M-$500M,$800B+
Park Sung-ho,,Jeonju,,South Korea,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Private Equity",,https://www.nps.or.kr,National Pension Service,No,$100M-$500M,$800B+
Japan Investment Corporation (JIC),,Tokyo,,Japan,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Semiconductors, Deep Tech",,https://www.j-ic.co.jp,Japan Investment Corporation,Yes,$50M-$500M,$200B
Yokoo Toshihide,,Tokyo,,Japan,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Innovation",,https://www.j-ic.co.jp,Japan Investment Corporation,No,$50M-$500M,$200B
Tanaka Masaaki,,Tokyo,,Japan,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Semiconductors",,https://www.j-ic.co.jp,Japan Investment Corporation,No,$50M-$500M,$200B
Government Pension Investment Fund (GPIF),,Tokyo,,Japan,Sovereign Wealth Fund,Late Stage,"Technology, Global Markets",,https://www.gpif.go.jp,Government Pension Investment Fund,No,$500M+,$1.7T
Miyazono Masataka,,Tokyo,,Japan,Sovereign Wealth Fund,Late Stage,"Technology, Global Markets",,https://www.gpif.go.jp,Government Pension Investment Fund,No,$500M+,$1.7T
Ueda Eiji,,Tokyo,,Japan,Sovereign Wealth Fund,Late Stage,"Technology, Alternative Investments",,https://www.gpif.go.jp,Government Pension Investment Fund,No,$500M+,$1.7T
Khazanah Nasional,,Kuala Lumpur,,Malaysia,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Healthcare, Infrastructure",,https://www.khazanah.com.my,Khazanah Nasional,Yes,$25M-$300M,$40B
Amirul Feisal Wan Zahir,,Kuala Lumpur,,Malaysia,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",https://www.linkedin.com/in/amirulfeisalwanzahir/,https://www.khazanah.com.my,Khazanah Nasional,Yes,$25M-$300M,$40B
Tengku Azmil Zahruddin,,Kuala Lumpur,,Malaysia,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Innovation",https://www.linkedin.com/in/tengku-azmil/,https://www.khazanah.com.my,Khazanah Nasional,No,$25M-$200M,$40B
Norges Bank Investment Management (NBIM),,Oslo,,Norway,Sovereign Wealth Fund,Late Stage,"Technology, Global Public Equities",,https://www.nbim.no,Norway Government Pension Fund Global,No,$500M+,$1.7T
Nicolai Tangen,,Oslo,,Norway,Sovereign Wealth Fund,Late Stage,"Technology, Global Markets",https://www.linkedin.com/in/nicolai-tangen/,https://www.nbim.no,Norway Government Pension Fund Global,No,$500M+,$1.7T
Trond Grande,,Oslo,,Norway,Sovereign Wealth Fund,Late Stage,"Technology, Global Markets",https://www.linkedin.com/in/trond-grande/,https://www.nbim.no,Norway Government Pension Fund Global,No,$500M+,$1.7T
Pedro Furtado Reis,,Oslo,,Norway,Sovereign Wealth Fund,Late Stage,"Technology, Public Equity",,https://www.nbim.no,Norway Government Pension Fund Global,No,$500M+,$1.7T
British Patient Capital,,London,,United Kingdom,Sovereign Wealth Fund,"Seed, Early Stage, Growth","Technology, Life Sciences, Deep Tech",,https://www.britishpatientcapital.co.uk,British Patient Capital,Yes (via fund-of-funds),$10M-$100M,£2.5B
Judith Hartley,,London,,United Kingdom,Sovereign Wealth Fund,"Seed, Early Stage, Growth","Technology, Life Sciences",https://www.linkedin.com/in/judith-hartley/,https://www.britishpatientcapital.co.uk,British Patient Capital,Yes,$10M-$100M,£2.5B
Catherine Lewis La Torre,,London,,United Kingdom,Sovereign Wealth Fund,"Seed, Early Stage, Growth","Technology, Venture Capital",https://www.linkedin.com/in/catherine-lewis-la-torre/,https://www.britishpatientcapital.co.uk,British Patient Capital (British Business Bank),Yes,$10M-$100M,£2.5B
Bpifrance,,Paris,,France,Sovereign Wealth Fund,"Seed, Early Stage, Growth, Late Stage","Technology, AI, Biotech, Cleantech, Deep Tech",,https://www.bpifrance.fr,Bpifrance,Yes,$1M-$250M,€35B
Nicolas Dufourcq,,Paris,,France,Sovereign Wealth Fund,"Seed, Early Stage, Growth, Late Stage","Technology, Innovation",https://www.linkedin.com/in/nicolas-dufourcq/,https://www.bpifrance.fr,Bpifrance,Yes,$1M-$250M,€35B
Paul-François Fournier,,Paris,,France,Sovereign Wealth Fund,"Seed, Early Stage, Growth","Technology, AI, Deep Tech",https://www.linkedin.com/in/paul-francois-fournier/,https://www.bpifrance.fr,Bpifrance — Innovation Division,Yes,$1M-$50M,€35B
Pascal Lagarde,,Paris,,France,Sovereign Wealth Fund,"Growth, Late Stage","Technology, International Strategy",https://www.linkedin.com/in/pascal-lagarde/,https://www.bpifrance.fr,Bpifrance,No,$10M-$250M,€35B
KfW Capital,,Frankfurt,,Germany,Sovereign Wealth Fund,"Seed, Early Stage, Growth","Technology, Deep Tech, Cleantech",,https://www.kfw-capital.de,KfW Capital,Yes (fund-of-funds),$10M-$50M (into VC funds),€2B+
Joerg Goschin,,Frankfurt,,Germany,Sovereign Wealth Fund,"Seed, Early Stage, Growth","Technology, Venture Capital",https://www.linkedin.com/in/joerggoschin/,https://www.kfw-capital.de,KfW Capital,Yes (fund-of-funds),$10M-$50M,€2B+
Alexander Thees,,Frankfurt,,Germany,Sovereign Wealth Fund,"Seed, Early Stage, Growth","Technology, Deep Tech",https://www.linkedin.com/in/alexanderthees/,https://www.kfw-capital.de,KfW Capital,No,$10M-$50M,€2B+
CDP Venture Capital,,Rome,,Italy,Sovereign Wealth Fund,"Seed, Early Stage, Growth","Technology, Deep Tech, Cleantech, Digital",,https://www.cdpventurecapital.it,CDP Venture Capital SGR,Yes,$1M-$25M,€2B
Enrico Resmini,,Rome,,Italy,Sovereign Wealth Fund,"Seed, Early Stage, Growth","Technology, Innovation",https://www.linkedin.com/in/enricoresmini/,https://www.cdpventurecapital.it,CDP Venture Capital SGR,Yes,$1M-$25M,€2B
Francesca Bria,,Rome,,Italy,Sovereign Wealth Fund,"Seed, Early Stage, Growth","Technology, AI, Digital",https://www.linkedin.com/in/francescabria/,https://www.cdpventurecapital.it,CDP Venture Capital SGR,No,$1M-$25M,€2B
Agostino Scornajenchi,,Rome,,Italy,Sovereign Wealth Fund,"Seed, Early Stage, Growth","Technology, Innovation",,https://www.cdpventurecapital.it,CDP Venture Capital SGR,No,$1M-$25M,€2B
Irish Strategic Investment Fund (ISIF),,Dublin,,Ireland,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Life Sciences, Fintech",,https://isif.ie,Irish Strategic Investment Fund (NTMA),Yes,$10M-$100M,€10B
NickOnal,,Dublin,,Ireland,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Innovation",https://www.linkedin.com/in/nickonal/,https://isif.ie,Irish Strategic Investment Fund,No,$10M-$100M,€10B
Andrew McDowell,,Dublin,,Ireland,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",,https://isif.ie,Irish Strategic Investment Fund,No,$10M-$100M,€10B
Finnish Industry Investment (Tesi),,Helsinki,,Finland,Sovereign Wealth Fund,"Seed, Early Stage, Growth","Technology, Deep Tech, Cleantech, Gaming",,https://www.tesi.fi,Tesi (Finnish Industry Investment),Yes,$5M-$50M,€1.2B
Pia Santavirta,,Helsinki,,Finland,Sovereign Wealth Fund,"Seed, Early Stage, Growth","Technology, Innovation",https://www.linkedin.com/in/piasantavirta/,https://www.tesi.fi,Tesi,Yes,$5M-$50M,€1.2B
Petri Rajahalme,,Helsinki,,Finland,Sovereign Wealth Fund,"Early Stage, Growth","Technology, Deep Tech",https://www.linkedin.com/in/petrirajahalme/,https://www.tesi.fi,Tesi,No,$5M-$50M,€1.2B
CPP Investments (CPPIB),,Toronto,Ontario,Canada,Sovereign Wealth Fund,"Growth, Late Stage","Technology, AI, Fintech, Healthcare",,https://www.cppinvestments.com,CPP Investments,Yes,$100M-$500M+,$575B
John Graham,,Toronto,Ontario,Canada,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",https://www.linkedin.com/in/johnegraham/,https://www.cppinvestments.com,CPP Investments,Yes,$100M-$500M+,$575B
Suyi Kim,,Toronto,Ontario,Canada,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Private Equity",https://www.linkedin.com/in/suyikim/,https://www.cppinvestments.com,CPP Investments,No,$100M-$500M+,$575B
Leon Pedersen,,Toronto,Ontario,Canada,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Direct Investments",https://www.linkedin.com/in/leon-pedersen/,https://www.cppinvestments.com,CPP Investments,No,$100M-$500M,$575B
Ontario Teachers' Pension Plan (OTPP),,Toronto,Ontario,Canada,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Fintech, Infrastructure",,https://www.otpp.com,Ontario Teachers' Pension Plan,Yes,$50M-$500M,$250B
Jo Taylor,,Toronto,Ontario,Canada,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",https://www.linkedin.com/in/jotaylor/,https://www.otpp.com,Ontario Teachers' Pension Plan,Yes,$50M-$500M,$250B
Olivia Steedman,,Toronto,Ontario,Canada,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Innovation",https://www.linkedin.com/in/oliviasteedman/,https://www.otpp.com,Ontario Teachers' Pension Plan — Teachers' Innovation Platform,Yes,$50M-$300M,$250B
Ziad Hindo,,Toronto,Ontario,Canada,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Private Markets",,https://www.otpp.com,Ontario Teachers' Pension Plan,No,$50M-$500M,$250B
CDPQ (Caisse de dépôt et placement du Québec),,Montreal,Quebec,Canada,Sovereign Wealth Fund,"Growth, Late Stage","Technology, AI, Infrastructure",,https://www.cdpq.com,CDPQ,Yes,$50M-$500M,$420B
Charles Emond,,Montreal,Quebec,Canada,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",https://www.linkedin.com/in/charlesemond/,https://www.cdpq.com,CDPQ,Yes,$50M-$500M,$420B
Alexandre Synnett,,Montreal,Quebec,Canada,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Innovation",https://www.linkedin.com/in/alexandresynnett/,https://www.cdpq.com,CDPQ,No,$50M-$300M,$420B
Kim Thomassin,,Montreal,Quebec,Canada,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Private Equity",https://www.linkedin.com/in/kimthomassin/,https://www.cdpq.com,CDPQ,No,$50M-$500M,$420B
CalPERS,,Sacramento,California,United States,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Infrastructure, Real Estate",,https://www.calpers.ca.gov,CalPERS,No (LP in VC funds),$100M-$500M+ (into PE/VC funds),$500B+
Marcie Frost,,Sacramento,California,United States,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",,https://www.calpers.ca.gov,CalPERS,No,$100M-$500M+,$500B+
Dan Bienvenue,,Sacramento,California,United States,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Private Equity",,https://www.calpers.ca.gov,CalPERS,No,$100M-$500M+,$500B+
Anton Orlich,,Sacramento,California,United States,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Private Markets",,https://www.calpers.ca.gov,CalPERS,No,$100M-$500M+,$500B+
CalSTRS,,West Sacramento,California,United States,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Innovation, Sustainable Investment",,https://www.calstrs.com,CalSTRS,No (LP in VC funds),$50M-$300M (into PE/VC funds),$330B
Cassandra Lichnock,,West Sacramento,California,United States,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",,https://www.calstrs.com,CalSTRS,No,$50M-$300M,$330B
Christopher Ailman,,West Sacramento,California,United States,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Innovation",,https://www.calstrs.com,CalSTRS,No,$50M-$300M,$330B
Scott Chan,,West Sacramento,California,United States,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Private Equity",,https://www.calstrs.com,CalSTRS,No,$50M-$300M,$330B
New Zealand Super Fund,,Auckland,,New Zealand,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Venture Capital",,https://www.nzsuperfund.nz,New Zealand Super Fund,Yes,$10M-$100M,$40B
Matt Whineray,,Auckland,,New Zealand,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Innovation",https://www.linkedin.com/in/matt-whineray/,https://www.nzsuperfund.nz,New Zealand Super Fund,No,$10M-$100M,$40B
Will Goodwin,,Auckland,,New Zealand,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Direct Investments",,https://www.nzsuperfund.nz,New Zealand Super Fund,No,$10M-$100M,$40B
Australian Future Fund,,Melbourne,,Australia,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Private Equity, Infrastructure",,https://www.futurefund.gov.au,Australian Future Fund,No,$50M-$300M,$200B+
Raphael Arndt,,Melbourne,,Australia,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",https://www.linkedin.com/in/raphael-arndt/,https://www.futurefund.gov.au,Australian Future Fund,No,$50M-$300M,$200B+
Sue Brake,,Melbourne,,Australia,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Alternative Investments",,https://www.futurefund.gov.au,Australian Future Fund,No,$50M-$300M,$200B+
Brunei Investment Agency (BIA),,Bandar Seri Begawan,,Brunei,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Diversified Investments",,N/A,Brunei Investment Agency,No,$25M-$200M,$40B+
Dato Bahrin Abdullah,,Bandar Seri Begawan,,Brunei,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",,N/A,Brunei Investment Agency,No,$25M-$200M,$40B+
SOFAZ (State Oil Fund of Azerbaijan),,Baku,,Azerbaijan,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Infrastructure, Energy",,https://www.oilfund.az,SOFAZ,No,$25M-$200M,$50B+
Israfil Mammadov,,Baku,,Azerbaijan,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",,https://www.oilfund.az,SOFAZ,No,$25M-$200M,$50B+
Samir Sharifov,,Baku,,Azerbaijan,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Infrastructure",,https://www.oilfund.az,SOFAZ,No,$25M-$200M,$50B+
Kazakhstan National Fund (Samruk-Kazyna),,Astana,,Kazakhstan,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Infrastructure, Energy",,https://www.sk.kz,Samruk-Kazyna (Kazakhstan National Fund),No,$25M-$200M,$70B+
Nurlan Zhakupov,,Astana,,Kazakhstan,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",,https://www.sk.kz,Samruk-Kazyna,No,$25M-$200M,$70B+
Yermek Kosherbayev,,Astana,,Kazakhstan,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Innovation",,https://www.sk.kz,Samruk-Kazyna,No,$25M-$200M,$70B+
Turkey Wealth Fund (TVF),,Istanbul,,Turkey,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Infrastructure, Banking",,https://www.tvf.com.tr,Turkey Wealth Fund,No,$50M-$500M,$40B+
Arda Ermut,,Istanbul,,Turkey,Sovereign Wealth Fund,"Growth, Late Stage","Technology, Strategic Investments",https://www.linkedin.com/in/ardaermut/,https://www.tvf.com.tr,Turkey Wealth Fund,No,$50M-$500M,$40B+
