First Name,Last Name,Firm/Company,Investor Type,Email,LinkedIn URL,Website,Sectors of Interest,Location,Lead?,Also Education?,Notes
Martine,Rothblatt,United Therapeutics / Private Investor,Angel / Operator-Investor,,https://www.linkedin.com/in/martine-rothblatt/,,Biotech; Organ Manufacturing; Brain Tech; Consciousness; Transhumanism,Silver Spring MD,Yes,Yes,Billionaire transhumanist; CEO United Therapeutics; funds consciousness research and brain-computer interface; also education initiatives
Thomas,Insel,Former NIMH Director / Private Investor,Angel Investor,,https://www.linkedin.com/in/thomasinsel/,,Neuroscience; Mental Health; Digital Therapeutics; Brain Tech,Palo Alto CA,Yes,Yes,Former director of NIMH (13 years); angel investor in mental health tech; also invests in neuroscience education platforms
Adam,Gazzaley,Neuroscape / UCSF,Angel / Academic-Investor,,https://www.linkedin.com/in/adamgazzaley/,https://neuroscape.ucsf.edu/,Neuroscience; Brain Tech; Digital Therapeutics; Cognitive Health,San Francisco CA,No,Yes,UCSF neuroscientist; co-founded Akili Interactive; advisor/investor in brain tech startups; also education
Tan,Le,EMOTIV,Angel / Operator-Investor,,https://www.linkedin.com/in/tanle/,https://www.emotiv.com/,Brain-Computer Interface; Neuroscience; EEG; Mental Health,San Francisco CA,No,Yes,CEO of EMOTIV brain-sensing tech; angel investor in neurotechnology and brain education companies
Mary,Dahl,Masawa Fund,Angel / Impact Investor,,https://www.linkedin.com/in/marydahl/,https://masawa.fund/,Mental Health; Consciousness; Psychedelics; Impact Investing,Zurich Switzerland,Yes,No,Partner at Masawa mental health impact fund; invests globally in mental wellness innovation
Lisa,Suennen,Manatt Phelps Phillips,Angel Investor,,https://www.linkedin.com/in/lisasuennen/,,Digital Health; Mental Health; Health Tech; Behavioral Health,San Francisco CA,No,No,Managing partner of health at Manatt; prolific angel investor in behavioral health and digital therapeutics
Andy,Gold,OurCrowd / Private Investor,Angel Investor,,https://www.linkedin.com/in/andygold/,,Psychedelics; Biotech; Neuroscience; Health Tech,Tel Aviv Israel,No,No,Active angel in Israeli psychedelic biotech; OurCrowd venture partner; backed multiple neuro startups
Harriet,de Speville,Iter Investments,Family Office,,https://www.linkedin.com/in/harriet-de-speville/,,Psychedelics; Mental Health; Wellness; Impact,London UK,Yes,No,Runs Iter Investments focused on psychedelic and mental health ventures; UK-based family office
Tania,de Jong,Creative Universe / Angel Investor,Angel Investor,,https://www.linkedin.com/in/taniadejong/,,Mental Health; Psychedelics; Creativity; Wellness,Melbourne Australia,No,Yes,Entrepreneur and angel; publicly invested in psychedelic-assisted therapy; also funds creativity/education ventures
Greg,Kubin,Vine Ventures,Angel / VC,,https://www.linkedin.com/in/gregkubin/,,Psychedelics; Mental Health; Consciousness Tech,San Francisco CA,Yes,No,Host of Business Trip podcast on psychedelics; runs Vine Ventures investing in psychedelic ecosystem
Ryan,Zurrer,Dialectic / Private Investor,Family Office,,https://www.linkedin.com/in/ryanzurrer/,,Psychedelics; Web3; Consciousness; Wellness,Zug Switzerland,No,No,Founder of Dialectic; psychedelic philanthropist; backed Compass Pathways and multiple psychedelic ventures
George,Sarlo,Walden Venture Capital,Angel / VC,,https://www.linkedin.com/in/george-sarlo/,,Neuroscience; Psychedelics; Consciousness; Life Sciences,San Francisco CA,Yes,No,Co-founded Walden VC; major donor to psychedelic research at Johns Hopkins and UCSF
Terry,Grossman,Private Investor / Physician,Angel Investor,,,,Longevity; Neuroscience; Brain Health; Anti-aging,Denver CO,No,No,Longevity physician; co-author with Ray Kurzweil; angel investments in brain health and cognitive enhancement startups
Nichol,Bradford,Willow / Transformative Technology,Angel / Operator-Investor,,https://www.linkedin.com/in/nicholbradford/,https://www.transformativetech.org/,Consciousness; Mental Health Tech; Brain-Computer Interface; Transformative Tech,Los Angeles CA,No,Yes,CEO of Willow; founder Transformative Technology; angel investor bridging consciousness tech and education
Steve,Jurvetson,Future Ventures,VC / Angel,,https://www.linkedin.com/in/jurvetson/,,Neuroscience; Psychedelics; DeepTech; Longevity; Space,Menlo Park CA,Yes,No,Founding partner Future Ventures; publicly supportive of psychedelic research; invests in frontier neurotech
Beth,Ferreira,FirstMark Capital / Angel,Angel Investor,,https://www.linkedin.com/in/bethferreira/,,Mental Health; Consumer Health; Wellness; Digital Health,New York NY,No,No,Active angel in mental health and wellness consumer brands
Sarah,Kauss,S'well / Private Investor,Angel Investor,,https://www.linkedin.com/in/sarahkauss/,,Wellness; Mental Health; Consumer Health; Sustainability,New York NY,No,No,Founder of S'well; angel investments in wellness and mental health consumer startups
Neeraj,Kingsland,Psychedelic Angel,Angel Investor,,https://www.linkedin.com/in/neerajkingsland/,,Psychedelics; Buddhism; Meditation; Mental Health,New York NY,No,Yes,Author of psychedelic and Buddhist meditation books; angel investor in consciousness tech; also education
Graham,Boyd,Emergent Capital / Private Investor,Family Office,,https://www.linkedin.com/in/grahamboyd/,,Psychedelics; Consciousness; Regenerative Finance; Mental Health,Berlin Germany,No,No,Runs family capital focused on psychedelic integration and regenerative systems
Kabir,Sehgal,Private Investor / Author,Angel Investor,,https://www.linkedin.com/in/kabirsehgal/,,Neuroscience; Mental Health; Music Therapy; Creativity,New York NY,No,Yes,Grammy-winning producer; author; angel investor in neuroscience and music/creativity/education ventures
Bob,Parsons,YAM Worldwide / PXG,Family Office,,https://www.linkedin.com/in/bobparsons/,https://yamworldwide.com/,Veteran Mental Health; Brain Injury; Wellness,Scottsdale AZ,Yes,No,GoDaddy founder; billionaire; family office invests in veteran PTSD and brain injury treatment
Jon,Atkinson,MindShift Capital,Angel Investor,,https://www.linkedin.com/in/jonatkinson/,,Mental Health; Neuroscience; Behavioral Health; Digital Therapeutics,London UK,No,No,Runs MindShift Capital focused on behavioral health startups; UK-based angel
Liana,Sananda Gillooly,Private Investor,Angel / Philanthropist,,,,Psychedelics; Women's Health; Mental Health; Consciousness,Oakland CA,No,No,Psychedelic philanthropist; backed women-focused psychedelic therapy initiatives
Aubrey,Drake Graham,OVO Sound / Private Investor,Celebrity Investor,,,,Mental Health; Wellness; Music Therapy; Consumer Brands,Toronto Canada,No,No,Rapper/artist; invested in mental health and wellness brands; OVO franchise includes wellness ventures
Russell,Brand,Private Investor / Advocate,Celebrity / Angel,,,,Mental Health; Addiction Recovery; Psychedelics; Wellness,London UK,No,No,Vocal mental health and recovery advocate; invested in addiction recovery and mental health startups
Agustín,Fernández,Holistic Capital,Angel Investor,,https://www.linkedin.com/in/agustinfernandez/,,Brain Tech; Neuroscience; AI-Health; Digital Therapeutics,San Francisco CA,No,No,Early-stage investor in brain-tech and AI-powered mental health startups
Anastasia,Nyrkovskaya,Noetic Fund,Angel / VC,,https://www.linkedin.com/in/anastasianyrkovskaya/,,Psychedelics; Consciousness; Neuroscience; Biotech,New York NY,Yes,No,Runs Noetic Fund focused on consciousness-expanding therapeutics and psychedelic biotech
Tim,Fong,UCLA / Private Investor,Angel / Academic,,https://www.linkedin.com/in/timothyfong/,,Neuroscience; Addiction; Behavioral Health; Gambling Research,Los Angeles CA,No,Yes,UCLA psychiatrist; angel investor in behavioral health tech; also funds addiction education programs
Dipak,Jain,Private Investor / Former Kellogg Dean,Angel Investor,,https://www.linkedin.com/in/dipakjain/,,Neuroscience; Education; Leadership; Wellness,Chicago IL,No,Yes,Former dean of Kellogg School; angel investor in neuroscience-based leadership and education tech
Dennis,McKenna,Private Investor / Academic,Angel / Academic,,https://www.linkedin.com/in/dennismckenna/,,Psychedelics; Ethnobotany; Neuroscience; Consciousness,Minneapolis MN,No,Yes,Ethnobotanist; brother of Terence McKenna; invests in and advises psychedelic research companies; also education
Gerard,Adams,Fownders / Private Investor,Angel Investor,,https://www.linkedin.com/in/gerardadams/,https://fownders.com/,Mental Health; Entrepreneurship; Wellness; Youth Development,New York NY,No,Yes,Co-founded Elite Daily; runs Fownders; angel investor in mental health and entrepreneurship education
Christian,Busch,Private Investor / Academic,Angel Investor,,https://www.linkedin.com/in/christianbusch/,,Neuroscience; Serendipity; Wellness; Social Impact,New York NY,No,Yes,NYU professor; angel investor in neuroscience-based wellness and education startups
Manoj,Bhargava,5-hour Energy / Billions in Change,Family Office,,https://www.linkedin.com/in/manojbhargava/,https://billionsinchange.com/,Brain Health; Medical Devices; Clean Energy; Philanthropy,Farmington Hills MI,Yes,No,5-hour Energy billionaire; funds brain health devices and medical innovation through Billions in Change
Alasdair,Nichol,Consciousness Capital,Angel Investor,,https://www.linkedin.com/in/alasdairnichol/,,Psychedelics; Consciousness; Art; Mental Health,New York NY,No,No,Former Christie's chair; angel investor in consciousness and psychedelic ventures
Payton,Manning,Private Investor,Celebrity Investor,,,,Wellness; Brain Health; Recovery; Sports Medicine,Denver CO,No,No,NFL legend; invested in brain health diagnostics and recovery technology startups
Joanne,Wilson,Gotham Gal Ventures,Angel Investor,,https://www.linkedin.com/in/joanne-wilson-b0886110/,http://www.gothamgal.com/,Wellness; Mental Health; Consumer Health; Women's Health,New York NY,Yes,No,Prolific angel investor (67+ investments); backs wellness and mental health consumer brands; strong health/wellness portfolio
Jennifer,Piro,The Cannabis Syndicate,Angel Investor,,https://www.linkedin.com/in/jepiro/,,Cannabis; Psychedelics; Mental Health; Plant Medicine,Washington DC,No,No,Runs The Cannabis Syndicate angel group; bridge between cannabis and psychedelic medicine investing
