Name,Email,Location (City),Location (State/Region),Location (Country),Type of Investor,Stage: Investment Thesis,Sector: Investment Thesis,LinkedIn,Website,Fund,Leads Rounds?,Typical Check Size,Pitch Submission URL,Key Contact Person
Portfolia,,San Francisco,California,United States,Angel Group,"Seed, Series A","FemTech, Consumer, Health, AgeTech",,https://www.portfolia.com,,Sometimes,$50K-$200K,,Trish Costello
ACA (Angel Capital Association),,Kansas City,Kansas,United States,Angel Group Association,"Seed, Early-stage","All Sectors",,https://www.angelcapitalassociation.org,,No,N/A,,
Maple Leaf Angels,,Toronto,Ontario,Canada,Angel Group,"Seed, Early-stage","Technology, Healthcare, CleanTech",,https://www.mapleleafangels.com,,Sometimes,$25K-$250K,,
New World Angels,,Boca Raton,Florida,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare, Consumer",,https://www.newworldangels.com,,Sometimes,$100K-$500K,,
San Diego Angel Conference,,San Diego,California,United States,Angel Group,"Seed","Technology, Consumer, Healthcare",,https://www.sandiegoangelconference.com,,Yes,$50K-$100K,,
Bellhop Fund,,Nashville,Tennessee,United States,Angel Syndicate,"Seed, Early-stage","Consumer, E-Commerce, DTC Brands",,https://www.bellhopfund.com,,Sometimes,$50K-$200K,,
Portland Angel Fund,,Portland,Oregon,United States,Angel Group,"Seed, Early-stage","Technology, Clean Tech, Consumer",,https://www.portlandangelfund.com,,Sometimes,$50K-$250K,,
Oregon Angel Fund,,Portland,Oregon,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare, Clean Tech",,https://www.oregonangelfund.com,,Sometimes,$100K-$500K,,
Seattle Angel Conference,,Seattle,Washington,United States,Angel Group,"Seed","Technology, All Sectors",,https://seattleangelconference.com,,Yes,$100K-$200K,https://seattleangelconference.com/apply,
Wharton Angel Network,,Philadelphia,Pennsylvania,United States,Angel Group (University-affiliated),"Seed, Early-stage","Technology, Healthcare, Fintech",,,,Sometimes,$25K-$100K,,
Harvard Business School Angels of NY,,New York,New York,United States,Angel Group (University-affiliated),"Seed, Early-stage","Technology, Consumer, Healthcare",,,,Sometimes,$25K-$100K,,
MIT Alumni Angels,,Cambridge,Massachusetts,United States,Angel Group (University-affiliated),"Seed, Early-stage","Deep Tech, AI, Biotech, Healthcare",,,,Sometimes,$25K-$100K,,
Stanford Angels & Entrepreneurs,,Palo Alto,California,United States,Angel Group (University-affiliated),"Seed, Early-stage","Technology, AI, Consumer, Healthcare",,,,Sometimes,$25K-$150K,,
Columbia Angels,,New York,New York,United States,Angel Group (University-affiliated),"Seed, Early-stage","Technology, Healthcare, Fintech",,,,Sometimes,$25K-$100K,,
Chicago Booth Angels,,Chicago,Illinois,United States,Angel Group (University-affiliated),"Seed, Early-stage","Technology, Fintech, Healthcare",,,,Sometimes,$25K-$100K,,
Kellogg Angels,,Evanston,Illinois,United States,Angel Group (University-affiliated),"Seed, Early-stage","Technology, Consumer, B2B",,,,Sometimes,$25K-$100K,,
UCLA Anderson Venture Accelerator,,Los Angeles,California,United States,Angel Group (University-affiliated),"Seed, Early-stage","Technology, Consumer, Healthcare",,,,No,$25K-$100K,,
Berkeley Angel Network,,Berkeley,California,United States,Angel Group (University-affiliated),"Seed, Early-stage","Technology, AI, Deep Tech",,,,Sometimes,$25K-$150K,,
Penn Wharton Entrepreneurship Alumni Angels,,Philadelphia,Pennsylvania,United States,Angel Group (University-affiliated),"Seed, Early-stage","Technology, Fintech, Healthcare",,,,Sometimes,$25K-$100K,,
Duke Angel Network,,Durham,North Carolina,United States,Angel Group (University-affiliated),"Seed, Early-stage","Healthcare, Technology, Biotech",,,,Sometimes,$25K-$100K,,
Michigan Angels,,Ann Arbor,Michigan,United States,Angel Group (University-affiliated),"Seed, Early-stage","Technology, Mobility, Healthcare",,,,Sometimes,$25K-$100K,,
Tufts Angel Group,,Boston,Massachusetts,United States,Angel Group (University-affiliated),"Seed","Technology, Healthcare",,,,No,$10K-$50K,,
Rising Tide Fund,,San Francisco,California,United States,Angel Group,"Seed, Early-stage","Women Founders, Technology, Consumer",,,,Sometimes,$25K-$100K,,
Phenomenelle Angels,,Madison,Wisconsin,United States,Angel Group,"Seed, Early-stage","Women-led, Technology, Consumer",,,,Sometimes,$25K-$100K,,
Belle Capital USA,,Boise,Idaho,United States,Angel Group,"Seed, Early-stage","Women-led, Technology, Healthcare",,https://www.bellecapitalusa.com,,Sometimes,$25K-$100K,,
WXR Fund,,Los Angeles,California,United States,Angel Syndicate,"Seed, Early-stage","XR/VR/AR, Spatial Computing, Women in Tech",,https://www.wxrfund.com,,Sometimes,$25K-$100K,,
Springboard Enterprises,,Washington,DC,United States,Angel Group / Accelerator,"Seed, Series A","Women-led, Technology, Healthcare, Media",,https://sb.co,,Sometimes,Varies,,Kay Koplovitz
Propel(x),,Palo Alto,California,United States,Angel Group,"Seed, Early-stage","Deep Tech, Science-based Startups, Advanced Materials",,https://www.propelx.com,,Sometimes,$25K-$100K,,Swati Chaturvedi
Texas Halo Fund,,Austin,Texas,United States,Angel Group,"Seed, Early-stage","Technology, Consumer, Healthcare",,https://www.texashalofund.com,,Sometimes,$50K-$250K,,
DFW Angel Network,,Dallas,Texas,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare, Energy",,,,Sometimes,$50K-$250K,,
North Texas Angel Network,,Dallas,Texas,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare, Consumer",,https://www.ntxangels.com,,Sometimes,$50K-$250K,,
Sachse Angel Fund,,Dallas,Texas,United States,Angel Group,"Seed","Technology",,,,Sometimes,$25K-$100K,,
Central Florida Angel Fund,,Orlando,Florida,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare",,,,Sometimes,$50K-$200K,,
Tampa Bay Angel Fund,,Tampa,Florida,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare",,,,Sometimes,$50K-$200K,,
Jacksonville Angel Network,,Jacksonville,Florida,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare, Consumer",,,,Sometimes,$25K-$100K,,
Midwest Angel Group,,Indianapolis,Indiana,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare, Agtech",,,,Sometimes,$25K-$100K,,
Ohio TechAngels,,Columbus,Ohio,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare, SaaS",,https://www.ohiotechangle.com,,Sometimes,$50K-$250K,,
North Coast Angel Fund,,Cleveland,Ohio,United States,Angel Group,"Seed, Early-stage","Technology, Manufacturing, Healthcare",,https://www.northcoastangelfund.com,,Sometimes,$50K-$250K,,
Queen City Angels,,Cincinnati,Ohio,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare, Consumer",,https://www.qca.com,,Sometimes,$50K-$500K,,
Blue Grass Angels,,Lexington,Kentucky,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare",,https://www.bluegrassangels.com,,Sometimes,$25K-$200K,,
Blu Venture Investors,,Reston,Virginia,United States,Angel Group,"Seed, Early-stage","Technology, Cybersecurity, Defense",,https://www.bluventureinvestors.com,,Sometimes,$50K-$250K,,
Virginia Active Angel Network,,Richmond,Virginia,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare, Consumer",,https://www.vaangels.com,,Sometimes,$25K-$100K,,
Baltimore Angels,,Baltimore,Maryland,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare, Life Sciences",,https://www.baltimoreangels.com,,Sometimes,$25K-$200K,,
Chesapeake Innovation Center Angels,,Annapolis,Maryland,United States,Angel Group,"Seed","Technology, Defense, Government Tech",,,,Sometimes,$25K-$100K,,
Mid-Atlantic Angel Group Fund,,Washington,DC,United States,Angel Group,"Seed, Early-stage","Technology, Government Tech, Cybersecurity",,https://www.midatlanticangels.com,,Sometimes,$50K-$250K,,
DC Angels,,Washington,DC,United States,Angel Group,"Seed, Early-stage","Technology, Consumer, Impact",,,,Sometimes,$25K-$100K,,
Charlottesville Angel Network,,Charlottesville,Virginia,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare",,,,Sometimes,$25K-$100K,,
Triangle Angel Partners,,Raleigh,North Carolina,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare, Biotech",,https://www.triangleangelpartners.com,,Sometimes,$50K-$250K,,
VentureSouth,,Greenville,South Carolina,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare, Consumer",,https://www.venturesouth.vc,,Sometimes,$50K-$250K,,
Atlanta Startup Angels,,Atlanta,Georgia,United States,Angel Group,"Seed, Early-stage","Technology, Consumer, Fintech",,,,Sometimes,$25K-$100K,,
SEBAS (Southeast Business Angel Society),,Atlanta,Georgia,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare",,,,Sometimes,$25K-$100K,,
New Orleans Angel Network,,New Orleans,Louisiana,United States,Angel Group,"Seed, Early-stage","Technology, Consumer, Culture",,,,Sometimes,$25K-$100K,,
Prairie Capital Group,,Omaha,Nebraska,United States,Angel Group,"Seed, Early-stage","Agriculture, Technology, Healthcare",,,,Sometimes,$25K-$100K,,
Grand Angels,,Grand Rapids,Michigan,United States,Angel Group,"Seed, Early-stage","Technology, Manufacturing, Healthcare",,https://www.grandangels.org,,Sometimes,$50K-$250K,,
Great North Labs,,Minneapolis,Minnesota,United States,Angel Syndicate / VC,"Seed, Early-stage","Technology, SaaS, Healthcare",,https://www.greatnorthlabs.com,,Yes,$100K-$500K,,
Gopher Angels,,Minneapolis,Minnesota,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare, Consumer",,https://www.gopherangels.com,,Sometimes,$25K-$100K,,
Wisconsin Angel Network,,Madison,Wisconsin,United States,Angel Group,"Seed, Early-stage","Technology, Agriculture, Healthcare",,,,Sometimes,$25K-$150K,,
Iowa Angel Group,,Des Moines,Iowa,United States,Angel Group,"Seed, Early-stage","Technology, Agriculture, Healthcare",,,,Sometimes,$25K-$100K,,
Boulder Ventures,,Boulder,Colorado,United States,Angel Group,"Seed, Early-stage","Technology, Consumer, CleanTech",,,,Sometimes,$25K-$200K,,
New Mexico Angels,,Albuquerque,New Mexico,United States,Angel Group,"Seed, Early-stage","Technology, Energy, Defense",,https://www.nmangels.com,,Sometimes,$25K-$200K,,
AZ Angels,,Phoenix,Arizona,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare, Consumer",,,,Sometimes,$25K-$100K,,
Las Vegas Angels,,Las Vegas,Nevada,United States,Angel Group,"Seed, Early-stage","Technology, Entertainment, Consumer",,,,Sometimes,$25K-$100K,,
Hawaii Angels,,Honolulu,Hawaii,United States,Angel Group,"Seed, Early-stage","Technology, Consumer, Tourism",,https://www.hawaiiangels.org,,Sometimes,$25K-$150K,,
CTAN (Connecticut Angel Network),,Stamford,Connecticut,United States,Angel Group,"Seed, Early-stage","Technology, Healthcare, Fintech",,,,Sometimes,$25K-$100K,,
eCoast Angels,,Portsmouth,New Hampshire,United States,Angel Group,"Seed, Early-stage","Technology, SaaS, Healthcare",,https://www.ecoastangels.com,,Sometimes,$25K-$200K,,
Maine Angels,,Portland,Maine,United States,Angel Group,"Seed, Early-stage","Technology, Consumer, Marine",,https://www.maineangels.org,,Sometimes,$25K-$100K,,
Cherub Fund,,New York,New York,United States,Angel Syndicate,"Seed","Consumer, DTC, Food & Beverage, Wellness",,https://www.cherubfund.co,,Sometimes,$25K-$100K,,
Slauson & Co,,Los Angeles,California,United States,Angel Syndicate,"Pre-seed, Seed","Black Founders, Technology, Consumer",,https://slausonco.com,,Sometimes,$25K-$100K,,Austin Clements
Harlem Capital,,New York,New York,United States,Angel Syndicate / VC,"Seed, Series A","Diverse Founders, Technology, Consumer",,https://www.harlem.capital,Harlem Capital,Yes,$500K-$2M,,Henri Pierre-Jacques
Backstage Capital,,Los Angeles,California,United States,Angel Syndicate / VC,"Pre-seed, Seed","Underrepresented Founders, Technology",,https://backstagecapital.com,Backstage Capital,Yes,$25K-$100K,,Arlan Hamilton
Precursor Ventures,,San Francisco,California,United States,Angel Syndicate / VC,"Pre-seed, Seed","Technology, Consumer, Enterprise",,https://precursorvc.com,Precursor Ventures,Yes,$100K-$500K,,Charles Hudson
MiLA Capital,,Los Angeles,California,United States,Angel Syndicate / VC,"Pre-seed, Seed","Technology, Consumer, AI",,https://www.milacapital.com,MiLA Capital,Sometimes,$50K-$250K,,
Calm Ventures,,Los Angeles,California,United States,Angel Syndicate,"Seed, Early-stage","Consumer, Media, Entertainment",,https://calm.ventures,,Sometimes,$25K-$250K,,
Flying Fish Partners,,Seattle,Washington,United States,Angel Syndicate / VC,"Seed","Technology, SaaS, AI",,https://flyingfishpartners.com,,Sometimes,$50K-$250K,,
Leonis Capital,,Los Angeles,California,United States,Angel Syndicate,"Seed, Early-stage","Technology, Consumer, Media",,https://www.leoniscapital.com,,Sometimes,$25K-$100K,,
London Business Angels,,London,,United Kingdom,Angel Group,"Seed, Early-stage","Technology, Healthcare, Fintech",,https://lbangels.co.uk,,Sometimes,£25K-£250K,,
Newable Ventures,,London,,United Kingdom,Angel Group / VC,"Seed, Series A","Technology, AI, Deep Tech",,https://www.newable.co.uk,,Yes,£100K-£500K,,
Envestors,,London,,United Kingdom,Angel Network Platform,"Seed, Early-stage","Technology, Consumer, All Sectors",,https://www.envestors.co.uk,,Sometimes,£25K-£250K,,
Angel Academe,,London,,United Kingdom,Angel Group,"Seed, Early-stage","Women-led, Technology, Consumer",,https://www.angelacademe.com,,Sometimes,£25K-£100K,,
Midlands Engine Investment Fund Angels,,Birmingham,,United Kingdom,Angel Group,"Seed, Early-stage","Technology, Manufacturing, Healthcare",,,,Sometimes,£25K-£100K,,
Worth Capital,,London,,United Kingdom,Angel Group / VC,"Seed, Early-stage","Technology, Consumer",,https://www.worthcapital.co.uk,,Yes,£25K-£250K,,
Sustainable Ventures,,London,,United Kingdom,Angel Group / Incubator,"Seed, Early-stage","Climate Tech, Clean Energy, Sustainability",,https://www.sustainableventures.co.uk,,Sometimes,£50K-£250K,,
Par Equity,,Edinburgh,,United Kingdom,Angel Group / VC,"Seed, Series A","Technology, Healthcare, Deep Tech",,https://parequity.com,,Yes,£100K-£500K,,
Archangels,,Edinburgh,,United Kingdom,Angel Group,"Seed, Series A","Technology, Healthcare, Life Sciences",,https://www.archangelsinvestors.com,,Yes,£100K-£500K,,
Crowdcube,,Exeter,,United Kingdom,Equity Crowdfunding Platform,"Seed, Early-stage","All Sectors",,https://www.crowdcube.com,,No,Varies,https://www.crowdcube.com/raise,Darren Westlake
