Fund,Primary Location,Investment Sectors,Fund Type,Current Fund Size,Stage Invested,Average check size,State (if U.S.),Investment Geography,Info,URL,Linkedin,Country
Andav Capital,New York,"SaaS,AgTech,Fintech,Adtech,AI/ML,Software,Social Impact,Diversity,Data Services,Enterprise,Female Founders,Future of Work",Institutional Venture Capital (VC),,PreSeed,,NY,Globally,Currently raising for Andav Capital Fund II,https://andavcapital.com/,https://www.linkedin.com/company/andav-capital,United States
Angel Hive,New York,All Sectors,Angel Syndicate,$500k,Seed,$100k,NY,Globally,,https://www.angelhive.vc/,https://www.linkedin.com/company/angel-hive,United States
Animal Capital,New York,All Sectors,Institutional Venture Capital (VC),$35M,"Seed,PreSeed,Series A,Series B",$250K,NY,Globally,,https://animalcapital.com/,https://www.linkedin.com/company/animal-capital,United States
Ansa Capital,New York,"Big Data,Biotech,Cyber,Deep Tech,Enterprise,Esports,Female Founders,Femtech,Frontier Tech,Future of Work,Gaming,Insurtech,IoT,Medtech,PetTech,SaaS,UrbanTech,PropTech,Platforms",Institutional Venture Capital (VC),$135MM,"Series A,Series B",$5MM - $30MM,NY,"United States,North America,Globally",,https://www.ansa.co/,https://www.linkedin.com/company/ansa-capital,United States
Anthemis,New York,"Female Founders,Fintech,AI/ML,Blockchain,Crypto,Insurtech,Data","Institutional Venture Capital (VC),Accelerator Fund","$600MM, $50MM","PreSeed,Seed,Series B,Series A,Growth","$300-400k, $500K-1MM, Varies, $750k",NY,"United States,Europe,North America,LatAm",,https://www.anthemis.com/,https://www.linkedin.com/company/anthemis-group,United States
Antler,New York,"All Sectors,Technology","Institutional Venture Capital (VC),Accelerator Fund","$50MM, Currently Raising, $200MM","PreSeed,Seed,Series A","$200-300k, $250k (up to $500k), $250k, $200K, $500K","NY,TX,CO","North America,United States",,https://www.antler.co/,https://www.linkedin.com/company/antler,United States
Apax Digital Investments,New York,"SaaS,Cloud,Enterprise,Consumer,Technology,Sustainability,Clean Tech,All Sectors,Software","Institutional Venture Capital (VC),Growth Equity","$1.1BN, $2BN",Growth,"$50-100MM, $50-150M M, $50-200k, $50MM - $200MM, $100MM",NY,"Globally,United States",,https://www.apax.com/digital/,https://www.linkedin.com/company/apax,United States
Arbor Ventures,New York,"Big Data,Fintech,Insurtech,AI/ML,Health",Institutional Venture Capital (VC),$230MM,"Seed,Series A,Growth",$1M - $10M,NY,Globally,,https://arborventures.com/,https://www.linkedin.com/company/arbor-ventures,United States
Arc Ventures,New York,All Sectors,Family Office,"$70MM, $75MM","PreSeed,Seed,Series A","$1MM, $500k",NY,"Europe,North America,Middle East,United States",,https://arc.vc/,https://www.linkedin.com/company/arc-ventures,United States
Arch Capital Group,New York,Insurtech,Corporate Venture Capital (CVC),$50MM,"PreSeed,Seed,Series A",$250k - $2MM,NY,North America,,https://www.archgroup.com/,https://www.linkedin.com/company/arch-capital-group,United States
Archer Gray Ventures,New York,"AR/VR,AI/ML,Blockchain,Analytics,Digital Media,Diversity,Entertainment,Female Founders,Gaming,Marketplaces,Messaging,Music,Video,Consumer,Commerce,Enterprise",Corporate Venture Capital (CVC),$500MM,"Seed,Series A,PreSeed",,NY,,,https://www.archergray.com/,https://www.linkedin.com/company/archer-gray,United States
Archetype,New York,Crypto,Institutional Venture Capital (VC),$150M,"Seed,PreSeed",$2M,NY,Globally,,https://www.archetype.vc/,https://www.linkedin.com/company/archetype,United States
Aria Growth Partners,New York,Consumer,Growth Equity,,"Growth,Series A,Series B",$5-30MM,NY,,,https://ariagrowth.com/,https://www.linkedin.com/company/aria-growth-partners,United States
Arkitekt Ventures,New York,"Healthcare,Frontier Tech",Institutional Venture Capital (VC),$250-2MM,"PreSeed,Seed,Series A","Less than $250k,
 $250-500k",NY,,,https://arkitekt.vc/,https://www.linkedin.com/company/arkitekt-ventures,United States
Artesian Venture Partners,New York,All Sectors,Institutional Venture Capital (VC),,"Seed,Series A,PreSeed",,NY,,,https://artesianinvest.com/,https://www.linkedin.com/company/artesian-venture-partners,United States
Asabys Partners,"New York,Barcelona","Healthcare,Mental Health,Technology",Institutional Venture Capital (VC),183M€,"Seed,Series A,Series B",$5MM,NY,Europe,Venture capital firm investing in healthcare companies developing novel technologies to improve patient outcomes.,https://asabys.com/,https://www.linkedin.com/company/asabys-partners,"Spain, United States"
Asia Alpha,New York,All Sectors,Family Office,,"Seed,Series A,Series B,Growth","Less than $250k,
 $250-500k,
 $500-$1MM,
 $1-$3MM,
 $3-9MM,
 $10MM+",NY,,,https://www.asiaalpha.com/,https://www.linkedin.com/company/asia-alpha,United States
Aspira Capital Management,New York,All Sectors,Impact Fund,,Seed,$50K - $250K,NY,,,https://aspiracapital.com/,https://www.linkedin.com/company/aspira-capital-management,United States
Astia Fund,"San Francisco Bay Area,New York",Female Founders,Institutional Venture Capital (VC),,"Series A,Series B,Seed",,"CA,NY",Globally,,https://astia.org/,https://www.linkedin.com/company/astia,United States
Asymmetric Capital Partners,New York,"Technology,SaaS,Software,Marketplaces",Institutional Venture Capital (VC),$105MM,"Seed,Series A,PreSeed,Series B",$5MM,NY,Globally,,https://www.asymmetriccap.com/,https://www.linkedin.com/company/asymmetric-capital-partners,United States
ATEM Capital LLC,New York,Biotech,Evergreen Fund,$100MM,"Series A,Series B",$1-2MM,NY,"United States,Europe,North America",,https://atemcapital.com/,https://www.linkedin.com/company/atem-capital,United States
Athneia Partners,New York,"AgTech,Biotech,Clean Tech,Energy,Supply Chain,Manufacturing",Growth Equity,,Growth,,NY,Globally,,https://athneia.com/,https://www.linkedin.com/company/athneia-partners,United States
Atypical Ventures,New York,All Sectors,Institutional Venture Capital (VC),,"Seed,PreSeed",$500-$750k,NY,,,https://www.atypical.vc/,https://www.linkedin.com/company/atypical-ventures,United States
Avalanche VC,New York,"Analytics,Femtech,Future of Work,Education,Digital Media,Civic Tech,Community,SaaS,Marketplaces,Media",Institutional Venture Capital (VC),,"PreSeed,Seed",$300k,NY,"Globally,North America",,https://www.avalanche.vc/,https://www.linkedin.com/company/avalanche-vc,United States
Avenir Growth Capital,New York,"All Sectors,Fintech,Marketplaces,Healthcare,Software,Consumer","Institutional Venture Capital (VC),Growth Equity",$1.4BN,"Series A,Series B,Growth","$20MM, $10MM",NY,Globally,,https://www.avenirgrowth.com/,https://www.linkedin.com/company/avenir-growth-capital,United States
Avid Ventures,New York,"All Sectors,AI/ML,Commerce,Community,Enterprise,Fintech,Marketplaces,Software,Consumer,Technology",Institutional Venture Capital (VC),"$75MM, $87MM","Series A,Series B,PreSeed,Seed","$1MM, $1M-$2MM",NY,"United States,Europe,North America",,https://www.avidventures.com/,https://www.linkedin.com/company/avid-ventures,United States
"AWM Investments, Special Situations Fund",New York,"Diagnostics,AI/ML,Female Founders,Femtech,Health,Health Care Services,Healthcare,IoT,Life Sciences,Platforms,Robotics,Social Impact,Technology,Software","Impact Fund,Growth Equity","Raising third fund,  targeting up to $250M","Growth,PreSeed,Series A,Series B,Seed","Depends on stage, PreSeed and Seed ~$250k-$500k, Series A and beyond single digit millions",NY,Globally,Fertility Innovation Fund is focused on reproductive medicine and women's health,https://www.awminvestments.com/,https://www.linkedin.com/company/awm-investments,United States
AXA Venture Partners,New York,All Sectors,"Growth Equity,Institutional Venture Capital (VC)","$1BN, $420MM, $1.2BN, $1.5BN","Seed,Series A,Series B,Growth","$1-50MM, $3MM-$10MM, $25MM, $3MM - $10MM, $75MM, $50MM-$100MM",NY,"North America,Globally,Europe,Middle East",,https://www.axavp.com/,https://www.linkedin.com/company/axa-venture-partners,United States
Axon Capital,New York,All Sectors,Family Office,$500MM,"Seed,Series A,Series B,Growth,PreSeed",$3MM,NY,Globally,,https://www.axoncapital.com/,https://www.linkedin.com/company/axon-capital,United States
Banana Capital,New York,"Consumer,Commerce,Enterprise,All Sectors",Institutional Venture Capital (VC),$10MM,"PreSeed,Seed,Series A",$25-1MM,NY,Globally,,https://www.bananacap.com/,https://www.linkedin.com/company/banana-capital,United States
Basecamp Fund (Alumni Ventures Seed Fund),New York,All Sectors,Institutional Venture Capital (VC),,"PreSeed,Seed",$150k,NY,"Globally,United States",,https://www.basecampfund.com/,https://www.linkedin.com/company/basecamp-fund,United States
BBG Ventures,New York,All Sectors,Institutional Venture Capital (VC),$10MM,"Seed,PreSeed,Series A","Less than $250k, $250-500k, Less than $250k, $500K - $2MM, $500k to $1MM",NY,United States,"To qualify for investment,  team must have at least one female founder, and must be using technology to create a competitive advantage., Originally from Brazil,  ex Goldman Sachs",https://www.bbgventures.com/,https://www.linkedin.com/company/bbg-ventures,United States
BBR Partners,New York,All Sectors,Family Office,,Series B,$1MM,NY,Globally,,https://www.bbrpartners.com/,https://www.linkedin.com/company/bbr-partners,United States
BDMI,New York,"Digital Media,SaaS,Fintech",Corporate Venture Capital (CVC),,"Seed,Series A,Series B",$250k,NY,"Europe,North America",,https://www.bdmi.com/,https://www.linkedin.com/company/bdmi,United States
Benchstrength,New York,"Commerce,Workforce,3D Printing,AR/VR,Care Economy,Civic Tech,Community,Consumer,Content,Creator Economy,Diversity,Education,Enterprise,Esports,Fitness,Fintech,Female Founders,Healthcare,Marketplaces",Institutional Venture Capital (VC),$62MM,"PreSeed,Seed",$1MM,NY,Globally,,https://benchstrength.io/,https://www.linkedin.com/company/benchstrength,United States
Beyond Capital Ventures,New York,"Healthcare,Clean Tech,Fintech","Institutional Venture Capital (VC),Impact Fund",$14MM,"Seed,Series A",$250K,NY,"Africa,Asia",,https://beyondcapitalventures.com/,https://www.linkedin.com/company/beyond-capital-ventures,United States
Bienville Capital,New York,"All Sectors,SaaS,Enterprise","Family Office,Institutional Venture Capital (VC),Fundraising Platform,Venture Studio","Multiple funds,  various sizes., $300MM","Seed,Series A,Series B,Growth,PreSeed","$1M - $3M, $1MM - $2MM, $1MM",NY,"Globally,United States,North America",,https://www.bienvillecapital.com/,https://www.linkedin.com/company/bienville-capital,United States
Big Idea Ventures,New York,"Food,Biotech","Accelerator Fund,Impact Fund","$50MM, $100MM","PreSeed,Seed,Series A","$125K-3MM, $125k, $50MM, $200K, $500k",NY,Globally,,https://bigideaventures.com/,https://www.linkedin.com/company/big-idea-ventures,United States
BioNexus,New York,"Biopharma,Biotech,Life Sciences,Healthcare","Accelerator Fund,Evergreen Fund,University Affiliated Fund",,"PreSeed,Seed",$150K,NY,United States,,https://www.bionexus.com/,https://www.linkedin.com/company/bionexus,United States
Bios Health Group,New York,"Biotech,Healthcare",Institutional Venture Capital (VC),,Seed,$100k,NY,"United States,Europe",,https://www.bioshealthgroup.com/,https://www.linkedin.com/company/bios-health-group,United States
Black Hawk Partners,New York,All Sectors,Family Office,20M - > 1B,Growth,,CA,Globally,,https://www.blackhawkpartners.com/,https://www.linkedin.com/company/black-hawk-partners,United States
Black Opal Ventures,New York,"AI/ML,Analytics,Biopharma,Biotech,Data,Deep Tech,Diagnostics,Hardware,Healthcare,Health Care Services,Health,Mental Health,SaaS",Impact Fund,$63MM,"Seed,Series A,Series B,Growth",$1MM-$2MM,NY,Globally,,https://blackopalventures.com/,https://www.linkedin.com/company/black-opal-ventures,United States
BlackRock,New York,"SaaS,Analytics,Software",Growth Equity,$300MM,Growth,$100MM,NY,North America,,https://www.blackrock.com/,https://www.linkedin.com/company/blackrock,United States
