Name,Email,Location,Type of Investor,Stage,Sector,LinkedIn,Website,Fund,Typical Investment Size,Notes
NEON,,New York NY USA,Film Fund / Production Company,Acquisition to Distribution,"Film, Entertainment, Content, Media",,https://neonrated.com,NEON,$1M-$20M,"Founded by Tom Quinn and Tim League. Parasite, I Tonya, Anatomy of a Fall. Acquires and co-finances. Growing into production."
Magnolia Pictures,,New York NY USA,Film Fund / Production Company,Acquisition to Distribution,"Film, Entertainment, Content, Media",,https://www.magnoliapictures.com,Magnolia Pictures,$500K-$10M,"Founded by Eamonn Bowles. Part of 2929 Entertainment (Mark Cuban/Todd Wagner). Indie distribution and acquisition. Also Magnet Releasing."
IFC Films,,New York NY USA,Film Fund / Production Company,Acquisition to Distribution,"Film, Entertainment, Content, Media",,https://www.ifcfilms.com,IFC Films,$500K-$5M,"AMC Networks subsidiary. Boyhood, My Big Fat Greek Wedding. Theatrical and day-and-date releasing. Acquires at festivals."
Killer Films,,New York NY USA,Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://killerfilms.com,Killer Films,$1M-$15M,"Founded by Christine Vachon and Pamela Koffler. Far From Heaven, Carol, Still Alice. Pioneering indie producer. Co-finances with equity and pre-sales."
Plan B Entertainment,,Los Angeles CA USA,Production Company / Film Fund,Development to Production,"Film, Entertainment, Content, Media",,https://planb-entertainment.com,Plan B Entertainment,$5M-$50M,"Brad Pitt's production company. 12 Years a Slave, Moonlight, The Big Short. Academy Award-winning productions. First-look deal with Warner Bros."
Chernin Entertainment,,Los Angeles CA USA,Production Company / Film Fund,Development to Production,"Film, Entertainment, Content, Media",,https://www.cherninentertainment.com,Chernin Entertainment,$10M-$100M+,"Founded by Peter Chernin (former News Corp president). Planet of the Apes trilogy, Ford v Ferrari, Hidden Figures. Also Chernin Group invests in media/tech."
Imagine Entertainment,,Beverly Hills CA USA,Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.imagine-entertainment.com,Imagine Entertainment,$10M-$100M+,"Founded by Brian Grazer and Ron Howard. A Beautiful Mind, Apollo 13, Arrested Development. Major studio relationships across film and TV."
Bad Robot Productions,,Santa Monica CA USA,Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.badrobot.com,Bad Robot,$10M-$200M+,"Founded by J.J. Abrams. Star Wars: The Force Awakens, Mission Impossible III, Westworld. Exclusive deal with Warner Bros Discovery (reported $250M)."
Harpo Films,,Chicago IL / Los Angeles CA USA,Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.oprah.com,Harpo Films,$5M-$50M,"Oprah Winfrey's production company. Beloved, The Color Purple (2023), Oprah's Book Club adaptations. Focus on uplifting stories, diverse voices."
Tyler Perry Studios,,Atlanta GA USA,Production Company / Film Fund,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.tylerperry.com,Tyler Perry Studios,$5M-$50M,"Tyler Perry's vertically integrated studio on 330-acre lot in Atlanta. Madea franchise. Produces film, TV, and stage. Owns distribution pipeline. BET+ deal."
MACRO,,Los Angeles CA USA,Film Fund / Production Company,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.staymacro.com,MACRO,$5M-$30M,"Founded by Charles D. King. Fences, Mudbound, Judas and the Black Messiah. Focus on diverse storytelling. Also MACRO Television Studios."
Higher Ground Productions,,Washington DC / Los Angeles CA USA,Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.highergroundproductions.com,Higher Ground Productions,$5M-$30M,"Founded by Barack and Michelle Obama. American Factory, Crip Camp, Leave the World Behind. Multi-year Netflix deal. Documentary and narrative."
Monkeypaw Productions,,Los Angeles CA USA,Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.monkeypawproductions.com,Monkeypaw Productions,$5M-$50M,"Founded by Jordan Peele. Get Out, Us, Nope. Universal first-look deal. Horror and social thriller focus."
ARRAY,,Los Angeles CA USA,Production Company / Distribution,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.arraynow.com,ARRAY,$1M-$15M,"Founded by Ava DuVernay. Selma, When They See Us, 13th. Distribution collective for independent films by people of color and women. ARRAY Releasing distributes."
30West,,New York NY USA,Film Finance,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.30west.com,30West,$5M-$50M,"Founded by Micah Green and Dan Friedkin. Co-finances and sells. Killers of the Flower Moon, Uncut Gems, Spencer. Elite film finance and sales advisory."
CAA Media Finance,,Los Angeles CA USA,Film Finance,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.caa.com,CAA Media Finance,$5M-$100M+,"Creative Artists Agency's film finance division. Packages and finances films using agency talent. One of the biggest packagers in Hollywood."
UTA Independent Film Group,,Beverly Hills CA USA,Film Finance,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.unitedtalent.com,UTA Independent Film Group,$1M-$30M,"United Talent Agency's indie film finance arm. Packages and co-finances independent films. Festival acquisitions and presales."
WME Independent,,Beverly Hills CA USA,Film Finance,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.wmeagency.com,WME Independent,$5M-$50M,"William Morris Endeavor's independent film division. Packaging, financing, and sales for independent films."
Bankside Films,,London UK,Film Finance / Sales,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.banksidefilms.com,Bankside Films,$1M-$20M,"International sales and co-financing. Room, Lady Macbeth. UK-based sales agent that co-finances select titles."
FilmNation Entertainment,,New York NY USA,Film Finance / Sales,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.filmnation.com,FilmNation Entertainment,$5M-$50M,"Founded by Glen Basner. Arrival, The Big Sick. Major indie film finance, production, and international sales company."
HanWay Films,,London UK,Film Finance / Sales,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.hanwayfilms.com,HanWay Films,$2M-$30M,"International sales agent and co-financier. Shame, In Bruges. Established UK-based sales company."
Rocket Science,,London UK,Film Finance / Sales,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.rocket-science.net,Rocket Science,$2M-$20M,"International sales and financing. London-based. Sells worldwide rights and co-finances independent features."
Myriad Pictures,,Los Angeles CA USA,Film Finance / Sales,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.myriadpictures.com,Myriad Pictures,$1M-$20M,"International sales and production. Founded by Kirk D'Amico. Finances and sells independent films worldwide."
XYZ Films,,Los Angeles CA USA,Film Finance / Production,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.xyzfilms.com,XYZ Films,$1M-$15M,"Genre-focused production and sales. The Raid, Mandy. Specializes in action, horror, sci-fi. Also talent management."
Protagonist Pictures,,London UK,Film Finance / Sales,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.protagonistpictures.com,Protagonist Pictures,$1M-$15M,"International sales and co-production. Ex Machina. UK-based. Festival-driven acquisitions and equity co-financing."
The Exchange,,Los Angeles CA USA,Film Finance / Sales,Pre-Production to Distribution,"Film, Entertainment, Content, Media",,https://www.theexchange.ws,The Exchange,$1M-$15M,"International sales company. Based in LA. Pre-sells international territories to finance independent productions."
Voltage Pictures,,Los Angeles CA USA,Film Finance / Sales,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.voltagepictures.com,Voltage Pictures,$1M-$30M,"International sales and production. Dallas Buyers Club, The Hurt Locker. Active in presales-based financing."
AGC Studios,,Los Angeles CA USA,Film Finance / Production,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.agcstudios.com,AGC Studios,$5M-$50M,"Founded by Stuart Ford (former IM Global). Finances, produces, and sells. Major independent studio with slate financing."
Anton Capital Entertainment,,London UK,Film Finance,Development to Distribution,"Film, Entertainment, Content, Media",,https://antoncorp.com,Anton,$5M-$50M,"Founded by Sébastien Raybaud. Co-finances studio films. Terminator: Dark Fate, Where the Crawdads Sing. European co-financing partner."
TPG Capital (Entertainment),,San Francisco CA / Fort Worth TX USA,PE - Entertainment,Growth / Buyout,"Film, Entertainment, Content, Media",,https://www.tpg.com,TPG Capital,$100M-$1B+,"Major PE firm with media/entertainment division. Invested in CAA, DirecTV Entertainment, entertainment platforms. AUM $135B+."
Apollo Global Management (Media),,New York NY USA,PE - Entertainment,Growth / Buyout,"Film, Entertainment, Content, Media",,https://www.apollo.com,Apollo Global Management,$100M-$1B+,"Alternative investment firm. Yahoo (Verizon Media), Cox Media, entertainment debt financing. AUM $600B+."
Ares Management (Media),,Los Angeles CA USA,PE - Entertainment,Growth / Buyout,"Film, Entertainment, Content, Media",,https://www.aresmgmt.com,Ares Management,$50M-$500M+,"Alternative investment manager with media/entertainment credit and equity investments. AUM $395B+. LA-based, close to entertainment industry."
Eldridge Industries,,Greenwich CT USA,PE - Entertainment,Growth / Buyout,"Film, Entertainment, Content, Media",,https://www.eldridge.com,Eldridge Industries,$50M-$500M+,"Founded by Todd Boehly. Dick Clark Productions, MRC (partial owner), Security Benefit, Chelsea FC. Major media/entertainment investor."
RedBird Capital Partners,,New York NY USA,PE - Entertainment,Growth,"Film, Entertainment, Content, Media",,https://www.redbirdcap.com,RedBird Capital,$50M-$500M,"Founded by Gerry Cardinale (ex-Goldman Sachs). YES Network, Skydance (investor), On Location. Sports and entertainment focus."
Shamrock Capital,,Los Angeles CA USA,PE - Entertainment,Growth / Buyout,"Film, Entertainment, Content, Media",,https://www.shamrockcap.com,Shamrock Capital,$25M-$250M,"Disney family office (Roy E. Disney legacy). Focuses on media, entertainment, and communications. Music rights, content libraries, media companies."
Stripes Group,,New York NY USA,PE - Entertainment,Growth,"Film, Entertainment, Content, Media",,https://www.stripes.co,Stripes,$25M-$100M,"Growth equity firm with media investments. Invested in media/consumer brands. Founded by Ken Fox."
Raine Group,,New York NY USA,PE - Entertainment / Investment Bank,Growth / Advisory,"Film, Entertainment, Content, Media",,https://www.rainegroup.com,Raine Group,$25M-$500M,"Merchant bank focused on TMT (Technology, Media, Telecom). Advised on major media M&A. Investors in entertainment companies."
Guggenheim Partners (Entertainment),,New York / Chicago / Los Angeles USA,PE - Entertainment,Growth / Buyout,"Film, Entertainment, Content, Media",,https://www.guggenheimpartners.com,Guggenheim Partners,$50M-$500M+,"Investment and advisory firm. Former owners of Dick Clark Productions. Active in entertainment/media investments. AUM $218B+."
Rizvi Traverse Management,,Los Angeles CA / New York NY USA,PE - Entertainment,Growth,"Film, Entertainment, Content, Media",,https://www.rizvitraverse.com,Rizvi Traverse,$50M-$500M+,"Founded by Suhail Rizvi. Early Twitter investor. ICM Partners (former investor), Playboy, entertainment tech. Private, low-profile."
Providence Equity Partners,,Providence RI USA,PE - Entertainment,Buyout / Growth,"Film, Entertainment, Content, Media",,https://www.provequity.com,Providence Equity Partners,$100M-$1B+,"Major PE firm focused on media/communications/education. Hulu (early investor), Univision, Yankees Entertainment. AUM $50B+."
Evolution Media Capital,,Los Angeles CA USA,PE - Entertainment / Investment Bank,Growth / Advisory,"Film, Entertainment, Content, Media",,https://www.evomedia.com,Evolution Media Capital,$10M-$100M,"Entertainment-focused merchant bank. TPG Growth partner. Invests in and advises media/entertainment companies. Hello Sunshine sale advisor."
Candle Media (Hello Sunshine),,Los Angeles CA USA,Celebrity Producer / Media Company,Growth,"Film, Entertainment, Content, Media",,https://www.candlemedia.com,Candle Media,$10M-$100M+,"Reese Witherspoon's Hello Sunshine merged into Candle Media (Blackstone-backed). Kevin Mayer and Tom Staggs. Content-driven media company. Big Little Lies."
Maximum Effort,,Los Angeles CA USA,Celebrity Producer / Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.maximumeffort.com,Maximum Effort,$5M-$30M,"Ryan Reynolds' production company and marketing firm. Free Guy, Deadpool marketing. Now part of MNTN. Content and brand entertainment."
SpringHill Company,,Los Angeles CA USA,Celebrity Producer / Media Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.springhillcompany.com,SpringHill Company,$5M-$50M,"LeBron James and Maverick Carter. Space Jam: A New Legacy, The Shop. Content, brand, consumer products. RedBird Capital invested $725M valuation."
Green Door Pictures,,London UK,Celebrity Producer / Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.greendoorpictures.com,Green Door Pictures,$2M-$15M,"Idris Elba's production company. Luther, Concrete Cowboy. Film and TV production focused on diverse stories."
Tribeca Enterprises,,New York NY USA,Celebrity Producer / Festival / Production,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.tribecafilm.com,Tribeca Enterprises,$1M-$20M,"Robert De Niro and Jane Rosenthal. Tribeca Film Festival, Tribeca Studios. Content production, festival, and distribution platform."
Smokehouse Pictures,,Los Angeles CA USA,Celebrity Producer / Production Company,Development to Production,"Film, Entertainment, Content, Media",,,Smokehouse Pictures,$5M-$30M,"George Clooney and Grant Heslov. Argo, The Midnight Sky, The Boys in the Boat. Prestige drama focus. Warner Bros relationship."
LuckyChap Entertainment,,Los Angeles CA USA,Celebrity Producer / Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.luckychap.com.au,LuckyChap Entertainment,$5M-$50M,"Margot Robbie, Tom Ackerley, Josey McNamara. Barbie, I Tonya, Promising Young Woman. Major commercial and prestige hits."
Outlier Society,,Los Angeles CA USA,Celebrity Producer / Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://outliersociety.com,Outlier Society,$5M-$30M,"Michael B. Jordan's production company. Creed III, A Journal for Jordan. First-look deal with Amazon. Inclusion rider pioneer."
Hoorae Media,,Los Angeles CA USA,Celebrity Producer / Media Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.hoorae.com,Hoorae Media,$2M-$20M,"Issa Rae's media company. Insecure, Rap Sh!t. Includes Hoorae Films, ColorCreative management, Raedio audio. WarnerMedia deal."
Get Lifted Film Co,,Los Angeles CA USA,Celebrity Producer / Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.getliftedfilmco.com,Get Lifted Film Co,$2M-$20M,"John Legend and Mike Jackson. La La Land, Jingle Jangle, Underground. Film and TV production. Grammy/Oscar/Emmy/Tony winner."
Hillbilly Films,,London UK,Celebrity Producer / Production Company,Development to Production,"Film, Entertainment, Content, Media",,,Hillbilly Films,$1M-$10M,"Emma Thompson's production company. Based in UK. Focus on literary adaptations and female-driven stories."
SunnyMarch,,London UK,Celebrity Producer / Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.sunnymarch.com,SunnyMarch,$2M-$15M,"Benedict Cumberbatch and Adam Ackland. The Mauritanian, Eric (Netflix). UK-based. Focus on socially relevant drama."
Simpson Street,,Los Angeles CA USA,Celebrity Producer / Production Company,Development to Production,"Film, Entertainment, Content, Media",,,Simpson Street,$2M-$15M,"Kerry Washington's production company. Scandal producer. Focuses on stories centered on women and people of color. ABC deal."
MountainA Films,,Los Angeles CA USA,Celebrity Producer / Production Company,Development to Production,"Film, Entertainment, Content, Media",,,MountainA Films,$2M-$15M,"Natalie Portman's production company. Co-founded with Sophie Mas. Lady in the Lake, A Tale of Love and Darkness."
Catapult Film Fund,,New York NY USA,Documentary Fund,Development,"Film, Entertainment, Content, Media",,https://www.catapultfilmfund.org,Catapult Film Fund,$15K-$50K grants,"Founded by Nion McEvoy. Provides seed funding grants for documentaries in early development. Has funded 500+ films."
Sundance Documentary Fund,,Park City UT USA,Documentary Fund,Development to Post-Production,"Film, Entertainment, Content, Media",,https://www.sundance.org/programs/documentary-fund,Sundance Documentary Fund,$20K-$150K grants,"Part of Sundance Institute. Grants for documentary films. Multiple grant categories. Highly competitive. Open call submissions."
Fork Films,,San Francisco CA USA,Documentary Fund,Development to Production,"Film, Entertainment, Content, Media",,https://www.forkfilms.com,Fork Films,$25K-$250K,"Founded by Abigail Disney. Supports documentary films with social justice focus. Also produces. The Armor of Light."
Just Films (Ford Foundation),,New York NY USA,Documentary Fund / Foundation,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.fordfoundation.org/work/challenging-inequality/just-films/,Just Films (Ford Foundation),$25K-$500K grants,"Ford Foundation's film funding initiative. Supports nonfiction storytelling for social justice. Major documentary funder."
Influence Film Foundation,,Los Angeles CA USA,Documentary Fund,Distribution,"Film, Entertainment, Content, Media",,https://www.influencefilmfoundation.com,Influence Film Foundation,Varies,"Supports distribution and impact of documentary films. Provides resources and partnerships for impact campaigns."
Doc Society (formerly BRITDOC),,London UK / New York NY USA,Documentary Fund,Development to Impact,"Film, Entertainment, Content, Media",,https://docsociety.org,Doc Society,$10K-$100K grants,"Formerly BRITDOC Foundation. Supports documentary filmmakers globally. Good Pitch, climate story fund. Major doc ecosystem builder."
Chicken & Egg Pictures,,Brooklyn NY USA,Documentary Fund,Development to Post-Production,"Film, Entertainment, Content, Media",,https://www.chickeneggpics.org,Chicken & Egg Pictures,$20K-$150K grants,"Supports women and non-binary documentary filmmakers. (Egg)celerator Lab. Flexible funding and mentorship."
ITVS (Independent Television Service),,San Francisco CA USA,Documentary Fund / Public Media,Production to Distribution,"Film, Entertainment, Content, Media",,https://itvs.org,ITVS,$50K-$350K,"Funds and co-produces independent documentaries and dramas for public television. Funded 1500+ films. Open Call and Diversity Fund."
POV / PBS,,New York NY USA,Documentary Fund / Public Media,Acquisition to Distribution,"Film, Entertainment, Content, Media",,https://www.pbs.org/pov/,POV / American Documentary,$10K-$50K licensing,"America's longest-running documentary series (PBS). Acquires and broadcasts independent docs. Also POV Shorts."
Impact Partners,,New York NY USA,Documentary Fund / Film Finance,Production to Distribution,"Film, Entertainment, Content, Media",,https://www.impactpartnersfilm.com,Impact Partners,$25K-$500K+,"Founded by Dan Cogan and Jenny Raskin. Icarus, RBG, The Cove. Equity investment in documentary films for social impact."
Film4 (Channel 4),,London UK,UK/European Film Investor,Development to Production,"Film, Entertainment, Content, Media",,https://www.film4.com,Film4,$1M-$15M,"Channel 4's film division. 12 Years a Slave, Three Billboards, Room. Development and co-production funding. UK filmmakers focus."
BBC Films,,London UK,UK/European Film Investor,Development to Production,"Film, Entertainment, Content, Media",,https://www.bbc.co.uk/bbcfilm,BBC Films,$500K-$5M,"BBC's theatrical film arm. Philomena, Brooklyn, Rocks. Co-finances British films. Annual slate of 8-12 films."
BFI (British Film Institute),,London UK,UK/European Film Investor / Public Body,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.bfi.org.uk,BFI,$50K-$2M+,"UK's lead body for film. Distributes National Lottery funding. BFI Film Fund finances British films. Annual budget ~£27M."
Working Title Films,,London UK,UK/European Film Investor / Production,Development to Production,"Film, Entertainment, Content, Media",,https://www.workingtitlefilms.com,Working Title Films,$10M-$80M+,"Eric Fellner and Tim Bevan. Darkest Hour, Les Misérables, Bridget Jones. Universal Pictures subsidiary. Major UK-based production."
StudioCanal,,Paris France / London UK,UK/European Film Investor / Studio,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.studiocanal.com,StudioCanal,$5M-$50M+,"European mini-major. Vivendi subsidiary. Paddington, Tinker Tailor Soldier Spy. Produces, acquires, and distributes across Europe."
See-Saw Films,,London UK / Sydney Australia,UK/European Film Investor / Production,Development to Production,"Film, Entertainment, Content, Media",,https://www.seesawfilms.com,See-Saw Films,$2M-$30M,"Iain Canning and Emile Sherman. The King's Speech, Lion, The Power of the Dog. UK/Australia production. Prestige focus."
DNA Films,,London UK,UK/European Film Investor / Production,Development to Production,"Film, Entertainment, Content, Media",,https://www.dnafilms.com,DNA Films,$5M-$50M,"Andrew Macdonald and Allon Reich. 28 Days Later, Ex Machina, Annihilation. Fox Searchlight deal. Genre and prestige."
Heyday Films,,London UK,UK/European Film Investor / Production,Development to Production,"Film, Entertainment, Content, Media",,https://www.heydayfilms.com,Heyday Films,$10M-$200M+,"David Heyman. Harry Potter franchise, Gravity, Once Upon a Time in Hollywood, Barbie. One of UK's most prolific producers. Warner Bros relationship."
Element Pictures,,Dublin Ireland,UK/European Film Investor / Production,Development to Production,"Film, Entertainment, Content, Media",,https://www.elementpictures.ie,Element Pictures,$1M-$20M,"Ed Guiney and Andrew Lowe. The Favourite, Room, Normal People, The Banshees of Inisherin. Leading Irish production company."
Curzon,,London UK,UK/European Film Investor / Distribution,Acquisition to Distribution,"Film, Entertainment, Content, Media",,https://www.curzon.com,Curzon,$1M-$10M,"Curzon Artificial Eye distribution + Curzon Cinemas chain. Acquires and distributes arthouse/independent films in UK. Also operates Curzon Home Cinema."
Pathé,,Paris France / London UK,UK/European Film Investor / Studio,Development to Distribution,"Film, Entertainment, Content, Media",,https://www.pathe.com,Pathé,$5M-$50M+,"Major European film company. Co-finances and distributes. The Queen, Selma (European rights). Production and cinema chain."
Wild Bunch International,,Paris France,UK/European Film Investor / Sales,Pre-Production to Distribution,"Film, Entertainment, Content, Media",,https://www.wildbunch.biz,Wild Bunch International,$2M-$20M,"Major European sales agent and co-financier. Founded by Vincent Maraval. European arthouse and genre focus."
MK2 Films,,Paris France,UK/European Film Investor / Distribution,Acquisition to Distribution,"Film, Entertainment, Content, Media",,https://www.mk2films.com,MK2 Films,$1M-$15M,"French distributor, sales agent, and cinema operator. Curates arthouse cinema. Also MK2 cinemas chain."
UK Film Tax Relief (HMRC),,London UK,Film Incentive / Tax Credit,Production,"Film, Entertainment, Content, Media",,https://www.bfi.org.uk/apply-british-certification-tax-relief,UK Film Tax Relief,25% of qualifying UK expenditure,"UK tax relief for qualifying British films. 25% Audio Visual Expenditure Credit (from 2024). Must pass cultural test or qualify as official co-production."
Georgia Film Tax Credit,,Atlanta GA USA,Film Incentive / Tax Credit,Production,"Film, Entertainment, Content, Media",,https://www.georgia.org/industries/film-entertainment,Georgia Film Tax Credit,Up to 30% transferable tax credit,"30% base credit (20% + 10% Georgia logo). Minimum $500K spend in GA. Transferable credits. Major hub: Walking Dead, Black Panther, Avengers: Endgame."
New Mexico Film Incentive,,Santa Fe NM USA,Film Incentive / Tax Credit,Production,"Film, Entertainment, Content, Media",,https://nmfilm.com,New Mexico Film Office,25-35% refundable tax credit,"25% base (30% for TV pilots, 35% for qualifying rural areas). Refundable. Breaking Bad, Oppenheimer, Sicario. Netflix studio in ABQ."
Louisiana Film Tax Credit,,Baton Rouge LA USA,Film Incentive / Tax Credit,Production,"Film, Entertainment, Content, Media",,https://www.louisianaentertainment.gov,Louisiana Entertainment,Up to 40% transferable tax credit,"25% base + 15% for Louisiana resident labor. Transferable. Minimum $300K spend. 12 Years a Slave, Beasts of the Southern Wild."
British Columbia Film Credit,,Vancouver BC Canada,Film Incentive / Tax Credit,Production,"Film, Entertainment, Content, Media",,https://www.creativebc.com,Creative BC,Up to 36% tax credit,"28% basic FIBC + 6% regional bonus + 16% DAVE digital animation. Vancouver is 'Hollywood North'. Deadpool, Planet of the Apes."
Australia Producer Offset,,Sydney Australia,Film Incentive / Tax Credit,Production,"Film, Entertainment, Content, Media",,https://www.screenaustralia.gov.au,Screen Australia,40% (features) / 20% (other),40% Producer Offset for qualifying Australian feature films. 20% for other formats. Also 16.5% Location Offset for international productions.
Ireland Section 481,,Dublin Ireland,Film Incentive / Tax Credit,Production,"Film, Entertainment, Content, Media",,https://www.screenireland.ie,Screen Ireland,32% tax credit,"32% on eligible Irish expenditure. Star Wars: The Last Jedi, Normal People. Strong creative talent base. Also Screen Ireland development funding."
Hungary Film Incentive,,Budapest Hungary,Film Incentive / Tax Credit,Production,"Film, Entertainment, Content, Media",,https://www.filmalap.hu,Hungarian Film Fund,30% rebate on qualifying spend,"30% cash rebate. Blade Runner 2049, The Martian, Dune. Competitive crew rates. Origo Studios, Korda Studios."
Czech Republic Film Incentive,,Prague Czech Republic,Film Incentive / Tax Credit,Production,"Film, Entertainment, Content, Media",,https://www.fondkinematografie.cz,Czech Film Fund,20% cash rebate,"20% cash rebate on Czech spend. Additional 10% for VFX. Spider-Man: Far From Home, The Gray Man. Barrandov Studios."
South Korea Film Incentive,,Seoul South Korea,Film Incentive / Tax Credit,Production,"Film, Entertainment, Content, Media",,https://www.kofic.or.kr,KOFIC,Up to 30% cash rebate,"Up to 30% for foreign productions. Korean content wave driving investment. Squid Game location incentives."
Cross Creek Pictures,,Los Angeles CA USA,Film Fund / Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://www.crosscreekpictures.com,Cross Creek Pictures,$10M-$50M,"Founded by Timmy Thompson and Tyler Thompson. Black Swan, Hacksaw Ridge, Everest. Equity co-financing with major studios."
Sierra/Affinity (now part of AGC),,Los Angeles CA USA,Film Finance / Sales,Pre-Production to Distribution,"Film, Entertainment, Content, Media",,,Sierra/Affinity (AGC),Varies,"International sales and financing. Now part of AGC Studios. Previously financed and sold major independent films."
Black Bear Pictures,,Los Angeles CA USA,Film Fund / Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://blackbearpictures.com,Black Bear Pictures,$5M-$30M,"Founded by Teddy Schwarzman. The Imitation Game, The Banker, Passing. Equity-finances and produces prestige films."
Waypoint Entertainment,,Los Angeles CA USA,Film Fund / Production Company,Development to Production,"Film, Entertainment, Content, Media",,https://waypointentertainment.com,Waypoint Entertainment,$5M-$30M,"Ken Kao's production company. La La Land (co-financed), The Neon Demon. Art-house and prestige focus."
