Name,Type,Free Tier Available,What's Included Free,Paid Price,Website URL,Notes,Twitter,YouTube,LinkedIn
Product Hunt,Directory,Yes - Fully Free,Discover and launch new products; browse by category,N/A - Free,https://www.producthunt.com,Truly free; great for discovering startup tools,https://twitter.com/ProductHunt,,https://www.linkedin.com/company/product-hunt/
Indie Hackers,Directory,Yes - Fully Free,Community of bootstrapped founders; revenue milestones; discussions,N/A - Free,https://www.indiehackers.com,Truly free; transparent revenue data from founders,https://twitter.com/IndieHackers,,https://www.linkedin.com/company/indie-hackers/
BetaList,Directory,Yes - Freemium,Browse upcoming startups in beta; free basic submission,Featured listing from $129,https://betalist.com,Free to browse and basic submit; paid for featured placement,https://twitter.com/BetaList,,https://www.linkedin.com/company/betalist/
Wellfound (formerly AngelList Talent),Directory,Yes - Fully Free,Startup job board; company profiles; salary data,N/A - Free,https://wellfound.com,Truly free; 130K+ startups; salary transparency,https://twitter.com/wellfoundhq,,https://www.linkedin.com/company/wellfound/
Dealroom,Database,Yes - Freemium,Limited company and investor profiles; some market data,Custom enterprise pricing,https://dealroom.co,Free tier limited; strong European data; used by governments,https://twitter.com/dealaborroom,,https://www.linkedin.com/company/dealroom-co/
CB Insights,Database,Yes - Very Limited,Limited free newsletter and occasional reports,Subscription from ~$10K/yr,https://www.cbinsights.com,Expensive; some free content via newsletter and blog,https://twitter.com/CBinsights,https://www.youtube.com/@CBInsights,https://www.linkedin.com/company/cb-insights/
Tracxn,Database,Yes - Freemium,Limited company profiles and sector reports,From $500/mo,https://www.tracxn.com,Free tier very limited; strong in India and emerging markets,https://twitter.com/Tracxn,,https://www.linkedin.com/company/tracxn/
Beauhurst,Database,Yes - Limited,Some free UK startup data and reports,Custom pricing,https://www.beauhurst.com,UK-focused startup database; free reports available,https://twitter.com/Beauhurst,,https://www.linkedin.com/company/beauhurst/
MicroAcquire (now Acquire.com),Directory,Yes - Freemium,Browse startups for sale; free buyer account,Premium from $390/yr,https://acquire.com,Free to browse; marketplace for startup acquisitions,https://twitter.com/acquiredotcom,,https://www.linkedin.com/company/acquire-com/
SimilarWeb (for market research),Tool,Yes - Freemium,Basic website traffic data and analytics,Pro from $125/mo,https://www.similarweb.com,Free tier gives basic traffic estimates; useful for competitive research,https://twitter.com/SimilarWeb,https://www.youtube.com/@Similarweb,https://www.linkedin.com/company/similarweb/
BuiltWith,Tool,Yes - Freemium,Basic technology stack lookup for websites,Pro from $295/mo,https://builtwith.com,Free basic lookups; see what tech companies use,https://twitter.com/AuBuiltWith,,https://www.linkedin.com/company/builtwith/
Startup Genome,Database,Yes - Limited,Some free ecosystem reports and rankings,Custom pricing,https://startupgenome.com,Free annual Global Startup Ecosystem Report; great for understanding regional ecosystems,https://twitter.com/StartupGenome,,https://www.linkedin.com/company/startup-genome/
The Global Startup Ecosystem Index,Database,Yes - Fully Free,Annual ranking of 1000+ startup ecosystems worldwide,N/A - Free,https://www.startupblink.com/startupecosystemreport,Free report; covers 100+ countries,https://twitter.com/startupblink,,https://www.linkedin.com/company/startupblink/
Visible.vc Investor Database,Investor List,Yes - Freemium,Basic investor search and CRM for fundraising,From $79/mo,https://visible.vc,Free basic search; paid for full CRM and reporting features,https://twitter.com/visiblevc,,https://www.linkedin.com/company/visiblevc/
OpenDeal (Republic),Directory,Yes - Fully Free,Browse equity crowdfunding deals; investor community,N/A - Free to browse,https://republic.com,Free to browse; invest from $50; regulated equity crowdfunding,https://twitter.com/joinrepublic,,https://www.linkedin.com/company/republic/
Landscape by VC4Africa,Investor List,Yes - Fully Free,African investor and startup database,N/A - Free,https://vc4a.com/landscape,Truly free; focused on African startup ecosystem,https://twitter.com/vc4a,,https://www.linkedin.com/company/vc4africa/
DocSend Startup Index,Database,Yes - Fully Free,Annual reports on fundraising data and pitch deck metrics,N/A - Free reports,https://www.docsend.com/index,Free fundraising research; how investors review pitch decks,https://twitter.com/docsend,,https://www.linkedin.com/company/docsend/
Startup India Hub,Directory,Yes - Fully Free,Indian startup ecosystem directory; schemes and policies,N/A - Free,https://www.startupindia.gov.in,Government of India platform; truly free; India-focused,https://twitter.com/startupindia,https://www.youtube.com/@StartupIndia,https://www.linkedin.com/company/startupindia/
KfW Capital / Deutsche Startups,Directory,Yes - Fully Free,German startup and investor ecosystem directory,N/A - Free,https://www.deutsche-startups.de,Free; covers DACH startup ecosystem,https://twitter.com/deutschestartup,,https://www.linkedin.com/company/deutsche-startups/
Golden,Database,Yes - Freemium,Knowledge base with company/investor data,Custom pricing for API,https://golden.com,Free to browse; AI-curated company profiles,https://twitter.com/golden,,https://www.linkedin.com/company/golden-com/
SpeedInvest Market Maps,Investor List,Yes - Fully Free,European market landscape maps by sector,N/A - Free,https://speedinvest.com/market-maps,Free research from European VC; sector-specific maps,https://twitter.com/speedinvest,,https://www.linkedin.com/company/speedinvest/
Failory,Directory,Yes - Fully Free,Database of failed startups and post-mortems,N/A - Free,https://www.failory.com,Truly free; learn from startup failures globally,https://twitter.com/failaborory,,https://www.linkedin.com/company/failory/
SaaS Mag Top 50,Directory,Yes - Fully Free,Annual ranking of top SaaS companies globally,N/A - Free,https://www.saasmag.com,Free annual list; useful for SaaS market research,,,
Sifted (EU Startups),Database,Yes - Freemium,European startup news and data,Pro from €25/mo,https://sifted.eu,Free articles limited; strong European startup data,https://twitter.com/SiftedEU,,https://www.linkedin.com/company/sifted/
