Name,Grantor,Amount,Deadline,Eligibility,Sector Focus,Geographic Focus,Website,Apply URL,Notes,Twitter,YouTube
Innovate UK Smart Grants,Innovate UK,£25K–£500K,Quarterly competitions,UK-registered businesses,Technology / R&D,UK,https://www.ukri.org/councils/innovate-uk,https://apply-for-innovation-funding.service.gov.uk,UK government innovation grants,https://twitter.com/InnovateUK,https://www.youtube.com/@InnovateUK
EIC Accelerator (EU),European Innovation Council,Up to €2.5M grant + €15M equity,Cut-off dates ~Mar/Oct,EU-based SMEs,Deep Tech / Multi-sector,EU,https://eic.ec.europa.eu/eic-funding-opportunities/eic-accelerator_en,https://eic.ec.europa.eu/eic-funding-opportunities/eic-accelerator_en,EU's flagship startup grant+equity program,https://twitter.com/EUeic,
Horizon Europe (EIC Pathfinder),European Commission,Up to €3M–€4M,Annual calls,EU research teams + SMEs,Science / Deep Tech / R&D,EU,https://eic.ec.europa.eu/eic-funding-opportunities/eic-pathfinder_en,,Frontier research funding,https://twitter.com/EUeic,
SME Instrument (now EIC Accelerator),European Commission,€50K (lump sum feasibility) + up to €2.5M,See EIC Accelerator,EU SMEs,Technology / Innovation,EU,https://eic.ec.europa.eu,,Now merged into EIC Accelerator,https://twitter.com/EUeic,
Enterprise Ireland Competitive Start Fund,Enterprise Ireland,€50K,Multiple calls/year,Irish-based startups,Technology / Multi-sector,Ireland,https://www.enterprise-ireland.com,https://www.enterprise-ireland.com/en/funding-supports/company/esetablish-sme-funding/competitive-start-fund.html,Irish government startup fund,https://twitter.com/Aborentire,
BPI France (various programs),Bpifrance,€10K–€500K+,Rolling,French startups and SMEs,Technology / Innovation,France,https://www.bpifrance.fr,https://www.bpifrance.fr/catalogue-offres,French national investment bank,https://twitter.com/Bpifrance,https://www.youtube.com/@Bpifrance
EXIST Business Startup Grant,German Federal Ministry,Up to €150K + living expenses,Rolling (via universities),Researchers/students in Germany,Technology / R&D,Germany,https://www.exist.de/EN,https://www.exist.de/EN/Programme/EXIST-Business-Start-Up-Grant/content.html,German university spin-out grant,,
High-Tech Gründerfonds (HTGF),HTGF (Germany),Up to €1M,Rolling,German deep tech / high-tech startups,Deep Tech / Technology,Germany,https://www.htgf.de/en,https://www.htgf.de/en/for-founders,German government-backed seed fund,https://twitter.com/htgf,https://www.youtube.com/@HTGF
Vinnova Grants,Vinnova (Sweden),SEK 500K–5M,Multiple calls/year,Swedish entities,Innovation / Technology / R&D,Sweden,https://www.vinnova.se/en,https://www.vinnova.se/en/apply-for-funding,Swedish innovation agency,https://twitter.com/VINNOVA,https://www.youtube.com/@vaborinnova
Business Finland Grants,Business Finland,€5K–€1M+,Rolling,Finnish companies,Technology / R&D,Finland,https://www.businessfinland.fi,https://www.businessfinland.fi/en/for-finnish-customers/services/funding,Finnish government funding,https://twitter.com/BusinessFinland,
Startup SG (various grants),Enterprise Singapore,S$30K–$500K+,Rolling,Singapore-based startups,Technology / Multi-sector,Singapore,https://www.startupsg.gov.sg,https://www.startupsg.gov.sg/programmes,Multiple Singapore government grants,https://twitter.com/enterprisesg,
MaRS Discovery District Programs,MaRS (Canada),Varies by program,Rolling,Canadian startups,Technology / Health / Clean Tech,Canada,https://www.marsdd.com,https://www.marsdd.com/service/funding,Toronto-based innovation hub,https://twitter.com/MaRSDD,https://www.youtube.com/@MaRSDD
IRAP (Industrial Research Assistance Program),NRC (Canada),Up to C$10M,Rolling,Canadian SMEs,Technology / R&D,Canada,https://nrc.canada.ca/en/support-technology-innovation/about-nrc-industrial-research-assistance-program,https://nrc.canada.ca/en/support-technology-innovation/nrc-irap-apply-funding,Canada's premier innovation assistance,https://twitter.com/NRC_CNRC,
SR&ED Tax Credit,CRA (Canada),15-35% refundable tax credit,Annual with tax filing,Canadian companies doing R&D,Technology / R&D,Canada,https://www.canada.ca/en/revenue-agency/services/scientific-research-experimental-development-tax-incentive-program.html,,Tax incentive; not a direct grant but significant,,
Startup India Seed Fund Scheme,DPIIT (India),Up to ₹50 lakhs,Rolling,DPIIT-recognized Indian startups,Multi-sector,India,https://seedfund.startupindia.gov.in,https://seedfund.startupindia.gov.in/apply,Indian government seed fund,https://twitter.com/startupindia,https://www.youtube.com/@StartupIndia
Atal Innovation Mission (AIM),NITI Aayog (India),Varies by program,Rolling,Indian innovators and startups,Innovation / Technology,India,https://aim.gov.in,https://aim.gov.in/,Indian government innovation programs,https://twitter.com/AIMabortoInnovate,
Tony Elumelu Foundation (TEF),Tony Elumelu Foundation,$5K non-refundable seed capital,Annual (~Mar),African entrepreneurs,Multi-sector,Africa,https://www.tonyelumelufoundation.org,https://www.tonyelumelufoundation.org/TEFEntrepreneurship,10000 African entrepreneurs program,https://twitter.com/TonyElumeluFdn,https://www.youtube.com/@TonyElumeluFoundation
Africa50 Innovation Challenge,Africa50,$50K–$100K,Varies,African infrastructure innovators,Infrastructure / Technology,Africa,https://www.africa50.com,,Infrastructure innovation for Africa,https://twitter.com/Africa50Infra,
South African SME Fund,SA Government / SEDA,R50K–R500K,Rolling,South African SMEs,Multi-sector,South Africa,https://www.seda.org.za,,South African SME development,,
Japan NEDO Grants,NEDO (Japan),¥10M–¥500M+,Varies by program,Japanese entities + partners,Energy / Technology / R&D,Japan,https://www.nedo.go.jp/english,https://www.nedo.go.jp/english/activities/activities_index.html,Japanese energy + tech R&D agency,,
Korea SME Fund (KISED),KISED (Korea),₩50M–₩300M,Various calls,Korean startups,Technology / Multi-sector,South Korea,https://www.kised.or.kr/eng,https://www.kised.or.kr/eng,Korean government startup support,,
Khalifa Fund for Enterprise Development,Khalifa Fund (UAE),AED 100K–5M,Rolling,UAE-based entrepreneurs,Multi-sector,UAE,https://www.khalifafund.ae,https://www.khalifafund.ae/en/apply,Abu Dhabi entrepreneurship fund,https://twitter.com/KhalifaFund,
Mohammed bin Rashid Innovation Fund,MBRIF (UAE),AED 500K–15M guarantee,Rolling,UAE-based innovators,Innovation / Technology,UAE,https://www.mbrif.ae,https://www.mbrif.ae/apply,Dubai innovation guarantee fund,https://twitter.com/MBRIF_UAE,
Founders Pledge Climate Grants,Founders Pledge,$100K–$1M+,Rolling,Climate organizations,Climate / Environment,Global,https://founderspledge.com,https://founderspledge.com/climate,Climate-focused philanthropic grants,https://twitter.com/FoundersPledge,
Schmidt Futures,Schmidt Futures (Eric Schmidt),Varies,By invitation/application,Scientists and technologists,Science / AI / Technology,Global,https://www.schmidtfutures.com,,Eric Schmidt's philanthropic venture,https://twitter.com/schmidtfutures,
Mozilla Builders / MOSS Grants,Mozilla Foundation,$10K–$250K,Periodic,Open source / internet health projects,Open Source / Internet,Global,https://future.mozilla.org,,Open source and internet health,https://twitter.com/mozilla,https://www.youtube.com/@Mozilla
Stripe Climate Fund,Stripe,Varies (carbon removal purchases),Rolling,Carbon removal companies,Climate / Carbon Removal,Global,https://stripe.com/climate,,Advance market commitment for carbon removal,https://twitter.com/stripe,
