Name,Author/Organization,Focus/Topics,Update Frequency,Website URL,Notes,Twitter
CB Insights Blog,CB Insights,Market research and tech trends,Daily,https://www.cbinsights.com/research,Data-driven market intelligence research,https://twitter.com/CBinsights
The Macro (YC Blog),Y Combinator,Founder stories and advice,Monthly,https://www.ycombinator.com/library,YC founder library and resources,https://twitter.com/ycombinator
Startup Lessons Learned,Eric Ries,Lean startup methodology,Occasional,https://www.startuplessonslearned.com,Lean Startup author blog,https://twitter.com/ericries
Signal v. Noise,37signals (Basecamp),Business and product philosophy,Weekly,https://world.hey.com/jason,Rework authors unconventional business takes,https://twitter.com/jasonfried
Tim Ferriss Blog,Tim Ferriss,Productivity and lifestyle design,Weekly,https://tim.blog,4-Hour Work Week author; startup advisor,https://twitter.com/tferriss
Wait But Why,Tim Urban,Technology and thinking long-form,Occasional,https://waitbutwhy.com,Long-form explainers on AI and technology,https://twitter.com/waitbutwhy
Venture Hacks,Naval Ravikant & Babak Nivi,Startup fundraising advice,Archive (still valuable),https://venturehacks.com,AngelList founders classic fundraising advice,https://twitter.com/venturehacks
Bill Gurley Above the Crowd,Bill Gurley (Benchmark),Marketplace and tech investing,Occasional,https://abovethecrowd.com,Uber early investor; legendary marketplace analysis,https://twitter.com/bgurley
Mattermark Blog,Mattermark,Startup data and analysis,Archive (still valuable),https://mattermark.com/blog,Startup research and data analysis (archived),https://twitter.com/mattermark
Version One Blog,Version One Ventures,Early-stage VC insights,Weekly,https://versionone.vc/blog,Vancouver-based early-stage VC,https://twitter.com/vaborersiononevc
Point Nine Blog,Point Nine Capital,SaaS and marketplace investing,Weekly,https://www.pointnine.com/blog,European SaaS-focused VC blog,https://twitter.com/paborointnine
OpenView Blog,OpenView Partners,Product-led growth and expansion,Weekly,https://openviewpartners.com/blog,PLG and expansion stage insights,https://twitter.com/OpenViewVenture
Initialized Capital Blog,Initialized Capital,Early-stage tech investing,Monthly,https://initialized.com/blog,Garry Tan (now YC CEO) founded firm,https://twitter.com/initialized
Battery Ventures Blog,Battery Ventures,Enterprise tech investing,Weekly,https://www.battery.com/blog,Enterprise and technology-focused VC insights,https://twitter.com/batteryventures
Future by a16z,Andreessen Horowitz,Web3 and crypto,Weekly,https://a16zcrypto.com/posts,Dedicated crypto/Web3 insights from a16z,https://twitter.com/a16zcrypto
Notion Capital Blog,Notion Capital,European SaaS investing,Monthly,https://notion.vc/blog,London-based SaaS VC blog,https://twitter.com/notioncap
EU-Startups Blog,EU-Startups,European startup ecosystem,Daily,https://www.eu-startups.com,European startup news and analysis,https://twitter.com/EU_Startups
Tech in Asia Blog,Tech in Asia,Asian startup ecosystem,Daily,https://www.techinasia.com,Leading Asian tech and startup coverage,https://twitter.com/techinasia
