Name,Type,Sector Focus,Stage,Geographic Focus,Check Size,Website,Pitch URL,LinkedIn,Twitter,YouTube,Lead/Follow,Notable Portfolio,Application Type,Diversity Focus,Notes
Insight Partners,VC,Software / Technology,Growth,Global,$10M–$500M+,https://www.insightpartners.com,,https://www.linkedin.com/company/insight-partners,https://twitter.com/insaborightpartners,,Lead,"Twitter, Shopify, SemRush",Warm Intro Recommended,No specific focus,Software-focused growth investor
Tiger Global Management,VC,Technology / Internet,Growth,Global,$10M–$500M+,https://www.tigerglobal.com,,https://www.linkedin.com/company/tiger-global-management,,,Lead,"Stripe, Flipkart, Instacart",Warm Intro Recommended,No specific focus,Known for rapid deal-making
Coatue Management,VC,Technology / TMT,Growth,Global,$5M–$200M+,https://www.coatue.com,,https://www.linkedin.com/company/coatue-management,https://twitter.com/coaboratue,,Lead,"Snap, DoorDash, Chime",Warm Intro Recommended,No specific focus,Crossover public/private investor
Battery Ventures,VC,Technology / Enterprise,Early to Growth,US / Global,$1M–$50M,https://www.battery.com,,https://www.linkedin.com/company/battery-ventures,https://twitter.com/batteryventures,,Lead,"Groupon, Wayfair, Coinbase",Warm Intro Recommended,No specific focus,Enterprise and infrastructure focus
IVP (Institutional Venture Partners),VC,Technology / Consumer,Late Stage / Growth,US,$10M–$100M,https://www.ivp.com,,https://www.linkedin.com/company/institutional-venture-partners,https://twitter.com/ivp,,Lead,"Twitter, Snap, Dropbox",Warm Intro Recommended,No specific focus,Late-stage specialist
Union Square Ventures,VC,Web3 / Marketplace / Climate,Early Stage,US / Global,$1M–$25M,https://www.usv.com,https://www.usv.com/writing/submit/,https://www.linkedin.com/company/union-square-ventures,https://twitter.com/usaborv,,Lead,"Twitter, Etsy, Coinbase",Open Application,No specific focus,Thesis-driven investing
First Round Capital,VC,Technology / Multi-sector,Pre-Seed / Seed,US,$250K–$5M,https://firstround.com,,https://www.linkedin.com/company/first-round-capital,https://twitter.com/firstround,https://www.youtube.com/@FirstRoundCapital,Lead,"Uber, Square, Notion",Warm Intro Recommended,No specific focus,Community-driven seed fund
Khosla Ventures,VC,Deep Tech / Climate / Health,Seed to Growth,US / Global,$500K–$50M,https://www.khoslaventures.com,,https://www.linkedin.com/company/khosla-ventures,https://twitter.com/khaboroslaventures,,Lead,"Square, Stripe, DoorDash",Warm Intro Recommended,No specific focus,Vinod Khosla's fund — bold bets
Spark Capital,VC,Consumer / Enterprise / Crypto,Early Stage,US,$1M–$25M,https://www.sparkcapital.com,,https://www.linkedin.com/company/spark-capital,https://twitter.com/sparkcapital,,Lead,"Twitter, Slack, Oculus",Warm Intro Recommended,No specific focus,Backed Twitter and Slack
Redpoint Ventures,VC,Enterprise / Infrastructure,Early to Growth,US / Global,$1M–$50M,https://www.redpoint.com,,https://www.linkedin.com/company/redpoint-ventures,https://twitter.com/redaborpointvc,,Lead,"Netflix, Stripe, Snowflake",Warm Intro Recommended,No specific focus,Infrastructure and cloud focus
Ribbit Capital,VC,Fintech,Early to Growth,Global,$1M–$50M,https://ribbitcap.com,,https://www.linkedin.com/company/ribbit-capital,https://twitter.com/ribbitcap,,Lead,"Robinhood, Coinbase, Nubank",Warm Intro Recommended,No specific focus,Fintech specialist
Felicis Ventures,VC,Technology / Climate / Health,Seed to Series B,US / Global,$500K–$25M,https://www.felicis.com,,https://www.linkedin.com/company/felicis-ventures,https://twitter.com/felicis,,Lead,"Shopify, Credit Karma, Adyen",Warm Intro Recommended,No specific focus,Aydin Senkut's fund
Craft Ventures,VC,SaaS / Fintech / Crypto,Seed to Series B,US,$1M–$25M,https://www.craftventures.com,,https://www.linkedin.com/company/craft-ventures,https://twitter.com/craftaborventures,,Lead,"Tesla, SpaceX, Bird",Warm Intro Recommended,No specific focus,David Sacks' fund
Lux Capital,VC,Deep Tech / Science / Frontier,Seed to Growth,US / Global,$500K–$50M,https://www.luxcapital.com,,https://www.linkedin.com/company/lux-capital,https://twitter.com/luxcapital,,Lead,"Anduril, Desktop Metal,Evolv",Warm Intro Recommended,No specific focus,Science-backed ventures
Initialized Capital,VC,Technology / Multi-sector,Pre-Seed / Seed,US,$250K–$5M,https://initialized.com,,https://www.linkedin.com/company/initialized-capital,https://twitter.com/initialized,,Lead,"Coinbase, Instacart, Cruise",Warm Intro Recommended,No specific focus,Garry Tan's early fund
Thrive Capital,VC,Technology / Consumer / Enterprise,Early to Growth,US,$1M–$100M,https://www.thrivecap.com,,https://www.linkedin.com/company/thrive-capital,,,Lead,"Instagram, Spotify, Robinhood",Warm Intro Recommended,No specific focus,Josh Kushner's fund
SV Angel,VC,Technology / Multi-sector,Seed / Angel,US,$100K–$1M,https://svangel.com,,https://www.linkedin.com/company/sv-angel,https://twitter.com/svaborangel,,Follow,"Google, Airbnb, Pinterest",Warm Intro Recommended,No specific focus,Ron Conway's vehicle
Y Combinator (Continuity),VC,Technology / Multi-sector,Growth,Global,$500K–$100M+,https://www.ycombinator.com,,https://www.linkedin.com/company/y-combinator,https://twitter.com/ycombinator,https://www.youtube.com/@ycombinator,Lead,"Stripe, Airbnb, DoorDash",Warm Intro Recommended,No specific focus,YC's growth fund
Atomico,VC,Technology / Deep Tech,Series A to Growth,Europe / Global,$1M–$100M,https://www.atomico.com,,https://www.linkedin.com/company/atomico,https://twitter.com/atomico,,Lead,"Supercell, Klarna, Graphcore",Warm Intro Recommended,No specific focus,Niklas Zennström (Skype founder)
Balderton Capital,VC,Technology / Multi-sector,Series A to Growth,Europe,$1M–$50M,https://www.balderton.com,,https://www.linkedin.com/company/balderton-capital,https://twitter.com/balaboraderton,,Lead,"Revolut, Citymapper, Nutmeg",Warm Intro Recommended,No specific focus,Europe's leading VC
Northzone,VC,Technology / Fintech / Consumer,Early to Growth,Europe / Global,$1M–$50M,https://northzone.com,,https://www.linkedin.com/company/northzone,https://twitter.com/northzone,,Lead,"Spotify, iZettle, Trustpilot",Warm Intro Recommended,No specific focus,Backed Spotify
Acton Capital,VC,Internet / Marketplace,Series A to Growth,Europe,$5M–$50M,https://actoncapital.com,,https://www.linkedin.com/company/acton-capital,https://twitter.com/actoncapital,,Lead,"HomeToGo, Staffbase, Booksy",Warm Intro Recommended,No specific focus,Munich-based
EQT Ventures,VC,Technology / Multi-sector,Seed to Series B,Europe / Global,$1M–$25M,https://eqtventures.com,,https://www.linkedin.com/company/eqt-ventures,https://twitter.com/eqtventures,,Lead,"Einride, Voi, Epidemic Sound",Warm Intro Recommended,No specific focus,Part of EQT Group
Creandum,VC,Technology / SaaS / Fintech,Seed to Series A,Nordics / Europe,$500K–$15M,https://www.creandum.com,,https://www.linkedin.com/company/creandum,https://twitter.com/craboreandum,,Lead,"Spotify, Klarna, Trade Republic",Warm Intro Recommended,No specific focus,Backed Spotify and Klarna
Cherry Ventures,VC,Technology / Consumer / SaaS,Pre-Seed to Series A,Europe,$500K–$10M,https://cherry.vc,,https://www.linkedin.com/company/cherry-ventures,https://twitter.com/cherryventures,,Lead,"Flixbus, Auto1, Taxfix",Warm Intro Recommended,No specific focus,Berlin-based early stage
Earlybird Venture Capital,VC,Technology / Digital Health,Early to Growth,Europe,$500K–$25M,https://earlybird.com,,https://www.linkedin.com/company/earlybird-venture-capital,https://twitter.com/earlaborybirdvc,,Lead,"UiPath, Wefox, Peak",Warm Intro Recommended,No specific focus,Pan-European VC
Lakestar,VC,Technology / Fintech,Early to Growth,Europe,$1M–$50M,https://www.lakestar.com,,https://www.linkedin.com/company/lakestar,https://twitter.com/lakestar,,Lead,"Spotify, Revolut, Skype",Warm Intro Recommended,No specific focus,Backed Spotify
Target Global,VC,Fintech / Mobility / Enterprise,Early to Growth,Europe / Israel,$1M–$50M,https://www.targetglobal.vc,,https://www.linkedin.com/company/target-global,https://twitter.com/targetglobal,,Lead,"Auto1, Delivery Hero, Rapyd",Warm Intro Recommended,No specific focus,Berlin and Tel Aviv
83North,VC,Technology / Enterprise,Series A to Growth,Europe / Israel,$5M–$50M,https://www.83north.com,,https://www.linkedin.com/company/83north,https://twitter.com/83northVC,,Lead,"Wix, ironSource, JFrog",Warm Intro Recommended,No specific focus,Formerly Greylock IL
Partech,VC,Technology / Multi-sector,Seed to Growth,Europe / Africa,$200K–$50M,https://partechpartners.com,,https://www.linkedin.com/company/partech-partners,https://twitter.com/partechaborpartners,,Lead,"Bolt, Deezer, ManoMano",Warm Intro Recommended,No specific focus,Paris-based; Africa fund too
Sofina,VC,Technology / Consumer / Education,Growth,Europe / Global,$10M–$100M+,https://www.sofina.com,,https://www.linkedin.com/company/sofina,,,Follow,"Byju's, Delivery Hero, Flixbus",Warm Intro Recommended,No specific focus,Belgian investment company
HV Capital,VC,Technology / Multi-sector,Seed to Growth,Europe,$500K–$50M,https://www.hvcapital.com,,https://www.linkedin.com/company/hv-capital,https://twitter.com/hv_capital,,Lead,"Zalando, FlixBus, SumUp",Warm Intro Recommended,No specific focus,German VC (formerly Holtzbrinck)
Seedcamp,VC,Technology / Multi-sector,Pre-Seed / Seed,Europe,$100K–$2M,https://seedcamp.com,,https://www.linkedin.com/company/seedcamp,https://twitter.com/seedaborcamp,,Lead,"Revolut, UiPath, Wise",Warm Intro Recommended,No specific focus,Europe's leading pre-seed fund
LocalGlobe,VC,Technology / Multi-sector,Seed to Series A,Europe,$250K–$10M,https://localglobe.vc,,https://www.linkedin.com/company/localglobe,https://twitter.com/localglobe,,Lead,"Revolut, TransferWise, Improbable",Warm Intro Recommended,No specific focus,London-based seed fund
Octopus Ventures,VC,Deep Tech / Health / Fintech,Early Stage,UK / Europe,$500K–$10M,https://octopusventures.com,,https://www.linkedin.com/company/octopus-ventures,https://twitter.com/octaboropusvc,,Lead,"Zoopla, Secret Escapes, Depop",Warm Intro Recommended,No specific focus,Part of Octopus Group
SoftBank Vision Fund,VC,Technology / AI / Mobility,Growth,Global,$50M–$1B+,https://visionfund.com,,https://www.linkedin.com/company/softbank-vision-fund,https://twitter.com/softbank,,Lead,"Uber, WeWork, DoorDash",Warm Intro Recommended,No specific focus,Massive growth fund
SoftBank Asia (SB Opportunity Fund),VC,Technology / Multi-sector,Early to Growth,Asia,$5M–$100M,https://group.softbank/en,,https://www.linkedin.com/company/softbank-group,https://twitter.com/SoftBank,,Lead,"Grab, Tokopedia, GoTo",Warm Intro Recommended,No specific focus,Asia-focused arm
Hillhouse Capital,VC,Technology / Consumer / Healthcare,Growth,China / Asia,$10M–$500M+,https://www.hillhousecap.com,,https://www.linkedin.com/company/hillhouse-capital,,,Lead,"Tencent, JD.com, Zoom",Warm Intro Recommended,No specific focus,Major China tech investor
Sequoia Capital China / HongShan,VC,Technology / Consumer / Healthcare,Seed to Growth,China / Southeast Asia,$500K–$100M+,https://www.hongshan.com,,https://www.linkedin.com/company/hongshan-capital,,,Lead,"ByteDance, Meituan, Pinduoduo",Warm Intro Recommended,No specific focus,Spun out from Sequoia in 2023
GIC Ventures,VC,Technology / Multi-sector,Growth,Global,$50M–$500M+,https://www.gic.com.sg,,https://www.linkedin.com/company/gic,,,Follow,"Alibaba, Facebook, Airbnb",Warm Intro Recommended,No specific focus,Singapore sovereign wealth
Temasek,VC,Technology / Multi-sector,Growth,Global,$50M–$500M+,https://www.temasek.com.sg,,https://www.linkedin.com/company/temasek,https://twitter.com/teabormasekaborhldgs,,Follow,"Alibaba, Ant Group, PayPal",Warm Intro Recommended,No specific focus,Singapore state investor
Vertex Ventures,VC,Technology / Healthcare,Early to Growth,Southeast Asia / Global,$1M–$20M,https://www.vertexventures.com,,https://www.linkedin.com/company/vertex-ventures,,,Lead,"Grab, PatSnap, FirstCry",Warm Intro Recommended,No specific focus,Temasek-linked early stage VC
Jungle Ventures,VC,Technology / SaaS / Consumer,Series A–B,Southeast Asia,$2M–$20M,https://www.jungleventures.com,,https://www.linkedin.com/company/jungle-ventures,https://twitter.com/junglevc,,Lead,"Kredivo, Moglix, Sociolla",Warm Intro Recommended,No specific focus,Singapore-based
Golden Gate Ventures,VC,Technology / Fintech,Seed to Series A,Southeast Asia,$250K–$5M,https://goldengatevaborentures.com,,https://www.linkedin.com/company/golden-gate-ventures,https://twitter.com/goldgateven,,Lead,"Carousell, ShopBack, Carro",Warm Intro Recommended,No specific focus,Singapore-based
East Ventures,VC,Technology / Consumer,Seed to Series A,Southeast Asia / Indonesia,$100K–$5M,https://east.vc,,https://www.linkedin.com/company/east-ventures,https://twitter.com/eastventures,,Lead,"Tokopedia, Traveloka, Ruangguru",Warm Intro Recommended,No specific focus,Jakarta-based
Matrix Partners India (Z47 India),VC,Technology / Consumer / SaaS,Early to Growth,India,$1M–$30M,https://www.matrixpartners.in,,https://www.linkedin.com/company/matrix-partners-india,https://twitter.com/matrixaborpartnersin,,Lead,"Ola, Razorpay, Quikr",Warm Intro Recommended,No specific focus,Rebranded; top India VC
Accel India,VC,Technology / SaaS / Consumer,Seed to Growth,India,$500K–$100M,https://www.accel.com/india,,https://www.linkedin.com/company/accel,https://twitter.com/accel,,Lead,"Flipkart, Freshworks, Swiggy",Warm Intro Recommended,No specific focus,India arm of Accel
Elevation Capital,VC,Technology / Consumer / Fintech,Early to Growth,India,$1M–$25M,https://www.elevationcap.com,,https://www.linkedin.com/company/elevation-capital,https://twitter.com/elevationcap,,Lead,"Paytm, Swiggy, Unacademy",Warm Intro Recommended,No specific focus,Formerly SAIF Partners India
Blume Ventures,VC,Technology / Multi-sector,Pre-Seed to Series A,India,$100K–$5M,https://blume.vc,,https://www.linkedin.com/company/blume-ventures,https://twitter.com/blumeaborventures,,Lead,"Unacademy, Purplle, slice",Warm Intro Recommended,No specific focus,India early-stage VC
Chiratae Ventures,VC,Technology / Healthcare / SaaS,Early to Growth,India,$500K–$20M,https://www.chiratae.com,,https://www.linkedin.com/company/chiratae-ventures,https://twitter.com/chirataevc,,Lead,"Myntra, Lenskart, Policybazaar",Warm Intro Recommended,No specific focus,Formerly IDG Ventures India
Peak XV Partners,VC,Technology / Consumer,Seed to Growth,India / Southeast Asia,$500K–$100M,https://peakxv.com,,https://www.linkedin.com/company/peakxvpartners,https://twitter.com/peakxvpartners,,Lead,"Byju's, Zomato, Ola",Warm Intro Recommended,No specific focus,Formerly Sequoia India
Kaszek Ventures,VC,Technology / Fintech / E-commerce,Seed to Growth,Latin America,$500K–$50M,https://www.kaszek.com,,https://www.linkedin.com/company/kaszek,https://twitter.com/kaszaborek,,Lead,"Nubank, Kavak, Creditas",Warm Intro Recommended,No specific focus,Largest LATAM-focused VC
Monashees,VC,Technology / Fintech / Health,Early to Growth,Latin America,$500K–$25M,https://www.monashees.com.br,,https://www.linkedin.com/company/monashees,https://twitter.com/monashees,,Lead,"Nubank, Rappi, Loggi",Warm Intro Recommended,No specific focus,Brazil-based VC
SoftBank Latin America Fund,VC,Technology / Multi-sector,Growth,Latin America,$10M–$200M,https://latinamericafund.com,,https://www.linkedin.com/company/softbank-latin-america-fund,,,Lead,"Rappi, MadeiraMadeira, Gympass",Warm Intro Recommended,No specific focus,LATAM growth fund
Valor Capital Group,VC,Technology / Fintech,Early to Growth,Latin America / US,$1M–$25M,https://valorcapitalgroup.com,,https://www.linkedin.com/company/valor-capital-group,https://twitter.com/valoraborcp,,Lead,"Loft, CloudWalk, Nuvemshop",Warm Intro Recommended,No specific focus,Cross-border LATAM-US
ALLVP,VC,Technology / Multi-sector,Seed to Series A,Latin America / Mexico,$250K–$5M,https://allvp.vc,,https://www.linkedin.com/company/allvp,https://twitter.com/allvp,,Lead,"Kavak, Clip, Bitso",Warm Intro Recommended,No specific focus,Mexico City-based
QED Investors,VC,Fintech,Early to Growth,Global,$3M–$50M,https://www.qedinvestors.com,,https://www.linkedin.com/company/qed-investors,https://twitter.com/qedinvestors,,Lead,"Nubank, Credit Karma, SoFi",Warm Intro Recommended,No specific focus,Fintech specialist
Partech Africa,VC,Technology / Multi-sector,Seed to Series A,Africa,$200K–$10M,https://partechpartners.com/africa,,https://www.linkedin.com/company/partech-partners,https://twitter.com/partechpartners,,Lead,"Wave, TradeDepot, Yoco",Warm Intro Recommended,No specific focus,Paris-based with Africa fund
TLcom Capital,VC,Technology / Multi-sector,Seed to Series A,Africa,$500K–$10M,https://www.tlcomcapital.com,,https://www.linkedin.com/company/tlcom-capital,https://twitter.com/tlaborcomcapital,,Lead,"Andela, Twiga Foods, uLesson",Warm Intro Recommended,No specific focus,Africa-focused VC
Novastar Ventures,VC,Impact / Technology,Seed to Series A,East Africa,$250K–$5M,https://novastarventures.com,,https://www.linkedin.com/company/novastar-ventures,https://twitter.com/novastarvc,,Lead,"Poa Internet, Komaza, iProcure",Warm Intro Recommended,Yes — Impact investing for underserved communities,Impact investing in Africa
CRE Venture Capital,VC,Technology / Fintech,Early Stage,Africa,$100K–$5M,https://creventurecapital.com,,https://www.linkedin.com/company/cre-venture-capital,,,Lead,"Kobo360, Helium Health, Autochek",Warm Intro Recommended,No specific focus,Africa early stage
Algebra Ventures,VC,Technology / Multi-sector,Seed to Series A,MENA / Egypt,$250K–$5M,https://algebraventures.com,,https://www.linkedin.com/company/algebra-ventures,https://twitter.com/algebraaborvc,,Lead,"Swvl, Halan, Brimore",Warm Intro Recommended,No specific focus,Cairo-based
BECO Capital,VC,Technology / Multi-sector,Seed to Series A,MENA / UAE,$500K–$5M,https://www.becocapital.com,,https://www.linkedin.com/company/beco-capital,https://twitter.com/becocapital,,Lead,"Careem, Kitopi, Fetchr",Warm Intro Recommended,No specific focus,Dubai-based VC
Wamda Capital,VC,Technology / Multi-sector,Early to Growth,MENA,$500K–$10M,https://www.wamda.com/capital,,https://www.linkedin.com/company/wamda-capital,https://twitter.com/wamdacapital,,Lead,"Careem, Anghami, Bayzat",Warm Intro Recommended,No specific focus,MENA ecosystem builder
Global Founders Capital,VC,Technology / Multi-sector,Seed to Series A,Global,$250K–$5M,https://globalfounderscapital.com,,https://www.linkedin.com/company/global-founders-capital,https://twitter.com/gaborfc,,Lead,"Trivago, HelloFresh, Traveloka",Warm Intro Recommended,No specific focus,Rocket Internet affiliated
500 Global,VC,Technology / Multi-sector,Pre-Seed to Seed,Global,$50K–$250K,https://500.co,https://500.co/accelerator,https://www.linkedin.com/company/500global,https://twitter.com/500Global,https://www.youtube.com/@500startups,Follow,"Canva, Grab, Talkdesk",Open Application,Yes — Diversity-focused programs globally,Accelerator + fund
Plug and Play Tech Center,VC,Technology / Multi-sector,Seed,Global,$50K–$500K,https://www.plugandplaytechcenter.com,,https://www.linkedin.com/company/plug-and-play-tech-center,https://twitter.com/PlugandPlayTC,https://www.youtube.com/@PlugandPlayTechCenter,Follow,"PayPal, Dropbox, LendingClub",Warm Intro Recommended,No specific focus,Corporate innovation + VC
Antler,VC,Technology / Multi-sector,Pre-Seed,Global,$100K–$250K,https://www.antler.co,https://www.antler.co/apply,https://www.linkedin.com/company/antler,https://twitter.com/AntlerGlobal,https://www.youtube.com/@AntlerGlobal,Lead,Several early-stage globally,Open Application,Yes — Actively recruits diverse founders globally,Day-zero investor
Techstars Ventures,VC,Technology / Multi-sector,Seed,Global,$120K,https://www.techstars.com,,https://www.linkedin.com/company/techstars,https://twitter.com/techaborstars,https://www.youtube.com/@Techstars,Follow,"SendGrid, DigitalOcean, Sphero",Warm Intro Recommended,Yes — Multiple diversity-focused accelerator programs,Accelerator-linked fund
Headline (formerly e.ventures),VC,Technology / Multi-sector,Seed to Series B,US / Europe / Asia / Brazil,$500K–$25M,https://headline.com,,https://www.linkedin.com/company/headlinevc,https://twitter.com/headline,,Lead,"Sonos, Groupon, Farfetch",Warm Intro Recommended,No specific focus,Multi-geography
Global Brain,VC,Technology / IoT / AI,Seed to Growth,Japan / Global,$500K–$10M,https://globalbrains.com,,https://www.linkedin.com/company/global-brain-corporation,,,Lead,"SmartNews, FreakOut, QD Laser",Warm Intro Recommended,No specific focus,Tokyo-based VC
JAFCO,VC,Technology / Multi-sector,Early to Growth,Japan / Asia,$1M–$20M,https://www.jafco.co.jp/english,,https://www.linkedin.com/company/jafco,,,Lead,"Nomura Research, CyberAgent, DeNA",Warm Intro Recommended,No specific focus,Japan's largest VC
Wadi Accelerator / STC Ventures,VC,Technology / Telecom,Early Stage,Saudi Arabia / MENA,$250K–$5M,https://www.stc.com.sa/wadi,,https://www.linkedin.com/company/stc-group,,,Both,Various MENA startups,Warm Intro Recommended,No specific focus,Saudi telecom VC
Mubadala Ventures,VC,Technology / Multi-sector,Growth,Global / MENA,$10M–$100M+,https://www.mubadala.com,,https://www.linkedin.com/company/mubadala,https://twitter.com/mubadala,,Both,"Waymo, Virgin Hyperloop, Jio",Warm Intro Recommended,No specific focus,Abu Dhabi sovereign fund's VC arm
DisruptAD (ADQ),VC,Technology / Multi-sector,Early to Growth,MENA / Global,$5M–$50M,https://www.disruptad.com,,https://www.linkedin.com/company/disruptad,https://twitter.com/disruptaborad,,Both,Various MENA tech,Warm Intro Recommended,No specific focus,Abu Dhabi's tech investment platform
Flourish Ventures,VC,Fintech / Financial Inclusion,Early to Growth,Global (Emerging Mkts),$1M–$20M,https://flourishventures.com,,https://www.linkedin.com/company/flourish-ventures,https://twitter.com/flourishvp,,Lead,"Chime, Chipper Cash, Cred",Warm Intro Recommended,Yes — Focus on financial inclusion for underserved,Omidyar-linked fintech fund
Cathay Innovation,VC,Technology / Multi-sector,Series A–B,Global / Asia,$2M–$20M,https://cathayinnovation.com,,https://www.linkedin.com/company/cathay-innovation,https://twitter.com/cathayinnov,,Lead,"Vestiaire Collective, Exotec, Ynsect",Warm Intro Recommended,No specific focus,Cross-border US-Asia
B Capital Group,VC,Enterprise / Fintech / Health,Series B–C,Global,$10M–$60M,https://www.bcapgroup.com,,https://www.linkedin.com/company/b-capital-group,https://twitter.com/bcapgroup,,Lead,"Icertis, Evidation, Ninja Van",Warm Intro Recommended,No specific focus,Eduardo Saverin co-founded
DST Global,VC,Internet / Technology,Growth,Global,$50M–$500M+,https://dst.global,,https://www.linkedin.com/company/dst-global,,,Lead,"Facebook, Airbnb, Spotify",Warm Intro Recommended,No specific focus,Yuri Milner's fund
Norwest Venture Partners,VC,Healthcare / Enterprise / Consumer,Early to Growth,US / India / Israel,$1M–$50M,https://www.nvp.com,,https://www.linkedin.com/company/norwest-venture-partners,https://twitter.com/norwestaborvp,,Lead,"Uber, Spotify, Plaid",Warm Intro Recommended,No specific focus,Multi-stage multi-geography
Sapphire Ventures,VC,Enterprise / SaaS,Series A to Growth,US / Global,$2M–$50M,https://sapphireventures.com,,https://www.linkedin.com/company/sapphire-ventures,https://twitter.com/sapphirevc,,Lead,"LinkedIn, Box, Square",Warm Intro Recommended,No specific focus,Enterprise software focus
Scale Venture Partners,VC,Enterprise / SaaS,Series A–B,US,$2M–$25M,https://www.scalevp.com,,https://www.linkedin.com/company/scale-venture-partners,https://twitter.com/scalaborevp,,Lead,"Box, DocuSign, HubSpot",Warm Intro Recommended,No specific focus,SaaS metrics driven
Emergence Capital,VC,Enterprise / SaaS,Series A–B,US,$5M–$25M,https://www.emcap.com,,https://www.linkedin.com/company/emergence-capital,https://twitter.com/emergencecap,,Lead,"Zoom, Salesforce, Veeva",Warm Intro Recommended,No specific focus,Coaching-network SaaS fund
Menlo Ventures,VC,Technology / AI / Cyber,Early to Growth,US,$1M–$50M,https://menlovc.com,,https://www.linkedin.com/company/menlo-ventures,https://twitter.com/menloventures,,Lead,"Uber, Roku, Siri",Warm Intro Recommended,No specific focus,Silicon Valley since 1976
Canaan Partners,VC,Technology / Healthcare,Seed to Growth,US / Israel,$500K–$25M,https://www.canaan.com,,https://www.linkedin.com/company/canaan-partners,https://twitter.com/canaanaborpartners,,Lead,"Instacart, Lending Club, Match.com",Warm Intro Recommended,No specific focus,Healthcare + tech
