Name,Type,Sector Focus,Stage,Geographic Focus,Diversity Focus,Check Size,Lead/Follow,Application Type,Website,Pitch URL,LinkedIn,Twitter,YouTube,Notable Portfolio,Notes
General Catalyst,VC,Technology / Health / Fintech,Seed to Growth,Global,No specific focus,$500K–$100M+,Lead,Warm Intro Recommended,https://www.generalcatalyst.com,,https://www.linkedin.com/company/general-catalyst-partners,https://twitter.com/gcvp,,"Stripe, Snap, HubSpot",Known for Responsible Innovation
Bessemer Venture Partners,VC,Cloud / Healthcare / Consumer,Seed to Growth,Global,No specific focus,$500K–$100M,Lead,Warm Intro Recommended,https://www.bvp.com,,https://www.linkedin.com/company/bessemer-venture-partners,https://twitter.com/bessemeraborvp,https://www.youtube.com/@BessemerVP,"Shopify, Twilio, LinkedIn",Famous Anti-Portfolio page
GGV Capital (now Granite Asia),VC,Technology / Consumer,Early to Growth,US / Asia,No specific focus,$1M–$50M,Lead,Warm Intro Recommended,https://www.ggvc.com,,https://www.linkedin.com/company/ggv-capital,https://twitter.com/ggvcapital,,"Alibaba, Grab, Slack",Rebranded — US and Asia focus
Insight Partners,VC,Software / Technology,Growth,Global,No specific focus,$10M–$500M+,Lead,Warm Intro Recommended,https://www.insightpartners.com,,https://www.linkedin.com/company/insight-partners,https://twitter.com/insaborightpartners,,"Twitter, Shopify, SemRush",Software-focused growth investor
Tiger Global Management,VC,Technology / Internet,Growth,Global,No specific focus,$10M–$500M+,Lead,Warm Intro Recommended,https://www.tigerglobal.com,,https://www.linkedin.com/company/tiger-global-management,,,"Stripe, Flipkart, Instacart",Known for rapid deal-making
Coatue Management,VC,Technology / TMT,Growth,Global,No specific focus,$5M–$200M+,Lead,Warm Intro Recommended,https://www.coatue.com,,https://www.linkedin.com/company/coatue-management,https://twitter.com/coaboratue,,"Snap, DoorDash, Chime",Crossover public/private investor
Battery Ventures,VC,Technology / Enterprise,Early to Growth,US / Global,No specific focus,$1M–$50M,Lead,Warm Intro Recommended,https://www.battery.com,,https://www.linkedin.com/company/battery-ventures,https://twitter.com/batteryventures,,"Groupon, Wayfair, Coinbase",Enterprise and infrastructure focus
IVP (Institutional Venture Partners),VC,Technology / Consumer,Late Stage / Growth,US,No specific focus,$10M–$100M,Lead,Warm Intro Recommended,https://www.ivp.com,,https://www.linkedin.com/company/institutional-venture-partners,https://twitter.com/ivp,,"Twitter, Snap, Dropbox",Late-stage specialist
Union Square Ventures,VC,Web3 / Marketplace / Climate,Early Stage,US / Global,No specific focus,$1M–$25M,Lead,Open Application,https://www.usv.com,https://www.usv.com/writing/submit/,https://www.linkedin.com/company/union-square-ventures,https://twitter.com/usaborv,,"Twitter, Etsy, Coinbase",Thesis-driven investing
First Round Capital,VC,Technology / Multi-sector,Pre-Seed / Seed,US,No specific focus,$250K–$5M,Lead,Warm Intro Recommended,https://firstround.com,,https://www.linkedin.com/company/first-round-capital,https://twitter.com/firstround,https://www.youtube.com/@FirstRoundCapital,"Uber, Square, Notion",Community-driven seed fund
Khosla Ventures,VC,Deep Tech / Climate / Health,Seed to Growth,US / Global,No specific focus,$500K–$50M,Lead,Warm Intro Recommended,https://www.khoslaventures.com,,https://www.linkedin.com/company/khosla-ventures,https://twitter.com/khaboroslaventures,,"Square, Stripe, DoorDash",Vinod Khosla's fund — bold bets
Spark Capital,VC,Consumer / Enterprise / Crypto,Early Stage,US,No specific focus,$1M–$25M,Lead,Warm Intro Recommended,https://www.sparkcapital.com,,https://www.linkedin.com/company/spark-capital,https://twitter.com/sparkcapital,,"Twitter, Slack, Oculus",Backed Twitter and Slack
Redpoint Ventures,VC,Enterprise / Infrastructure,Early to Growth,US / Global,No specific focus,$1M–$50M,Lead,Warm Intro Recommended,https://www.redpoint.com,,https://www.linkedin.com/company/redpoint-ventures,https://twitter.com/redaborpointvc,,"Netflix, Stripe, Snowflake",Infrastructure and cloud focus
Ribbit Capital,VC,Fintech,Early to Growth,Global,No specific focus,$1M–$50M,Lead,Warm Intro Recommended,https://ribbitcap.com,,https://www.linkedin.com/company/ribbit-capital,https://twitter.com/ribbitcap,,"Robinhood, Coinbase, Nubank",Fintech specialist
Felicis Ventures,VC,Technology / Climate / Health,Seed to Series B,US / Global,No specific focus,$500K–$25M,Lead,Warm Intro Recommended,https://www.felicis.com,,https://www.linkedin.com/company/felicis-ventures,https://twitter.com/felicis,,"Shopify, Credit Karma, Adyen",Aydin Senkut's fund
Craft Ventures,VC,SaaS / Fintech / Crypto,Seed to Series B,US,No specific focus,$1M–$25M,Lead,Warm Intro Recommended,https://www.craftventures.com,,https://www.linkedin.com/company/craft-ventures,https://twitter.com/craftaborventures,,"Tesla, SpaceX, Bird",David Sacks' fund
Lux Capital,VC,Deep Tech / Science / Frontier,Seed to Growth,US / Global,No specific focus,$500K–$50M,Lead,Warm Intro Recommended,https://www.luxcapital.com,,https://www.linkedin.com/company/lux-capital,https://twitter.com/luxcapital,,"Anduril, Desktop Metal,Evolv",Science-backed ventures
Initialized Capital,VC,Technology / Multi-sector,Pre-Seed / Seed,US,No specific focus,$250K–$5M,Lead,Warm Intro Recommended,https://initialized.com,,https://www.linkedin.com/company/initialized-capital,https://twitter.com/initialized,,"Coinbase, Instacart, Cruise",Garry Tan's early fund
Thrive Capital,VC,Technology / Consumer / Enterprise,Early to Growth,US,No specific focus,$1M–$100M,Lead,Warm Intro Recommended,https://www.thrivecap.com,,https://www.linkedin.com/company/thrive-capital,,,"Instagram, Spotify, Robinhood",Josh Kushner's fund
SV Angel,VC,Technology / Multi-sector,Seed / Angel,US,No specific focus,$100K–$1M,Follow,Warm Intro Recommended,https://svangel.com,,https://www.linkedin.com/company/sv-angel,https://twitter.com/svaborangel,,"Google, Airbnb, Pinterest",Ron Conway's vehicle
Y Combinator (Continuity),VC,Technology / Multi-sector,Growth,Global,No specific focus,$500K–$100M+,Lead,Warm Intro Recommended,https://www.ycombinator.com,,https://www.linkedin.com/company/y-combinator,https://twitter.com/ycombinator,https://www.youtube.com/@ycombinator,"Stripe, Airbnb, DoorDash",YC's growth fund
Atomico,VC,Technology / Deep Tech,Series A to Growth,Europe / Global,No specific focus,$1M–$100M,Lead,Warm Intro Recommended,https://www.atomico.com,,https://www.linkedin.com/company/atomico,https://twitter.com/atomico,,"Supercell, Klarna, Graphcore",Niklas Zennström (Skype founder)
Balderton Capital,VC,Technology / Multi-sector,Series A to Growth,Europe,No specific focus,$1M–$50M,Lead,Warm Intro Recommended,https://www.balderton.com,,https://www.linkedin.com/company/balderton-capital,https://twitter.com/balaboraderton,,"Revolut, Citymapper, Nutmeg",Europe's leading VC
Northzone,VC,Technology / Fintech / Consumer,Early to Growth,Europe / Global,No specific focus,$1M–$50M,Lead,Warm Intro Recommended,https://northzone.com,,https://www.linkedin.com/company/northzone,https://twitter.com/northzone,,"Spotify, iZettle, Trustpilot",Backed Spotify
Acton Capital,VC,Internet / Marketplace,Series A to Growth,Europe,No specific focus,$5M–$50M,Lead,Warm Intro Recommended,https://actoncapital.com,,https://www.linkedin.com/company/acton-capital,https://twitter.com/actoncapital,,"HomeToGo, Staffbase, Booksy",Munich-based
EQT Ventures,VC,Technology / Multi-sector,Seed to Series B,Europe / Global,No specific focus,$1M–$25M,Lead,Warm Intro Recommended,https://eqtventures.com,,https://www.linkedin.com/company/eqt-ventures,https://twitter.com/eqtventures,,"Einride, Voi, Epidemic Sound",Part of EQT Group
Creandum,VC,Technology / SaaS / Fintech,Seed to Series A,Nordics / Europe,No specific focus,$500K–$15M,Lead,Warm Intro Recommended,https://www.creandum.com,,https://www.linkedin.com/company/creandum,https://twitter.com/craboreandum,,"Spotify, Klarna, Trade Republic",Backed Spotify and Klarna
Cherry Ventures,VC,Technology / Consumer / SaaS,Pre-Seed to Series A,Europe,No specific focus,$500K–$10M,Lead,Warm Intro Recommended,https://cherry.vc,,https://www.linkedin.com/company/cherry-ventures,https://twitter.com/cherryventures,,"Flixbus, Auto1, Taxfix",Berlin-based early stage
Earlybird Venture Capital,VC,Technology / Digital Health,Early to Growth,Europe,No specific focus,$500K–$25M,Lead,Warm Intro Recommended,https://earlybird.com,,https://www.linkedin.com/company/earlybird-venture-capital,https://twitter.com/earlaborybirdvc,,"UiPath, Wefox, Peak",Pan-European VC
Lakestar,VC,Technology / Fintech,Early to Growth,Europe,No specific focus,$1M–$50M,Lead,Warm Intro Recommended,https://www.lakestar.com,,https://www.linkedin.com/company/lakestar,https://twitter.com/lakestar,,"Spotify, Revolut, Skype",Backed Spotify
Target Global,VC,Fintech / Mobility / Enterprise,Early to Growth,Europe / Israel,No specific focus,$1M–$50M,Lead,Warm Intro Recommended,https://www.targetglobal.vc,,https://www.linkedin.com/company/target-global,https://twitter.com/targetglobal,,"Auto1, Delivery Hero, Rapyd",Berlin and Tel Aviv
83North,VC,Technology / Enterprise,Series A to Growth,Europe / Israel,No specific focus,$5M–$50M,Lead,Warm Intro Recommended,https://www.83north.com,,https://www.linkedin.com/company/83north,https://twitter.com/83northVC,,"Wix, ironSource, JFrog",Formerly Greylock IL
Partech,VC,Technology / Multi-sector,Seed to Growth,Europe / Africa,No specific focus,$200K–$50M,Lead,Warm Intro Recommended,https://partechpartners.com,,https://www.linkedin.com/company/partech-partners,https://twitter.com/partechaborpartners,,"Bolt, Deezer, ManoMano",Paris-based; Africa fund too
Sofina,VC,Technology / Consumer / Education,Growth,Europe / Global,No specific focus,$10M–$100M+,Follow,Warm Intro Recommended,https://www.sofina.com,,https://www.linkedin.com/company/sofina,,,"Byju's, Delivery Hero, Flixbus",Belgian investment company
HV Capital,VC,Technology / Multi-sector,Seed to Growth,Europe,No specific focus,$500K–$50M,Lead,Warm Intro Recommended,https://www.hvcapital.com,,https://www.linkedin.com/company/hv-capital,https://twitter.com/hv_capital,,"Zalando, FlixBus, SumUp",German VC (formerly Holtzbrinck)
Seedcamp,VC,Technology / Multi-sector,Pre-Seed / Seed,Europe,No specific focus,$100K–$2M,Lead,Warm Intro Recommended,https://seedcamp.com,,https://www.linkedin.com/company/seedcamp,https://twitter.com/seedaborcamp,,"Revolut, UiPath, Wise",Europe's leading pre-seed fund
LocalGlobe,VC,Technology / Multi-sector,Seed to Series A,Europe,No specific focus,$250K–$10M,Lead,Warm Intro Recommended,https://localglobe.vc,,https://www.linkedin.com/company/localglobe,https://twitter.com/localglobe,,"Revolut, TransferWise, Improbable",London-based seed fund
Octopus Ventures,VC,Deep Tech / Health / Fintech,Early Stage,UK / Europe,No specific focus,$500K–$10M,Lead,Warm Intro Recommended,https://octopusventures.com,,https://www.linkedin.com/company/octopus-ventures,https://twitter.com/octaboropusvc,,"Zoopla, Secret Escapes, Depop",Part of Octopus Group
SoftBank Vision Fund,VC,Technology / AI / Mobility,Growth,Global,No specific focus,$50M–$1B+,Lead,Warm Intro Recommended,https://visionfund.com,,https://www.linkedin.com/company/softbank-vision-fund,https://twitter.com/softbank,,"Uber, WeWork, DoorDash",Massive growth fund
SoftBank Asia (SB Opportunity Fund),VC,Technology / Multi-sector,Early to Growth,Asia,No specific focus,$5M–$100M,Lead,Warm Intro Recommended,https://group.softbank/en,,https://www.linkedin.com/company/softbank-group,https://twitter.com/SoftBank,,"Grab, Tokopedia, GoTo",Asia-focused arm
Hillhouse Capital,VC,Technology / Consumer / Healthcare,Growth,China / Asia,No specific focus,$10M–$500M+,Lead,Warm Intro Recommended,https://www.hillhousecap.com,,https://www.linkedin.com/company/hillhouse-capital,,,"Tencent, JD.com, Zoom",Major China tech investor
Sequoia Capital China / HongShan,VC,Technology / Consumer / Healthcare,Seed to Growth,China / Southeast Asia,No specific focus,$500K–$100M+,Lead,Warm Intro Recommended,https://www.hongshan.com,,https://www.linkedin.com/company/hongshan-capital,,,"ByteDance, Meituan, Pinduoduo",Spun out from Sequoia in 2023
GIC Ventures,VC,Technology / Multi-sector,Growth,Global,No specific focus,$50M–$500M+,Follow,Warm Intro Recommended,https://www.gic.com.sg,,https://www.linkedin.com/company/gic,,,"Alibaba, Facebook, Airbnb",Singapore sovereign wealth
Temasek,VC,Technology / Multi-sector,Growth,Global,No specific focus,$50M–$500M+,Follow,Warm Intro Recommended,https://www.temasek.com.sg,,https://www.linkedin.com/company/temasek,https://twitter.com/teabormasekaborhldgs,,"Alibaba, Ant Group, PayPal",Singapore state investor
Vertex Ventures,VC,Technology / Healthcare,Early to Growth,Southeast Asia / Global,No specific focus,$1M–$20M,Lead,Warm Intro Recommended,https://www.vertexventures.com,,https://www.linkedin.com/company/vertex-ventures,,,"Grab, PatSnap, FirstCry",Temasek-linked early stage VC
Jungle Ventures,VC,Technology / SaaS / Consumer,Series A–B,Southeast Asia,No specific focus,$2M–$20M,Lead,Warm Intro Recommended,https://www.jungleventures.com,,https://www.linkedin.com/company/jungle-ventures,https://twitter.com/junglevc,,"Kredivo, Moglix, Sociolla",Singapore-based
Golden Gate Ventures,VC,Technology / Fintech,Seed to Series A,Southeast Asia,No specific focus,$250K–$5M,Lead,Warm Intro Recommended,https://goldengatevaborentures.com,,https://www.linkedin.com/company/golden-gate-ventures,https://twitter.com/goldgateven,,"Carousell, ShopBack, Carro",Singapore-based
East Ventures,VC,Technology / Consumer,Seed to Series A,Southeast Asia / Indonesia,No specific focus,$100K–$5M,Lead,Warm Intro Recommended,https://east.vc,,https://www.linkedin.com/company/east-ventures,https://twitter.com/eastventures,,"Tokopedia, Traveloka, Ruangguru",Jakarta-based
Matrix Partners India (Z47 India),VC,Technology / Consumer / SaaS,Early to Growth,India,No specific focus,$1M–$30M,Lead,Warm Intro Recommended,https://www.matrixpartners.in,,https://www.linkedin.com/company/matrix-partners-india,https://twitter.com/matrixaborpartnersin,,"Ola, Razorpay, Quikr",Rebranded; top India VC
Accel India,VC,Technology / SaaS / Consumer,Seed to Growth,India,No specific focus,$500K–$100M,Lead,Warm Intro Recommended,https://www.accel.com/india,,https://www.linkedin.com/company/accel,https://twitter.com/accel,,"Flipkart, Freshworks, Swiggy",India arm of Accel
Elevation Capital,VC,Technology / Consumer / Fintech,Early to Growth,India,No specific focus,$1M–$25M,Lead,Warm Intro Recommended,https://www.elevationcap.com,,https://www.linkedin.com/company/elevation-capital,https://twitter.com/elevationcap,,"Paytm, Swiggy, Unacademy",Formerly SAIF Partners India
Blume Ventures,VC,Technology / Multi-sector,Pre-Seed to Series A,India,No specific focus,$100K–$5M,Lead,Warm Intro Recommended,https://blume.vc,,https://www.linkedin.com/company/blume-ventures,https://twitter.com/blumeaborventures,,"Unacademy, Purplle, slice",India early-stage VC
Chiratae Ventures,VC,Technology / Healthcare / SaaS,Early to Growth,India,No specific focus,$500K–$20M,Lead,Warm Intro Recommended,https://www.chiratae.com,,https://www.linkedin.com/company/chiratae-ventures,https://twitter.com/chirataevc,,"Myntra, Lenskart, Policybazaar",Formerly IDG Ventures India
Peak XV Partners,VC,Technology / Consumer,Seed to Growth,India / Southeast Asia,No specific focus,$500K–$100M,Lead,Warm Intro Recommended,https://peakxv.com,,https://www.linkedin.com/company/peakxvpartners,https://twitter.com/peakxvpartners,,"Byju's, Zomato, Ola",Formerly Sequoia India
Kaszek Ventures,VC,Technology / Fintech / E-commerce,Seed to Growth,Latin America,No specific focus,$500K–$50M,Lead,Warm Intro Recommended,https://www.kaszek.com,,https://www.linkedin.com/company/kaszek,https://twitter.com/kaszaborek,,"Nubank, Kavak, Creditas",Largest LATAM-focused VC
Monashees,VC,Technology / Fintech / Health,Early to Growth,Latin America,No specific focus,$500K–$25M,Lead,Warm Intro Recommended,https://www.monashees.com.br,,https://www.linkedin.com/company/monashees,https://twitter.com/monashees,,"Nubank, Rappi, Loggi",Brazil-based VC
SoftBank Latin America Fund,VC,Technology / Multi-sector,Growth,Latin America,No specific focus,$10M–$200M,Lead,Warm Intro Recommended,https://latinamericafund.com,,https://www.linkedin.com/company/softbank-latin-america-fund,,,"Rappi, MadeiraMadeira, Gympass",LATAM growth fund
Valor Capital Group,VC,Technology / Fintech,Early to Growth,Latin America / US,No specific focus,$1M–$25M,Lead,Warm Intro Recommended,https://valorcapitalgroup.com,,https://www.linkedin.com/company/valor-capital-group,https://twitter.com/valoraborcp,,"Loft, CloudWalk, Nuvemshop",Cross-border LATAM-US
ALLVP,VC,Technology / Multi-sector,Seed to Series A,Latin America / Mexico,No specific focus,$250K–$5M,Lead,Warm Intro Recommended,https://allvp.vc,,https://www.linkedin.com/company/allvp,https://twitter.com/allvp,,"Kavak, Clip, Bitso",Mexico City-based
QED Investors,VC,Fintech,Early to Growth,Global,No specific focus,$3M–$50M,Lead,Warm Intro Recommended,https://www.qedinvestors.com,,https://www.linkedin.com/company/qed-investors,https://twitter.com/qedinvestors,,"Nubank, Credit Karma, SoFi",Fintech specialist
Partech Africa,VC,Technology / Multi-sector,Seed to Series A,Africa,No specific focus,$200K–$10M,Lead,Warm Intro Recommended,https://partechpartners.com/africa,,https://www.linkedin.com/company/partech-partners,https://twitter.com/partechpartners,,"Wave, TradeDepot, Yoco",Paris-based with Africa fund
TLcom Capital,VC,Technology / Multi-sector,Seed to Series A,Africa,No specific focus,$500K–$10M,Lead,Warm Intro Recommended,https://www.tlcomcapital.com,,https://www.linkedin.com/company/tlcom-capital,https://twitter.com/tlaborcomcapital,,"Andela, Twiga Foods, uLesson",Africa-focused VC
Novastar Ventures,VC,Impact / Technology,Seed to Series A,East Africa,Yes — Impact investing for underserved communities,$250K–$5M,Lead,Warm Intro Recommended,https://novastarventures.com,,https://www.linkedin.com/company/novastar-ventures,https://twitter.com/novastarvc,,"Poa Internet, Komaza, iProcure",Impact investing in Africa
CRE Venture Capital,VC,Technology / Fintech,Early Stage,Africa,No specific focus,$100K–$5M,Lead,Warm Intro Recommended,https://creventurecapital.com,,https://www.linkedin.com/company/cre-venture-capital,,,"Kobo360, Helium Health, Autochek",Africa early stage
Algebra Ventures,VC,Technology / Multi-sector,Seed to Series A,MENA / Egypt,No specific focus,$250K–$5M,Lead,Warm Intro Recommended,https://algebraventures.com,,https://www.linkedin.com/company/algebra-ventures,https://twitter.com/algebraaborvc,,"Swvl, Halan, Brimore",Cairo-based
BECO Capital,VC,Technology / Multi-sector,Seed to Series A,MENA / UAE,No specific focus,$500K–$5M,Lead,Warm Intro Recommended,https://www.becocapital.com,,https://www.linkedin.com/company/beco-capital,https://twitter.com/becocapital,,"Careem, Kitopi, Fetchr",Dubai-based VC
Wamda Capital,VC,Technology / Multi-sector,Early to Growth,MENA,No specific focus,$500K–$10M,Lead,Warm Intro Recommended,https://www.wamda.com/capital,,https://www.linkedin.com/company/wamda-capital,https://twitter.com/wamdacapital,,"Careem, Anghami, Bayzat",MENA ecosystem builder
Global Founders Capital,VC,Technology / Multi-sector,Seed to Series A,Global,No specific focus,$250K–$5M,Lead,Warm Intro Recommended,https://globalfounderscapital.com,,https://www.linkedin.com/company/global-founders-capital,https://twitter.com/gaborfc,,"Trivago, HelloFresh, Traveloka",Rocket Internet affiliated
500 Global,VC,Technology / Multi-sector,Pre-Seed to Seed,Global,Yes — Diversity-focused programs globally,$50K–$250K,Follow,Open Application,https://500.co,https://500.co/accelerator,https://www.linkedin.com/company/500global,https://twitter.com/500Global,https://www.youtube.com/@500startups,"Canva, Grab, Talkdesk",Accelerator + fund
Plug and Play Tech Center,VC,Technology / Multi-sector,Seed,Global,No specific focus,$50K–$500K,Follow,Warm Intro Recommended,https://www.plugandplaytechcenter.com,,https://www.linkedin.com/company/plug-and-play-tech-center,https://twitter.com/PlugandPlayTC,https://www.youtube.com/@PlugandPlayTechCenter,"PayPal, Dropbox, LendingClub",Corporate innovation + VC
Antler,VC,Technology / Multi-sector,Pre-Seed,Global,Yes — Actively recruits diverse founders globally,$100K–$250K,Lead,Open Application,https://www.antler.co,https://www.antler.co/apply,https://www.linkedin.com/company/antler,https://twitter.com/AntlerGlobal,https://www.youtube.com/@AntlerGlobal,Several early-stage globally,Day-zero investor
Techstars Ventures,VC,Technology / Multi-sector,Seed,Global,Yes — Multiple diversity-focused accelerator programs,$120K,Follow,Warm Intro Recommended,https://www.techstars.com,,https://www.linkedin.com/company/techstars,https://twitter.com/techaborstars,https://www.youtube.com/@Techstars,"SendGrid, DigitalOcean, Sphero",Accelerator-linked fund
Headline (formerly e.ventures),VC,Technology / Multi-sector,Seed to Series B,US / Europe / Asia / Brazil,No specific focus,$500K–$25M,Lead,Warm Intro Recommended,https://headline.com,,https://www.linkedin.com/company/headlinevc,https://twitter.com/headline,,"Sonos, Groupon, Farfetch",Multi-geography
Global Brain,VC,Technology / IoT / AI,Seed to Growth,Japan / Global,No specific focus,$500K–$10M,Lead,Warm Intro Recommended,https://globalbrains.com,,https://www.linkedin.com/company/global-brain-corporation,,,"SmartNews, FreakOut, QD Laser",Tokyo-based VC
JAFCO,VC,Technology / Multi-sector,Early to Growth,Japan / Asia,No specific focus,$1M–$20M,Lead,Warm Intro Recommended,https://www.jafco.co.jp/english,,https://www.linkedin.com/company/jafco,,,"Nomura Research, CyberAgent, DeNA",Japan's largest VC
Wadi Accelerator / STC Ventures,VC,Technology / Telecom,Early Stage,Saudi Arabia / MENA,No specific focus,$250K–$5M,Both,Warm Intro Recommended,https://www.stc.com.sa/wadi,,https://www.linkedin.com/company/stc-group,,,Various MENA startups,Saudi telecom VC
Mubadala Ventures,VC,Technology / Multi-sector,Growth,Global / MENA,No specific focus,$10M–$100M+,Both,Warm Intro Recommended,https://www.mubadala.com,,https://www.linkedin.com/company/mubadala,https://twitter.com/mubadala,,"Waymo, Virgin Hyperloop, Jio",Abu Dhabi sovereign fund's VC arm
DisruptAD (ADQ),VC,Technology / Multi-sector,Early to Growth,MENA / Global,No specific focus,$5M–$50M,Both,Warm Intro Recommended,https://www.disruptad.com,,https://www.linkedin.com/company/disruptad,https://twitter.com/disruptaborad,,Various MENA tech,Abu Dhabi's tech investment platform
Flourish Ventures,VC,Fintech / Financial Inclusion,Early to Growth,Global (Emerging Mkts),Yes — Focus on financial inclusion for underserved,$1M–$20M,Lead,Warm Intro Recommended,https://flourishventures.com,,https://www.linkedin.com/company/flourish-ventures,https://twitter.com/flourishvp,,"Chime, Chipper Cash, Cred",Omidyar-linked fintech fund
Cathay Innovation,VC,Technology / Multi-sector,Series A–B,Global / Asia,No specific focus,$2M–$20M,Lead,Warm Intro Recommended,https://cathayinnovation.com,,https://www.linkedin.com/company/cathay-innovation,https://twitter.com/cathayinnov,,"Vestiaire Collective, Exotec, Ynsect",Cross-border US-Asia
B Capital Group,VC,Enterprise / Fintech / Health,Series B–C,Global,No specific focus,$10M–$60M,Lead,Warm Intro Recommended,https://www.bcapgroup.com,,https://www.linkedin.com/company/b-capital-group,https://twitter.com/bcapgroup,,"Icertis, Evidation, Ninja Van",Eduardo Saverin co-founded
DST Global,VC,Internet / Technology,Growth,Global,No specific focus,$50M–$500M+,Lead,Warm Intro Recommended,https://dst.global,,https://www.linkedin.com/company/dst-global,,,"Facebook, Airbnb, Spotify",Yuri Milner's fund
Norwest Venture Partners,VC,Healthcare / Enterprise / Consumer,Early to Growth,US / India / Israel,No specific focus,$1M–$50M,Lead,Warm Intro Recommended,https://www.nvp.com,,https://www.linkedin.com/company/norwest-venture-partners,https://twitter.com/norwestaborvp,,"Uber, Spotify, Plaid",Multi-stage multi-geography
Sapphire Ventures,VC,Enterprise / SaaS,Series A to Growth,US / Global,No specific focus,$2M–$50M,Lead,Warm Intro Recommended,https://sapphireventures.com,,https://www.linkedin.com/company/sapphire-ventures,https://twitter.com/sapphirevc,,"LinkedIn, Box, Square",Enterprise software focus
Scale Venture Partners,VC,Enterprise / SaaS,Series A–B,US,No specific focus,$2M–$25M,Lead,Warm Intro Recommended,https://www.scalevp.com,,https://www.linkedin.com/company/scale-venture-partners,https://twitter.com/scalaborevp,,"Box, DocuSign, HubSpot",SaaS metrics driven
Emergence Capital,VC,Enterprise / SaaS,Series A–B,US,No specific focus,$5M–$25M,Lead,Warm Intro Recommended,https://www.emcap.com,,https://www.linkedin.com/company/emergence-capital,https://twitter.com/emergencecap,,"Zoom, Salesforce, Veeva",Coaching-network SaaS fund
Menlo Ventures,VC,Technology / AI / Cyber,Early to Growth,US,No specific focus,$1M–$50M,Lead,Warm Intro Recommended,https://menlovc.com,,https://www.linkedin.com/company/menlo-ventures,https://twitter.com/menloventures,,"Uber, Roku, Siri",Silicon Valley since 1976
Canaan Partners,VC,Technology / Healthcare,Seed to Growth,US / Israel,No specific focus,$500K–$25M,Lead,Warm Intro Recommended,https://www.canaan.com,,https://www.linkedin.com/company/canaan-partners,https://twitter.com/canaanaborpartners,,"Instacart, Lending Club, Match.com",Healthcare + tech
