Name,Organizer,Date/Deadline,Prize Amount,Eligibility,Location,Industry Focus,Website,Apply URL,Twitter,YouTube,LinkedIn,Notes
Startup Grind Global Conference,Startup Grind / Google for Startups,Apr 2026 (application ~Jan 2026),Exposure + Google partnership,Startups globally,"Redwood City, CA, USA",Technology / Multi-sector,https://www.startupgrind.com/conference,https://www.startupgrind.com/conference/apply,https://twitter.com/StartupGrind,https://www.youtube.com/@StartupGrind,https://www.linkedin.com/company/startup-grind/,Google for Startups partnership
MassChallenge Global Finals,MassChallenge,Oct-Nov 2026,Up to $100K+ equity-free,Startups in MassChallenge programs,"Boston, MA / Global",Multi-sector,https://masschallenge.org,https://masschallenge.org/programs,https://twitter.com/masschallenge,https://www.youtube.com/@MassChallenge,https://www.linkedin.com/company/masschallenge/,Zero-equity prize competition
Hult Prize,Hult Prize Foundation,Regional 2026 / Global Finals Sep 2026,$1M,University students globally,Global (finals location varies),Social Enterprise,https://www.hultprize.org,https://www.hultprize.org/compete,https://twitter.com/HultPrize,https://www.youtube.com/@HultPrize,https://www.linkedin.com/company/hult-prize/,World's largest student social enterprise competition
Cartier Women's Initiative Awards,Cartier,Applications ~May 2026,$100K (7 regional winners),Women entrepreneurs globally,Global,Multi-sector (women-led),https://www.cartierwomensinitiative.com,https://www.cartierwomensinitiative.com/apply,https://twitter.com/CartierAwards,https://www.youtube.com/@CartierWomensInitiative,https://www.linkedin.com/company/cartier-womens-initiative/,Top prize for women founders
Google Demo Day,Google for Startups,~Nov 2026 (for selected cohorts),Exposure + investor access,Google accelerator alumni,Global,Technology / AI,https://startup.google.com/demoday,,https://twitter.com/GoogleStartups,https://www.youtube.com/@GoogleforStartups,https://www.linkedin.com/company/google-for-startups/,Invite-only for Google program graduates
Y Combinator Demo Day,Y Combinator,Mar 2026 / Aug 2026,Investor access,YC batch companies,"San Francisco, CA, USA",Technology / Multi-sector,https://www.ycombinator.com,,https://twitter.com/ycombinator,https://www.youtube.com/@ycombinator,https://www.linkedin.com/company/y-combinator/,Invite-only; top investor showcase
Pitch@Palace,Duke of York / Pitch@Palace Global,2026 events,Exposure + mentorship,Entrepreneurs globally,Global (events in 60+ countries),Multi-sector,https://pitchatpalace.com,https://pitchatpalace.com/apply,https://twitter.com/PitchatPalace,https://www.youtube.com/@PitchatPalace,https://www.linkedin.com/company/pitchatpalace/,Royal-backed global pitch platform
Forbes Under 30 Summit Pitch Competition,Forbes,Oct 2026,$1M+ (via partners),Under-30 entrepreneurs,"Location varies, USA",Multi-sector,https://www.forbes.com/under30,https://www.forbes.com/under30/apply,https://twitter.com/Forbes,https://www.youtube.com/@Forbes,https://www.linkedin.com/company/forbes-magazine/,Part of Forbes Under 30 Summit
Startup Battlefield Africa,TechCrunch,TBD 2026,$25K,African startups,Africa (location varies),Technology / Multi-sector,https://techcrunch.com,,https://twitter.com/TechCrunch,https://www.youtube.com/@TechCrunch,https://www.linkedin.com/company/techcrunch/,Focused on African startups
GITEX Future Stars,GITEX,Oct 2026,$200K+ in prizes,Global startups,"Dubai, UAE",Technology / Multi-sector,https://www.gitex.com/future-stars,https://www.gitex.com/future-stars/apply,https://twitter.com/ABORGIABORETEX,https://www.youtube.com/@GITEXGLOBAL,https://www.linkedin.com/company/gitex/,Largest tech event in MENA
Seedstars World Competition,Seedstars,2026 (regionals) / Grand Final ~Apr 2026,$500K investment prize,Startups from emerging markets,"Lausanne, Switzerland (final)",Multi-sector (emerging markets),https://www.seedstars.com,https://www.seedstars.com/community,https://twitter.com/Seedstars,https://www.youtube.com/@Seedstars,https://www.linkedin.com/company/seedstars/,Emerging market startup competition
TiE Global Pitch Competition,TiE,Regional 2026,$100K+,Startups globally,Global (events in 60 chapters),Multi-sector,https://tie.org,https://tie.org/programs,https://twitter.com/taborieGlobal,,https://www.linkedin.com/company/tie-global/,Largest entrepreneur network pitch events
Extreme Tech Challenge (XTC),XTC Foundation,2026 (finals ~May 2026),$1M+ in prizes,Impact-driven startups globally,Global,Impact / Climate / Health,https://www.extremetechchallenge.org,https://www.extremetechchallenge.org/apply,https://twitter.com/xtchallenge,https://www.youtube.com/@ExtremeTechChallenge,https://www.linkedin.com/company/extreme-tech-challenge/,Richard Branson backed; impact focus
Global EdTech Startup Awards (GESA),EdTechX,2026 events,Exposure + prizes,EdTech startups globally,Global,EdTech,https://edtechxeurope.com/gesa,https://edtechxeurope.com/gesa/apply,https://twitter.com/EdTechXGlobal,,https://www.linkedin.com/company/edtechxglobal/,Global EdTech competition
ClimateLaunchpad,Climate-KIC,National finals ~Jun 2026 / Global Final ~Oct 2026,€10K (1st place) + access to Climate-KIC,Climate/cleantech ideas globally,"Amsterdam (final), global nationals",Climate / Clean Tech,https://climatelaunchpad.org,https://climatelaunchpad.org/apply,https://twitter.com/climatelaunchpd,https://www.youtube.com/@ClimateLaunchpad,https://www.linkedin.com/company/climatelaunchpad/,World's largest green business idea competition
Hello Tomorrow Global Challenge,Hello Tomorrow,Application ~Jun 2026 / Final ~Nov 2026,€100K,Deep tech startups globally,"Paris, France",Deep Tech / Science,https://hello-tomorrow.org/global-challenge,https://hello-tomorrow.org/global-challenge/apply,https://twitter.com/hellotmrw,https://www.youtube.com/@HelloTomorrow,https://www.linkedin.com/company/hello-tomorrow/,Deep tech + science startup competition
Pioneer (remote competition),Pioneer,Rolling,$5K–$20K grants + community,Makers/founders globally,Remote / Global,Multi-sector,https://pioneer.app,https://pioneer.app/apply,https://twitter.com/pioneerdotapp,,https://www.linkedin.com/company/pioneer-app/,Remote weekly competition for builders
Shark Tank (TV),ABC / Sony Pictures,Rolling casting calls,Varies (equity deals on-air),US-based businesses,"Los Angeles, CA, USA (filming)",Consumer / Multi-sector,https://abc.com/shows/shark-tank,https://on-camera-audiences.com/shows/Shark_Tank,https://twitter.com/ABCSharkTank,https://www.youtube.com/@SharkTankGlobal,,TV show — broadcast investment
Dragons' Den (UK),BBC,Rolling casting calls,Varies (equity deals on-air),UK-based businesses,"London, UK (filming)",Consumer / Multi-sector,https://www.bbc.co.uk/programmes/b006vq92,,https://twitter.com/BBCDragonsDen,https://www.youtube.com/@BBCDragonsDen,,UK version of Shark Tank
New Venture Competition (HBS),Harvard Business School,Apr 2026,$300K+,HBS students,"Boston, MA, USA",Multi-sector,https://www.hbs.edu/newventurecompetition,,https://twitter.com/HBSNVC,,https://www.linkedin.com/school/harvard-business-school/,Top MBA startup competition
Stanford E-Challenge,Stanford University,May 2026,$40K+,Stanford students,"Stanford, CA, USA",Multi-sector,https://bases.stanford.edu,,https://twitter.com/StanfordBASES,,https://www.linkedin.com/school/stanford-university/,Stanford's main startup competition
Wharton Business Plan Competition,Wharton / UPenn,Apr 2026,$100K+,Wharton/UPenn teams,"Philadelphia, PA, USA",Multi-sector,https://whartonbpc.com,https://whartonbpc.com/apply,https://twitter.com/WhartonBPC,,https://www.linkedin.com/school/the-wharton-school/,Wharton's annual competition
Columbia Venture Competition,Columbia University,Apr 2026,$250K+,Columbia students + alumni,"New York, NY, USA",Multi-sector,https://www8.gsb.columbia.edu/entrepreneurship/venturecabompetition,,https://twitter.com/CBSEPP,,https://www.linkedin.com/school/columbia-business-school/,Columbia's main pitch competition
MWC 4YFN (Four Years From Now),GSMA / MWC,Feb-Mar 2026,Exposure + prizes,Tech startups,"Barcelona, Spain",Mobile / Connectivity,https://www.4yfn.com,https://www.4yfn.com/startup/apply,https://twitter.com/4aboryfn,,https://www.linkedin.com/company/4yfn/,Part of Mobile World Congress
Startup Istanbul Challenge,Startup Istanbul,Oct 2026,$1M+ in prizes/investment,Startups globally,"Istanbul, Turkey",Multi-sector,https://startupistanbul.com,https://startupistanbul.com/challenge,https://twitter.com/startupistanbul,https://www.youtube.com/@StartupIstanbul,https://www.linkedin.com/company/startup-istanbul/,Turkey's top startup event
Africa's Business Heroes (ABH),Alibaba Foundation,Application ~May 2026 / Finals Nov 2026,$1.5M total prizes (10 winners),African entrepreneurs,Africa (finals in various African city),Multi-sector,https://www.africabusinessheroes.org,https://www.africabusinessheroes.org/en/apply,https://twitter.com/ABH_Prize,https://www.youtube.com/@AfricasBusinessHeroes,https://www.linkedin.com/company/africas-business-heroes/,Jack Ma Foundation backed
Chivas Venture,Chivas Regal / Pernod Ricard,2026 (if running),$1M fund,Social entrepreneurs globally,Global,Social Enterprise,https://www.theventurecontest.com,,https://twitter.com/ChivasVenture,,,Social enterprise competition (check if active 2026)
Watson AI XPRIZE (successor),XPRIZE Foundation,Multi-year (check status),$5M+,AI teams globally,Global,AI / Social Impact,https://www.xprize.org,https://www.xprize.org/prizes,https://twitter.com/xprize,https://www.youtube.com/@XPRIZE,https://www.linkedin.com/company/xprize/,Multi-year challenge prizes
P&G Ventures (Innovation Challenge),Procter & Gamble,Varies,Investment + partnership,Consumer product innovators,Global,Consumer Products,https://pgventures.com,https://pgventures.com/submit,https://twitter.com/PGVentures,,https://www.linkedin.com/company/procter-and-gamble/,Corporate innovation challenge
WeWork Creator Awards (or successor),WeWork,Check current status,Up to $1M+,Startups / Creators,Global,Multi-sector / Creator,https://www.wework.com,,https://twitter.com/WeWork,,https://www.linkedin.com/company/wework/,Check if active in 2026
Female Founders Competition (Cartier),Cartier,~May 2026,$100K per regional winner,Women founders globally,Global,Multi-sector,https://www.cartierwomensinitiative.com,https://www.cartierwomensinitiative.com/apply,https://twitter.com/CartierAwards,https://www.youtube.com/@CartierWomensInitiative,https://www.linkedin.com/company/cartier-womens-initiative/,Same as Cartier Women's Initiative
Nordic Startup Awards,Nordic Startup Awards / Global Startup Awards,~Sep 2026,Recognition,Nordic startups + ecosystem,Helsinki / Stockholm / Copenhagen,Multi-sector,https://nordicstartupawards.com,https://nordicstartupawards.com/nominate,https://twitter.com/nordicawards,,https://www.linkedin.com/company/nordic-startup-awards/,Part of Global Startup Awards
Falling Walls Venture,Falling Walls Foundation,Nov 2026 (application ~Jul 2026),€30K+,Science-based startups globally,"Berlin, Germany",Science / Deep Tech,https://falling-walls.com/venture,https://falling-walls.com/venture/apply,https://twitter.com/fallingwalls,https://www.youtube.com/@FallingWalls,https://www.linkedin.com/company/falling-walls-foundation/,Berlin science startup pitch
The Venture Cup (Denmark),Venture Cup Denmark,2026,DKK 1M+,Danish startups,"Copenhagen, Denmark",Multi-sector,https://www.venturecup.dk,https://www.venturecup.dk/apply,https://twitter.com/venturecupdk,,https://www.linkedin.com/company/venture-cup-denmark/,Denmark's biggest startup competition
King Abdulaziz University Entrepreneurship Competition,KAEC,2026,SAR 1M+,MENA startups / students,"Jeddah, Saudi Arabia",Multi-sector,https://entrepreneurship.kau.edu.sa,,,,,Saudi university competition
Startup Chile Demo Day,Start-Up Chile,Biannual,Exposure + follow-on grants,Start-Up Chile cohort,"Santiago, Chile",Multi-sector,https://startupchile.org,,https://twitter.com/startupchile,https://www.youtube.com/@StartUpChile,https://www.linkedin.com/company/start-up-chile/,For program participants
Plug and Play EXPO,Plug and Play Tech Center,Biannual (Spring / Fall),Partnership + investment access,Plug and Play portfolio,"Sunnyvale, CA, USA",Multi-sector,https://www.plugandplaytechcenter.com/events,,https://twitter.com/PlugandPlayTC,https://www.youtube.com/@PlugandPlayTechCenter,https://www.linkedin.com/company/plug-and-play-tech-center/,Corporate partnership demo day
Techstars Startup Weekend (Global),Techstars,Events throughout 2026,Local prizes + mentorship,Anyone (54-hr events),Global (100+ cities),Multi-sector,https://startupweekend.org,https://startupweekend.org/events,https://twitter.com/techstars,https://www.youtube.com/@Techstars,https://www.linkedin.com/company/techstars/,Weekend-long startup creation events
Global Social Venture Competition (GSVC),Haas School (UC Berkeley),Apr 2026,$80K+,Social enterprise student teams,"Berkeley, CA, USA",Social Enterprise / Impact,https://gsvc.org,https://gsvc.org/apply,https://twitter.com/GSVC_Berkeley,,https://www.linkedin.com/company/gsvc/,Leading social venture student competition
Pitch Night by Hustle Fund,Hustle Fund,Monthly events,Potential investment,Pre-Seed founders globally,Virtual / Global,Multi-sector,https://www.hustlefund.vc/pitch-night,,https://twitter.com/hustlefundvc,,https://www.linkedin.com/company/hustle-fund/,Monthly open pitch eventsLand O'Lakes Shark Tank (Ag Innovation)
