Name,Location,Sector Focus,Stage,Cost/Equity,Program Length,Website,Apply URL,LinkedIn,Twitter,YouTube,Notes
MEST Africa,"Accra, Ghana",Technology / Multi-sector,Pre-Seed,Equity (full training program),12 months,https://meltwater.org,https://meltwater.org/apply,https://www.linkedin.com/company/mest-africa,https://twitter.com/MESTAfrica,https://www.youtube.com/@MESTAfrica,Pan-African training + incubation
RiseUp,"Cairo, Egypt",Technology / Multi-sector,Pre-Seed to Seed,No equity (events + community),Ongoing,https://riseupsummit.com,,https://www.linkedin.com/company/raboriseup,https://twitter.com/RiseUpSummit,https://www.youtube.com/@RiseUpSummit,Egypt's startup community hub
440 Industries Incubator,"Milan, Italy",Fashion / Luxury / Design Tech,Pre-Seed,Fee-based,6 months,https://440industries.com,,https://www.linkedin.com/company/440industries,,,Italian fashion tech incubator
Chinaccelerator / SOSV,"Shanghai, China",Cross-border / Technology,Pre-Seed / Seed,8% equity,4 months,https://chinaccelerator.com,https://chinaccelerator.com/apply,https://www.linkedin.com/company/chinaccelerator,https://twitter.com/chinaccelerator,,China market entry incubator
SparkLabs,"Seoul, South Korea",Technology / Multi-sector,Seed,6-8% equity,3 months,https://www.sparklabs.co.kr,https://www.sparklabs.co.kr/apply,https://www.linkedin.com/company/sparklabsgroup,https://twitter.com/sparklabsgroup,,Korea's leading startup incubator
Zeroth.AI,Hong Kong,AI / Deep Learning,Pre-Seed,Equity-based,$120K; 3 months,https://zeroth.ai,https://zeroth.ai/apply,https://www.linkedin.com/company/zeroth-ai,https://twitter.com/zeraborothai,,Asia's first AI accelerator/incubator
T-Hub,"Hyderabad, India",Technology / Multi-sector,Pre-Seed to Seed,Varies by program,3-6 months,https://t-hub.co,https://t-hub.co/programs,https://www.linkedin.com/company/t-hub,https://twitter.com/THubHyd,https://www.youtube.com/@THub,India's largest innovation hub
IIM Ahmedabad CIIE,Ahmedabad / India,Technology / Multi-sector,Pre-Seed / Seed,Varies,6-12 months,https://www.ciie.co,https://www.ciie.co/programs,https://www.linkedin.com/company/ciie,https://twitter.com/CIIE_IIMA,,India's top university incubator
NSRCEL (IIM Bangalore),"Bengaluru, India",Technology / Social Enterprise,Pre-Seed,Varies,6-12 months,https://nsrcel.org,https://nsrcel.org/programs,https://www.linkedin.com/company/nsrcel,https://twitter.com/nsrcel,https://www.youtube.com/@NSRCEL,IIM Bangalore's incubation center
Startup Chile,"Santiago, Chile",Technology / Multi-sector,Pre-Seed / Seed,0% equity (grant-based),4-6 months,https://startupchile.org,https://startupchile.org/programs,https://www.linkedin.com/company/start-up-chile,https://twitter.com/startupchile,https://www.youtube.com/@StartUpChile,Government-backed; equity-free grants up to $80K
INCmty,"Monterrey, Mexico",Technology / Multi-sector,Pre-Seed,No equity (Tec de Monterrey backed),Ongoing,https://incmty.com,https://incmty.com/apply,https://www.linkedin.com/company/incmty,https://twitter.com/INCmty,https://www.youtube.com/@INCmty,Mexico's leading entrepreneurship platform
GRID Exponential (GRIDx),"São Paulo, Brazil",Deep Tech / Science,Pre-Seed,Equity varies,6-12 months,https://gridx.com.br,,https://www.linkedin.com/company/gridexponential,,,Brazilian deep tech incubator
Creative Destruction Lab (CDL),Toronto / Global,Deep Tech / AI / Quantum,Seed,0% equity (objectives-based),9 months,https://creativedestructionlab.com,https://creativedestructionlab.com/program,https://www.linkedin.com/company/creative-destruction-lab,https://twitter.com/CDL_Global,https://www.youtube.com/@CreativeDestructionLab,Objectives-based; multiple global sites
DMZ (Toronto Metropolitan),"Toronto, Canada",Technology / Multi-sector,Pre-Seed / Seed,0% equity,5 months,https://dmz.ryerson.ca,https://dmz.ryerson.ca/apply,https://www.linkedin.com/company/the-dmz,https://twitter.com/theDMZ,https://www.youtube.com/@TheDMZ,Top-ranked university incubator globally
Communitech,"Waterloo, Canada",Technology / Multi-sector,Pre-Seed to Growth,Membership (no equity),Ongoing,https://www.communitech.ca,https://www.communitech.ca/programs,https://www.linkedin.com/company/communitech,https://twitter.com/Communitech,https://www.youtube.com/@Communitech,Waterloo Region tech hub
Microsoft for Startups Reactor,Multiple cities globally,Technology / AI / Cloud,Pre-Seed to Series A,0% equity,Ongoing,https://developer.microsoft.com/en-us/reactor,https://developer.microsoft.com/en-us/reactor,https://www.linkedin.com/company/microsoft,https://twitter.com/MicrosoftSU,,Community spaces + mentorship; no equity
Google for Startups Campus,London / Tel Aviv / São Paulo / Seoul / others,Technology / Multi-sector,Pre-Seed to Seed,0% equity,Ongoing,https://startup.google.com/campus,,https://www.linkedin.com/company/google-for-startups,https://twitter.com/GoogleStartups,https://www.youtube.com/@GoogleforStartups,Physical campuses + virtual programs; no equity
AWS Startups,Global (online),Cloud / Technology,Pre-Seed to Growth,0% equity,Credits + support ongoing,https://aws.amazon.com/startups,https://aws.amazon.com/activate,https://www.linkedin.com/company/amazon-web-services,https://twitter.com/awsstartups,https://www.youtube.com/@AWSStartups,Cloud credits + technical support; no equity
