Name,Category,Free or Paid,Description,Website URL,Notes,Twitter,YouTube,LinkedIn
Causal,Financial Model,Freemium,Visual financial modeling platform for startups,https://www.causal.app,Free for individuals; scenarios and forecasting,https://twitter.com/caaborusalapp,,https://www.linkedin.com/company/causal-app/
Pry (now Brex),Financial Model,Free,Financial planning and modeling tool for startups,https://pry.co,Acquired by Brex; free financial dashboards,https://twitter.com/braborex,,https://www.linkedin.com/company/brex/
Standard Metrics,Financial Model,Freemium,Investor reporting and financial metrics dashboard,https://www.standardmetrics.io,Free for startups; paid for investors,https://twitter.com/stdmetrics,,https://www.linkedin.com/company/standardmetrics/
Finmark (by BILL),Financial Model,Freemium,Financial modeling tool built for startups,https://finmark.com,Free trial; easy financial projections,https://twitter.com/finabormark,,https://www.linkedin.com/company/finmark/
Foresight,Financial Model,Paid,3-statement financial model builder,https://www.foresight.is,Paid templates; Excel-based financial models,https://twitter.com/fabororesightis,,
Liveplan,Financial Model,Paid,Business planning and financial forecasting software,https://www.liveplan.com,From $20/mo; good for business plan + financials,https://twitter.com/Liveplan,https://www.youtube.com/@Liveplan,https://www.linkedin.com/company/palo-alto-software/
Taylor Davidson SaaS Model,Financial Model,Free,Open-source SaaS financial model spreadsheet,https://www.foresight.is/saas,Free Google Sheets template; popular with SaaS founders,,,
ProjectionHub,Financial Model,Freemium,Financial projection templates by industry,https://www.projectionhub.com,Free basic templates; paid custom models from $50,https://twitter.com/ProjectionHub,,https://www.linkedin.com/company/projectionhub/
Coda Startup Finance Templates,Financial Model,Free,Free financial model templates in Coda,https://coda.io/gallery?filter=finance,Free; collaborative and flexible,https://twitter.com/caborodahq,,https://www.linkedin.com/company/codainc/
Carta,Cap Table,Freemium,Cap table management and equity administration,https://carta.com,Free Launch plan for early startups; industry standard globally,https://twitter.com/cartainc,https://www.youtube.com/@Carta,https://www.linkedin.com/company/carta--/
Pulley,Cap Table,Freemium,Cap table management for startups,https://pulley.com,Free for up to 25 stakeholders; YC-backed,https://twitter.com/PulleyHQ,,https://www.linkedin.com/company/pulley/
LTSE Equity,Cap Table,Free,Free cap table management tool,https://equity.ltse.com,Completely free; Long-Term Stock Exchange product,https://twitter.com/ltaborseio,,https://www.linkedin.com/company/ltse/
Captable.io (by AngelList),Cap Table,Free,Free cap table tool by AngelList,https://captable.io,Free; integrates with AngelList Stack,https://twitter.com/angellist,,https://www.linkedin.com/company/angellist/
Ledgy,Cap Table,Freemium,European equity management platform,https://www.ledgy.com,Free for early-stage; strong in EU/UK markets,https://twitter.com/LedgyApp,,https://www.linkedin.com/company/ledgy/
Eqvista,Cap Table,Freemium,Cap table management and 409A valuations,https://eqvista.com,Free basic plan; includes valuation tools,https://twitter.com/Eqvista,,https://www.linkedin.com/company/eqvista/
Shareworks (Morgan Stanley),Cap Table,Paid,Enterprise equity management platform,https://www.shareworks.com,Paid; better for growth-stage and public companies,,,https://www.linkedin.com/company/morganstanley-atwork/
Global Shares,Cap Table,Paid,Global equity plan management,https://www.globalshares.com,Paid; supports 100+ countries for equity admin,https://twitter.com/GlobalShares,,https://www.linkedin.com/company/global-shares/
Clerky,Legal,Paid,Automated legal docs for startup incorporation,https://www.clerky.com,From $99; Delaware C-Corp formation and ongoing legal,https://twitter.com/cleraborky,,https://www.linkedin.com/company/clerky/
Stripe Atlas,Legal,Paid,Startup incorporation and banking setup,https://stripe.com/atlas,One-time $500; includes incorporation + bank account globally,https://twitter.com/stripe,,https://www.linkedin.com/company/stripe/
YC SAFE (Simple Agreement for Future Equity),Legal,Free,Standard convertible instrument templates,https://www.ycombinator.com/documents,Free; industry-standard SAFE documents,https://twitter.com/ycombinator,,https://www.linkedin.com/company/y-combinator/
NVCA Model Legal Documents,Legal,Free,Standard VC deal document templates,https://nvca.org/model-legal-documents,Free; term sheets and investment agreements,https://twitter.com/NVCA,,https://www.linkedin.com/company/nvca/
Orrick Startup Toolkit,Legal,Free,Free legal document templates for startups,https://www.orrick.com/en/Total-Access/Tool-Kit,Free; from top Silicon Valley law firm,https://twitter.com/oraborrick,,https://www.linkedin.com/company/orrick/
Cooley GO,Legal,Free,Free legal document generator and startup resources,https://www.cooleygo.com/documents,Free; generate incorporation and financing docs,https://twitter.com/CooleyLLP,,https://www.linkedin.com/company/cooley-llp/
LegalZoom,Legal,Paid,Online legal services for business formation,https://www.legalzoom.com,From $0 + state fees; LLC/Corp formation,https://twitter.com/LegalZoom,https://www.youtube.com/@LegalZoom,https://www.linkedin.com/company/legalzoom/
Firstbase.io,Legal,Paid,US company formation for global founders,https://www.firstbase.io,From $399; helps international founders incorporate in US,https://twitter.com/firstaborbase_io,,https://www.linkedin.com/company/firstbase-io/
Notion Startup Templates,Operations,Free,Pre-built Notion templates for startup operations,https://www.notion.so/templates/category/startups,Free with Notion; OKRs/roadmaps/hiring/wiki,https://twitter.com/NotionHQ,https://www.youtube.com/@NotionHQ,https://www.linkedin.com/company/notionhq/
Airtable Startup Templates,Operations,Freemium,Pre-built Airtable bases for startup workflows,https://www.airtable.com/templates,Free tier available; CRM/project management/inventory,https://twitter.com/airtable,,https://www.linkedin.com/company/airtable/
Coda Startup Templates,Operations,Free,Startup operation templates in Coda,https://coda.io/gallery?filter=startups,Free; docs that work like apps,https://twitter.com/codaborahq,,https://www.linkedin.com/company/codainc/
Linear,Operations,Freemium,Modern project management for product teams,https://linear.app,Free for small teams; fast issue tracking,https://twitter.com/linearapp,,https://www.linkedin.com/company/linear-app/
Asana Startup Templates,Operations,Freemium,Project management templates for startups,https://asana.com/templates,Free for up to 10 users; goal tracking,https://twitter.com/asana,https://www.youtube.com/@Asana,https://www.linkedin.com/company/asana/
Trello Startup Board Templates,Operations,Freemium,Kanban board templates for startup workflows,https://trello.com/templates/business,Free tier; visual project management,https://twitter.com/trello,,https://www.linkedin.com/company/trello/
Slite,Operations,Freemium,Knowledge base and documentation for teams,https://slite.com,Free for small teams; AI-powered search,https://twitter.com/slaboriteHQ,,https://www.linkedin.com/company/slite/
Product Hunt,Marketing,Free,Launch platform for new products,https://www.producthunt.com,Free to launch; global audience of early adopters,https://twitter.com/ProductHunt,,https://www.linkedin.com/company/product-hunt/
BetaList,Marketing,Freemium,Platform for launching startup betas,https://betalist.com,Free basic listing; paid featured from $129,https://twitter.com/BetaList,,https://www.linkedin.com/company/betalist/
Indie Hackers,Marketing,Free,Community for bootstrapped startup founders,https://www.indiehackers.com,Free; share your startup journey and get feedback,https://twitter.com/IndieHackers,,https://www.linkedin.com/company/indie-hackers/
Hacker News (Show HN),Marketing,Free,Launch and share startups with tech community,https://news.ycombinator.com,Free; high-quality tech audience; can drive massive traffic,https://twitter.com/ycombinator,,https://www.linkedin.com/company/y-combinator/
AppSumo,Marketing,Paid,Marketplace for launching software deals,https://appsumo.com,Revenue share model; great for early traction,https://twitter.com/appsumo,https://www.youtube.com/@AppSumo,https://www.linkedin.com/company/appsumo/
Uneed,Marketing,Free,Directory for launching AI and tech products,https://www.uneed.best,Free submission; curated product directory,https://twitter.com/uneedaborbest,,
SaaSHub,Marketing,Free,SaaS discovery and comparison platform,https://www.saashub.com,Free listing; helps users find your SaaS alternative,https://twitter.com/saashub,,https://www.linkedin.com/company/saashub/
Mixpanel,Analytics,Freemium,Product analytics and user behavior tracking,https://mixpanel.com,Free up to 20M events/mo; powerful funnels and retention,https://twitter.com/mixpanel,https://www.youtube.com/@Mixpanel,https://www.linkedin.com/company/mixpanel/
Amplitude,Analytics,Freemium,Digital analytics platform for product teams,https://amplitude.com,Free up to 10M events/mo; behavioral analytics,https://twitter.com/Amplitude_HQ,https://www.youtube.com/@Amplitude,https://www.linkedin.com/company/amplitude-analytics/
PostHog,Analytics,Freemium,Open-source product analytics suite,https://posthog.com,Free up to 1M events/mo; self-hostable; feature flags included,https://twitter.com/posthog,https://www.youtube.com/@PostHog,https://www.linkedin.com/company/posthog/
Google Analytics,Analytics,Free,Web and app analytics platform,https://analytics.google.com,Free; essential web analytics; GA4 standard,https://twitter.com/googleanalytics,,https://www.linkedin.com/company/google/
Hotjar,Analytics,Freemium,Heatmaps and session recording tool,https://www.hotjar.com,Free basic plan; see how users interact with your site,https://twitter.com/hotjar,https://www.youtube.com/@Hotjar,https://www.linkedin.com/company/hotjar/
Plausible Analytics,Analytics,Paid,Privacy-friendly web analytics,https://plausible.io,From €9/mo; open-source; GDPR compliant; EU-hosted option,https://twitter.com/plaborausibleHQ,,https://www.linkedin.com/company/plausible-analytics/
June.so,Analytics,Freemium,Product analytics built for B2B SaaS,https://june.so,Free for up to 1K active users; auto-generated reports,https://twitter.com/juneaborso,,https://www.linkedin.com/company/juneso/
Mercury,Banking,Free,Banking platform designed for startups,https://mercury.com,No fees; US-based but serves global founders,https://twitter.com/mercury,,https://www.linkedin.com/company/mercuryfi/
Brex,Banking,Free,Corporate card and spend management for startups,https://brex.com,No personal guarantee; cash management + cards,https://twitter.com/brex,,https://www.linkedin.com/company/brex/
Relay,Banking,Free,Business banking with smart features,https://relayfi.com,No fees; profit-first banking approach,https://twitter.com/bankaborRelay,,https://www.linkedin.com/company/relayfi/
Wise Business,Banking,Freemium,Multi-currency business account,https://wise.com/business,Low-fee international transfers; 40+ currencies; great for global startups,https://twitter.com/wise,https://www.youtube.com/@wise,https://www.linkedin.com/company/wiseaccount/
Revolut Business,Banking,Freemium,Digital business banking platform,https://www.revolut.com/business,Free basic plan; multi-currency; available in 35+ countries,https://twitter.com/RevolutApp,https://www.youtube.com/@Revolut,https://www.linkedin.com/company/revolut/
Airwallex,Banking,Freemium,Global business account and payments,https://www.airwallex.com,Multi-currency accounts; good for cross-border startups,https://twitter.com/Airwallex,,https://www.linkedin.com/company/airwallex/
Ramp,Banking,Free,Corporate card with built-in savings,https://ramp.com,Free; automated expense management,https://twitter.com/tryramp,,https://www.linkedin.com/company/raboramp/
