Name,Email,Location (City),Location (State),Location (Country),Type of Investor,Stage: Investment Thesis,Sector: Investment Thesis,LinkedIn,Website,Fund,Priority Tier,Thesis Match Score,Why This Investor is a Fit,Warm Intro Path,Relationship Strength,Status,Suggested Angle,Speed of Close,Likelihood
Max Levchin,,San Francisco,CA,US,Individual Angel,Seed to Series A,Fintech / Consumer / AI,https://linkedin.com/in/maxlevchin,,,Tier 2 - Super Angel,8/10,Individual Angel focused on Fintech / Consumer / AI. Stage: Seed to Series A. Check: $50K-$1M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Vinod Khosla,,San Francisco,CA,US,Individual Angel,Seed to Series A,Climate / Health / AI / Deep Tech,https://linkedin.com/in/vinodkhosla,https://khoslaventures.com,khoslaventures.com,Tier 1 - Famous Angel,8/10,Individual Angel focused on Climate / Health / AI / Deep Tech. Stage: Seed to Series A. Check: $100K-$5M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Kevin Rose,,Portland,OR,US,Individual Angel,Pre-Seed to Seed,Consumer / Crypto / Web3,https://linkedin.com/in/kevinrose,,,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Crypto / Web3. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Matt Mullenweg,,Houston,TX,US,Individual Angel,Pre-Seed to Seed,Developer Tools / Open Source / Consumer,https://linkedin.com/in/mattm,https://ma.tt,ma.tt,Tier 2 - Super Angel,7/10,Individual Angel focused on Developer Tools / Open Source / Consumer. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Jack Dorsey,,US,,US,Individual Angel,Seed to Series A,Fintech / Crypto / Social,https://linkedin.com/in/jackdorsey,,,Tier 2 - Super Angel,8/10,Individual Angel focused on Fintech / Crypto / Social. Stage: Seed to Series A. Check: $100K-$5M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Drew Houston,,San Francisco,CA,US,Individual Angel,Seed to Series A,Productivity / SaaS / AI,https://linkedin.com/in/drewhouston,,,Tier 2 - Super Angel,8/10,Individual Angel focused on Productivity / SaaS / AI. Stage: Seed to Series A. Check: $50K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Ev Williams,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Media / Consumer / Climate,https://linkedin.com/in/evwilliams,,,Tier 2 - Super Angel,7/10,Individual Angel focused on Media / Consumer / Climate. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Brian Chesky,,San Francisco,CA,US,Individual Angel,Seed to Series A,Consumer / Travel / Design,https://linkedin.com/in/brianchesky,,,Tier 2 - Super Angel,7/10,Individual Angel focused on Consumer / Travel / Design. Stage: Seed to Series A. Check: $100K-$1M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Aaron Levie,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Enterprise / SaaS / AI,https://linkedin.com/in/aaronlevie,,,Tier 2 - Super Angel,8/10,Individual Angel focused on Enterprise / SaaS / AI. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Dharmesh Shah,,Boston,MA,US,Individual Angel,Pre-Seed to Seed,SaaS / MarTech / AI,https://linkedin.com/in/dharmesh,https://dharmesh.com,dharmesh.com,Tier 2 - Super Angel,8/10,Individual Angel focused on SaaS / MarTech / AI. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Sunil Dhaliwal,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Enterprise / Cloud / Security,https://linkedin.com/in/sunildhaliwal,https://amplifypartners.com,amplifypartners.com,Tier 2 - Super Angel,8/10,Individual Angel focused on Enterprise / Cloud / Security. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Elad Goldenberg,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Marketplace / SaaS,https://linkedin.com/in/eladg,,,Tier 2 - Super Angel,8/10,Individual Angel focused on Consumer / Marketplace / SaaS. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Arianna Huffington,,New York,NY,US,Individual Angel,Pre-Seed to Seed,Health / Wellness / Media,https://linkedin.com/in/ariannahuffington,https://thriveglobal.com,thriveglobal.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Health / Wellness / Media. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Tina Sharkey,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / DTC / Community,https://linkedin.com/in/tinasharkey,,,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / DTC / Community. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Joanne Wilson,,New York,NY,US,Individual Angel,Pre-Seed to Seed,Consumer / Food / Female Founders,https://linkedin.com/in/joannewilson,https://gothamgal.com,gothamgal.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / Food / Female Founders. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://gothamgal.com,None,Not Contacted,,Medium,Medium
Pejman Nozad,,Palo Alto,CA,US,Individual Angel,Pre-Seed to Seed,Tech / Enterprise / Consumer,https://linkedin.com/in/pejmannozad,https://pearnvc.com,pearnvc.com,Tier 2 - Super Angel,8/10,Individual Angel focused on Tech / Enterprise / Consumer. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Ben Horowitz,,San Francisco,CA,US,Individual Angel,Seed to Series A,Enterprise / Crypto / Culture,https://linkedin.com/in/beaborkin,https://a16z.com,a16z.com,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Enterprise / Crypto / Culture. Stage: Seed to Series A. Check: $100K-$5M.,Research needed,None,Not Contacted,,Slow,Low-Medium
Garry Tan,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Developer Tools / AI / Consumer,https://linkedin.com/in/garrytan,https://ycombinator.com,ycombinator.com,Tier 2 - Super Angel,8/10,Individual Angel focused on Developer Tools / AI / Consumer. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Apply: https://ycombinator.com,None,Not Contacted,,Medium,Medium
Anu Duggal,,New York,NY,US,Individual Angel,Pre-Seed to Seed,Consumer / Health / Fintech,https://linkedin.com/in/anuduggal,https://femalefounderfund.com,femalefounderfund.com,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Consumer / Health / Fintech. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://femalefounderfund.com,None,Not Contacted,,Medium,Medium
Shana Fisher,,New York,NY,US,Individual Angel,Pre-Seed to Seed,Consumer / Media / Tech,https://linkedin.com/in/shanafisher,https://third-kind.com,third-kind.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / Media / Tech. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Susan Lyne,,New York,NY,US,Individual Angel,Pre-Seed to Seed,Consumer / Media / Female-focused,https://linkedin.com/in/susanlyne,https://bbeventures.com,bbeventures.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / Media / Female-focused. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Aileen Lee,,Palo Alto,CA,US,Individual Angel,Seed to Series A,Consumer / Enterprise / Fintech,https://linkedin.com/in/aileenwlee,https://cowboy.vc,cowboy.vc,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Consumer / Enterprise / Fintech. Stage: Seed to Series A. Check: $50K-$500K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Arlan Hamilton,,Los Angeles,CA,US,Individual Angel,Pre-Seed to Seed,Tech / Consumer / Enterprise,https://linkedin.com/in/arlanhamilton,https://backstagecapital.com,backstagecapital.com,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Tech / Consumer / Enterprise. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://backstagecapital.com,None,Not Contacted,,Medium,Medium
Charles Hudson,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Mobile / Gaming,https://linkedin.com/in/cehudson,https://precursorvc.com,precursorvc.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / Mobile / Gaming. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://precursorvc.com,None,Not Contacted,,Medium,Medium
Monique Woodard,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Aging / Demographic Shifts,https://linkedin.com/in/moniquewoodard,https://cakeventures.com,cakeventures.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / Aging / Demographic Shifts. Stage: Pre-Seed to Seed. Check: $25K-$250K.,Apply: https://cakeventures.com,None,Not Contacted,,Medium,Medium
Lo Toney,,Oakland,CA,US,Individual Angel,Pre-Seed to Seed,Enterprise / Consumer / Fintech,https://linkedin.com/in/lotoney,https://platovc.com,platovc.com,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Enterprise / Consumer / Fintech. Stage: Pre-Seed to Seed. Check: $25K-$500K.,Apply: https://platovc.com,None,Not Contacted,,Medium,Medium
Sydney Thomas,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Health / Enterprise,https://linkedin.com/in/sydneythomas,https://precursorvc.com,precursorvc.com,Tier 5 - Diversity Focus,8/10,Individual Angel focused on Consumer / Health / Enterprise. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Apply: https://precursorvc.com,None,Not Contacted,,Medium,Medium
Payal Kadakia,,New York,NY,US,Individual Angel,Pre-Seed to Seed,Consumer / Health / Wellness,https://linkedin.com/in/payalkadakia,,,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / Health / Wellness. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Research needed,None,Not Contacted,,Slow,Low-Medium
Brit Morin,,San Francisco,CA,US,Individual Angel,Pre-Seed to Seed,Consumer / Creator Economy / Female-focused,https://linkedin.com/in/britmorin,https://britmorin.com,britmorin.com,Tier 5 - Diversity Focus,7/10,Individual Angel focused on Consumer / Creator Economy / Female-focused. Stage: Pre-Seed to Seed. Check: $10K-$100K.,Research needed,None,Not Contacted,,Slow,Low-Medium
