Name,Location,Sector Focus,Stage,Equity Taken,Check Size/Investment,Program Length,Application Deadline 2026,Cohort Start,Website,Apply URL,LinkedIn,Twitter,YouTube,Notes
SOSV,Global (Multiple Programs),Deep Tech / Climate / Bio / Hardware,Pre-Seed / Seed,Varies by program,$100K–$250K,3-6 months,Rolling,Rolling,https://sosv.com,https://sosv.com/apply,https://www.linkedin.com/company/sosv,https://twitter.com/SOSV,https://www.youtube.com/@SOSVvc,Parent of HAX / IndieBio / Chinaccelerator / MOX
Chinaccelerator (by SOSV),"Shanghai, China",Technology / Cross-border,Pre-Seed / Seed,8%,$150K,4 months,Rolling,Rolling,https://chinaccelerator.com,https://chinaccelerator.com/apply,https://www.linkedin.com/company/chinaccelerator,https://twitter.com/chinaccelerator,,China market entry
MOX (by SOSV),"Taipei, Taiwan",Mobile / Southeast Asia,Pre-Seed,7%,$150K,3 months,Rolling,Rolling,https://mox.co,https://mox.co/apply,https://www.linkedin.com/company/maboroxcenter,https://twitter.com/moxcenter,,Mobile-first emerging markets
Dreamit Ventures,Philadelphia / New York,HealthTech / Urbantech / SecureTech,Seed,0% (no equity),None (advisory),4 months,Rolling,Rolling,https://www.dreamit.com,https://www.dreamit.com/apply,https://www.linkedin.com/company/dreamit-ventures,https://twitter.com/dreamit,https://www.youtube.com/@DreamitVentures,Zero-equity; vertical focused
Newchip (now Astia or successors),"Austin, TX",Technology / Multi-sector,Pre-Seed / Seed,Varies,Varies,Variable,Check current status,Check current status,https://launch.newchip.com,,https://www.linkedin.com/company/newchip-accelerator,,,Note: Newchip closed 2023 — check successor programs
Acelerador NAVE (Globo),"Rio de Janeiro, Brazil",Media / Technology,Early Stage,0%,R$30K prize,4 months,Varies,Varies,https://gshow.globo.com/nave,,https://www.linkedin.com/company/nave-globo,,,Brazilian media accelerator
Start-Up Chile,"Santiago, Chile",Technology / Multi-sector,Pre-Seed / Seed,0% (no equity),Up to $80K (equity-free grant),4-6 months,Varies (biannual),Varies,https://startupchile.org,https://startupchile.org/programs,https://www.linkedin.com/company/start-up-chile,https://twitter.com/startupchile,https://www.youtube.com/@StartUpChile,Government-backed equity-free program
Parallel18,"San Juan, Puerto Rico",Technology / Multi-sector,Seed,0% (no equity),$40K grant,5 months,TBD 2026,Varies,https://www.parallel18.com,https://www.parallel18.com/apply,https://www.linkedin.com/company/parallel18,https://twitter.com/parallel18,https://www.youtube.com/@Parallel18,Equity-free; Puerto Rico based
LUMA Launch,"San Juan, Puerto Rico",Technology / Multi-sector,Pre-Seed / Seed,5-7%,$50K,3 months,Varies,Varies,https://www.lumalab.io,,https://www.linkedin.com/company/lumalab,,,Puerto Rico tech accelerator
Wayra (Telefonica),Madrid / Global,Telecom / Technology,Seed,Varies (up to 10%),€25K–€50K,6 months,Rolling,Rolling,https://www.wayra.com,https://www.wayra.com/en/apply,https://www.linkedin.com/company/wayra,https://twitter.com/Wayra,https://www.youtube.com/@Wayra,Telefonica's global accelerator
Rockstart,Amsterdam / Global,Energy / AgriFood / Emerging Tech,Seed,2-8%,€20K + services,6 months,Rolling,Rolling,https://www.rockstart.com,https://www.rockstart.com/apply,https://www.linkedin.com/company/rockstart,https://twitter.com/rockstart,https://www.youtube.com/@Rockstart,Dutch accelerator with vertical programs
Station F,"Paris, France",Technology / Multi-sector,Pre-Seed to Seed,Varies by partner program,Varies,6-12 months,Rolling,Rolling,https://stationf.co,https://stationf.co/join-us,https://www.linkedin.com/company/stationf,https://twitter.com/joinstationf,https://www.youtube.com/@STATIONF,World's biggest startup campus
The Family (now Hexa),"Paris, France",Technology / Multi-sector,Pre-Seed,Varies,Varies,Ongoing,Rolling,Rolling,https://www.hexa.cc,https://www.hexa.cc/apply,https://www.linkedin.com/company/hexaborastartup,https://twitter.com/hexastartup,,European startup studio/accelerator
Flat6Labs,Cairo / Abu Dhabi / Bahrain / Tunis,Technology / Multi-sector,Seed,10-15%,$15K–$50K + services,4 months,Varies by location,Varies,https://www.flat6labs.com,https://www.flat6labs.com/apply,https://www.linkedin.com/company/flat6labs,https://twitter.com/flat6labs,https://www.youtube.com/@Flat6Labs,MENA's leading accelerator
AstroLabs,"Dubai, UAE / Riyadh, Saudi Arabia",Technology / Multi-sector,Seed,0-5% depending on program,$10K–$50K,3 months,Rolling,Rolling,https://astrolabs.com,https://astrolabs.com/accelerator,https://www.linkedin.com/company/astrolabs,https://twitter.com/astaborrolabs,,MENA market entry
Oasis500,"Amman, Jordan",Technology / Multi-sector,Seed,5-10%,$30K–$50K,3 months,Rolling,Rolling,https://oasis500.com,https://oasis500.com/apply,https://www.linkedin.com/company/oasis500,https://twitter.com/oasis500,,Jordan-based MENA accelerator
Startupbootcamp AfriTech,"Cape Town, South Africa",Technology / Fintech / InsurTech,Seed,6%,€15K + services,3 months,TBD 2026,Varies,https://www.startupbootcamp.org/accelerator/afritech,https://www.startupbootcamp.org/accelerator/afritech/apply,https://www.linkedin.com/company/startupbootcamp,https://twitter.com/sbc_,,Africa's leading fintech accelerator
CcHub Growth Capital (Lagos),"Lagos, Nigeria",Technology / Multi-sector,Pre-Seed / Seed,Varies,Up to $25K,3-6 months,Rolling,Rolling,https://growth.cchub.africa,https://growth.cchub.africa/apply,https://www.linkedin.com/company/ccaborhub,https://twitter.com/CcHUBaborNigeria,,Nigeria's leading innovation hub
MEST Africa,"Accra, Ghana",Technology / Multi-sector,Pre-Seed,Equity (varies),$50K–$100K + training,12 months,Annual,Annual,https://meltwater.org,https://meltwater.org/apply,https://www.linkedin.com/company/mest-africa,https://twitter.com/MESTAfrica,https://www.youtube.com/@MESTAfrica,Pan-African training + incubation
Google for Startups Accelerator,Global (various programs),AI / Cloud / ML,Seed to Series A,0% (no equity),No cash (in-kind credits + mentorship),3 months,Varies by region/theme,Varies,https://startup.google.com,https://startup.google.com/programs/accelerator,https://www.linkedin.com/company/google-for-startups,https://twitter.com/GoogleStartups,https://www.youtube.com/@GoogleforStartups,Equity-free; Google mentorship + cloud credits
Microsoft for Startups Founders Hub,Global (online),Technology / AI / Cloud,Pre-Seed to Series A,0% (no equity),Up to $150K Azure credits,Ongoing,Rolling,Rolling,https://www.microsoft.com/en-us/startups,https://www.microsoft.com/en-us/startups,https://www.linkedin.com/company/microsoft,https://twitter.com/MicrosoftSU,,Equity-free; Azure credits + mentorship
AWS Startup Loft / Activate,Global,Cloud / Technology,Pre-Seed to Series A,0% (no equity),Up to $100K AWS credits,Ongoing,Rolling,Rolling,https://aws.amazon.com/activate,https://aws.amazon.com/activate,https://www.linkedin.com/company/amazon-web-services,https://twitter.com/awsstartups,https://www.youtube.com/@AWSStartups,Equity-free cloud credits
Nvidia Inception,Global (online),AI / Deep Learning / Data Science,Pre-Seed to Growth,0% (no equity),GPU credits + services,Ongoing,Rolling,Rolling,https://www.nvidia.com/en-us/deep-learning-ai/startups,https://www.nvidia.com/en-us/deep-learning-ai/startups,https://www.linkedin.com/company/nvidia,https://twitter.com/nvidia,https://www.youtube.com/@NVIDIA,Equity-free; GPU credits and support
Creative Destruction Lab (CDL),Toronto / Global (multiple sites),Deep Tech / AI / Quantum / Climate,Seed,0% (no equity),None (mentorship + objectives),9 months,Varies by site,Sep/Oct,https://creativedestructionlab.com,https://creativedestructionlab.com/program,https://www.linkedin.com/company/creative-destruction-lab,https://twitter.com/CDL_Global,https://www.youtube.com/@CreativeDestructionLab,Objectives-based program; science ventures
Next AI (now part of CDL),"Toronto, Canada",AI / Machine Learning,Pre-Seed,Varies,$25K–$50K,4 months,Varies,Varies,https://www.nextcanada.com/next-ai,https://www.nextcanada.com/next-ai/apply,https://www.linkedin.com/company/nextaborcanada,https://twitter.com/NextCanada_,,Canadian AI accelerator
DMZ (Toronto Metropolitan University),"Toronto, Canada",Technology / Multi-sector,Pre-Seed / Seed,0% (no equity),None (services + space),5 months,Rolling,Rolling,https://dmz.ryerson.ca,https://dmz.ryerson.ca/apply,https://www.linkedin.com/company/the-dmz,https://twitter.com/theDMZ,https://www.youtube.com/@TheDMZ,Top university-linked incubator
Velocity (University of Waterloo),"Waterloo, Canada",Technology / Multi-sector,Pre-Seed,0% (no equity),Up to $25K grants,Ongoing,Varies,Varies,https://velocityincubator.com,https://velocityincubator.com/programs,https://www.linkedin.com/company/velocity-waterloo,https://twitter.com/velocityUW,,Waterloo's startup ecosystem
Techstars Toronto,"Toronto, Canada",Technology / Multi-sector,Seed,6%,$120K,3 months,Varies,Varies,https://www.techstars.com/accelerators/toronto,https://www.techstars.com/accelerators/toronto,https://www.linkedin.com/company/techstars,https://twitter.com/techstars,https://www.youtube.com/@Techstars,Techstars' Toronto program
Techstars London,"London, UK",Technology / Multi-sector,Seed,6%,$120K,3 months,Varies,Varies,https://www.techstars.com/accelerators/london,https://www.techstars.com/accelerators/london,https://www.linkedin.com/company/techstars,https://twitter.com/techstars,https://www.youtube.com/@Techstars,Techstars' London program
Bethnal Green Ventures,"London, UK",Tech for Good / Impact,Pre-Seed,6%,£30K,3 months,Biannual,Biannual,https://bethnalgreenventures.com,https://bethnalgreenventures.com/apply,https://www.linkedin.com/company/bethnal-green-ventures,https://twitter.com/bg_ventures,,UK's leading impact accelerator
Zinc VC,"London, UK",Impact / Mission-driven,Pre-Seed,~12%,£28K per founder,6 months,Biannual,Varies,https://www.zinc.vc,https://www.zinc.vc/apply,https://www.linkedin.com/company/zincvc,https://twitter.com/zinc_vc,,Mission-first venture builder
SkyDeck (UC Berkeley),"Berkeley, CA, USA",Technology / Multi-sector,Pre-Seed / Seed,"5% (optional, with investment)",$100K (optional SAFE),6 months,Rolling,Rolling,https://skydeck.berkeley.edu,https://skydeck.berkeley.edu/apply,https://www.linkedin.com/company/berkeleaboryskydeck,https://twitter.com/berkeleaboryskydeck,https://www.youtube.com/@BerkeleySkyDeck,UC Berkeley's accelerator
Stanford StartX,"Palo Alto, CA, USA",Technology / Multi-sector,Seed,0% (no equity),None (community + resources),Ongoing,Rolling (Stanford affiliates),Rolling,https://startx.com,https://startx.com/apply,https://www.linkedin.com/company/startx,https://twitter.com/startaborx,,Stanford community; no equity
Harvard Innovation Labs,"Boston, MA, USA",Technology / Multi-sector,Pre-Seed,0% (no equity),None (space + mentorship),Academic year,Rolling (Harvard affiliates),Sep,https://innovationlabs.harvard.edu,,https://www.linkedin.com/company/harvard-innovation-labs,https://twitter.com/Harvaborardilab,,Harvard's startup support
Techstars NYC,"New York, NY, USA",Technology / Multi-sector,Seed,6%,$120K,3 months,Varies,Varies,https://www.techstars.com/accelerators/new-york-city,https://www.techstars.com/accelerators/new-york-city,https://www.linkedin.com/company/techstars,https://twitter.com/techstars,https://www.youtube.com/@Techstars,Techstars' NYC program
ERA (Entrepreneurs Roundtable Accelerator),"New York, NY, USA",Technology / Multi-sector,Pre-Seed / Seed,8%,$100K,4 months,Biannual,Jan / Jul,https://www.eranyc.com,https://www.eranyc.com/apply,https://www.linkedin.com/company/entrepreneurs-roundtable-accelerator,https://twitter.com/era_nyc,,NYC's leading accelerator
Brinc,Hong Kong / Global,IoT / Hardware / Food Tech,Seed,6-8%,$100K–$200K,3-6 months,Rolling,Rolling,https://www.brinc.io,https://www.brinc.io/apply,https://www.linkedin.com/company/brinc-io,https://twitter.com/baborrinc_io,https://www.youtube.com/@BrincIo,Asia hardware + IoT accelerator
Chinaccelerator,"Shanghai, China",Cross-border / Technology,Pre-Seed,8%,$150K,4 months,Rolling,Rolling,https://chinaccelerator.com,https://chinaccelerator.com/apply,https://www.linkedin.com/company/chinaccelerator,https://twitter.com/chinaccelerator,,China market entry by SOSV
SparkLabs (Global Group),Seoul / Global,Technology / Multi-sector,Seed,6-8%,$40K–$100K,3 months,Rolling,Rolling,https://www.sparklabs.co.kr,https://www.sparklabs.co.kr/apply,https://www.linkedin.com/company/sparklabsgroup,https://twitter.com/sparklabsgroup,,Korea-based; multiple global programs
K-Startup Grand Challenge,"Seoul, South Korea",Technology / Multi-sector,Seed,0% (no equity),Up to $100K grant + landing support,3 months,~Apr 2026,Sep 2026,https://www.k-startupgc.org,https://www.k-startupgc.org/apply,https://www.linkedin.com/company/k-startup-grand-challenge,https://twitter.com/kstartupgc,https://www.youtube.com/@KStartupGC,Korean government program for global startups
Spring (Singapore),Singapore,Technology / Multi-sector,Pre-Seed to Seed,0% (no equity),Various grants,Varies,Rolling,Rolling,https://www.enterprisesg.gov.sg,https://www.enterprisesg.gov.sg/financial-support/startup-sg,https://www.linkedin.com/company/enterprise-singapore,,,Singapore government startup support
JFDI.Asia,Singapore,Technology / Multi-sector,Pre-Seed / Seed,8%,$25K–$50K,4 months,Biannual,Biannual,https://jfdi.asia,https://jfdi.asia/apply,https://www.linkedin.com/company/jfdiasia,https://twitter.com/jfdiasia,,Southeast Asia's pioneer accelerator
Surge (Peak XV / Sequoia India),India / Southeast Asia,Technology / Multi-sector,Seed,~15-20%,$1M–$2M,4 months,Biannual,Biannual,https://www.surgeahead.com,https://www.surgeahead.com/apply,https://www.linkedin.com/company/surgeahead,https://twitter.com/SurgeAhead,,Peak XV's (Sequoia India) rapid scale-up program
Axilor Ventures,"Bengaluru, India",Technology / Multi-sector,Pre-Seed / Seed,Varies,₹25L–₹50L,3 months,Rolling,Rolling,https://axilor.com,https://axilor.com/accelerator,https://www.linkedin.com/company/axilor-ventures,https://twitter.com/axaborilor,,India early-stage accelerator
T-Hub,"Hyderabad, India",Technology / Multi-sector,Pre-Seed to Seed,0% (varies by program),Varies (corporate-backed),3-6 months,Rolling,Rolling,https://t-hub.co,https://t-hub.co/programs,https://www.linkedin.com/company/t-hub,https://twitter.com/THubHyd,https://www.youtube.com/@THub,India's largest innovation hub
Startup India Hub,"New Delhi / Online, India",Technology / Multi-sector,Pre-Seed,0% (no equity),Government benefits + tax breaks,Ongoing,Rolling,Rolling,https://www.startupindia.gov.in,https://www.startupindia.gov.in/content/sih/en/registration.html,https://www.linkedin.com/company/startup-india,https://twitter.com/startupindia,https://www.youtube.com/@StartupIndia,Indian government initiative
9unicorns,"Mumbai, India",Technology / Multi-sector,Pre-Seed / Seed,Varies,$100K–$250K,3 months,Rolling,Rolling,https://9unicorns.in,https://9unicorns.in/apply,https://www.linkedin.com/company/9unicorns,https://twitter.com/9aborUnicorns,,India accelerator + micro VC
Rainmaking Innovation,Copenhagen / London / Global,Technology / Multi-sector,Seed,Varies,Varies,3-6 months,Rolling,Rolling,https://rainmaking.io,https://rainmaking.io/programs,https://www.linkedin.com/company/rainmaking,https://twitter.com/Rainmaking_io,,Corporate-backed programs globally
Nordic Innovation House,Oslo / Silicon Valley / Hong Kong,Nordic tech / Multi-sector,Seed,0%,None (landing support),Varies,Rolling,Rolling,https://nordicinnovationhouse.com,,https://www.linkedin.com/company/nordic-innovation-house,https://twitter.com/NIHaborouse,,Helps Nordic startups go global
Sting (Stockholm Innovation & Growth),"Stockholm, Sweden",Technology / Multi-sector,Pre-Seed / Seed,6%,SEK 500K,6-12 months,Rolling,Rolling,https://sting.co,https://sting.co/apply,https://www.linkedin.com/company/stingstockholm,https://twitter.com/stingstockholm,,Sweden's top accelerator
Startup Wise Guys,"Tallinn, Estonia / Global",SaaS / Fintech / Sustainability,Pre-Seed / Seed,8-12%,€30K–€60K,3-5 months,Varies by track,Varies,https://startupwiseguys.com,https://startupwiseguys.com/apply,https://www.linkedin.com/company/startup-wise-guys,https://twitter.com/startupwiseguys,https://www.youtube.com/@StartupWiseGuys,Baltics-based; multiple verticals
Climate-KIC Accelerator,Europe (multiple cities),Climate / Sustainability,Pre-Seed to Seed,0% (no equity),Up to €95K grant,12-18 months,Biannual,Varies,https://www.climate-kic.org,https://www.climate-kic.org/programmes/entrepreneurship/accelerator,https://www.linkedin.com/company/climate-kic,https://twitter.com/ClimateKIC,https://www.youtube.com/@EITClimateKIC,EU-backed climate accelerator
Techstars Berlin,"Berlin, Germany",Technology / Multi-sector,Seed,6%,$120K,3 months,Varies,Varies,https://www.techstars.com/accelerators/berlin,https://www.techstars.com/accelerators/berlin,https://www.linkedin.com/company/techstars,https://twitter.com/techstars,https://www.youtube.com/@Techstars,Techstars' Berlin program
APX (Axel Springer / Porsche),"Berlin, Germany",Technology / Media / Mobility,Pre-Seed,5%,€50K,3 months,Rolling,Rolling,https://apx.ac,https://apx.ac/apply,https://www.linkedin.com/company/apx-axel-springer-porsche,https://twitter.com/apx_ac,,Berlin pre-seed accelerator
Batch (by Techstars),"Paris, France",Technology / Multi-sector,Seed,6%,$120K,3 months,Varies,Varies,https://www.techstars.com/accelerators/paris,https://www.techstars.com/accelerators/paris,https://www.linkedin.com/company/techstars,https://twitter.com/techstars,https://www.youtube.com/@Techstars,Techstars' Paris program
Lanzadera,"Valencia, Spain",Technology / Multi-sector,Pre-Seed to Series A,Varies,Up to €200K,5-9 months,Biannual,Feb / Sep,https://lanzadera.es/en,https://lanzadera.es/en/apply,https://www.linkedin.com/company/lanzadera,https://twitter.com/laboranzadera_es,https://www.youtube.com/@Lanzadera,Spain's leading accelerator (Juan Roig backed)
Katapult Accelerator,"Oslo, Norway",Impact Tech,Seed,Varies,$150K,3 months,Biannual,Biannual,https://katapult.vc,https://katapult.vc/accelerator/apply,https://www.linkedin.com/company/katapult-accelerator,https://twitter.com/katapultaborvc,,Impact tech focused
Startmate,"Sydney / Melbourne, Australia",Technology / Multi-sector,Pre-Seed / Seed,7.5%,A$75K,3 months,Biannual,Feb / Aug,https://www.startmate.com,https://www.startmate.com/apply,https://www.linkedin.com/company/startmate,https://twitter.com/startmate,https://www.youtube.com/@Startmate,Australia's leading accelerator
Muru-D (Telstra),"Sydney, Australia",Technology / Multi-sector,Seed,6%,A$40K–$80K,6 months,Rolling,Rolling,https://muru-d.com,https://muru-d.com/apply,https://www.linkedin.com/company/muru-d,https://twitter.com/maborurud,,Telstra-backed accelerator
SBE Australia (Global Sisters),"Sydney, Australia",Women-founded / Social Enterprise,Pre-Seed,0% (no equity),Grants + mentorship,6 months,Rolling,Rolling,https://sbeaustralia.org,https://sbeaustralia.org/programs,https://www.linkedin.com/company/sbe-australia,https://twitter.com/saborbeaustralia,,Women-focused social enterprise
Techstars Music (Powered by Amazon),"Los Angeles, CA, USA",Music / Audio / Entertainment,Seed,6%,$120K,3 months,Varies,Varies,https://www.techstars.com/accelerators/music,https://www.techstars.com/accelerators/music,https://www.linkedin.com/company/techstars,https://twitter.com/techstars,https://www.youtube.com/@Techstars,Music industry accelerator
Techstars Farm to Fork,"Minneapolis, MN, USA",AgriFood / Food Tech,Seed,6%,$120K,3 months,Varies,Varies,https://www.techstars.com/accelerators/farm-to-fork,https://www.techstars.com/accelerators/farm-to-fork,https://www.linkedin.com/company/techstars,https://twitter.com/techstars,https://www.youtube.com/@Techstars,Agriculture + food supply chain
Techstars Healthcare (Cedars-Sinai),"Los Angeles, CA, USA",Healthcare / HealthTech,Seed,6%,$120K,3 months,Varies,Varies,https://www.techstars.com/accelerators/healthcare,https://www.techstars.com/accelerators/healthcare,https://www.linkedin.com/company/techstars,https://twitter.com/techstars,https://www.youtube.com/@Techstars,Healthcare accelerator
Blueprint Health,"New York, NY, USA",HealthTech / Digital Health,Seed,6%,$20K,3 months,Biannual,Jan / Jul,https://www.blueprinthealth.org,https://www.blueprinthealth.org/apply,https://www.linkedin.com/company/blueprint-health,https://twitter.com/blueprinthealth,,NYC health tech accelerator
Healthbox,Chicago / Multiple US Cities,Healthcare Innovation,Seed,5-7%,$50K,4 months,Rolling,Rolling,https://www.healthbox.com,,https://www.linkedin.com/company/healthbox,https://twitter.com/healthbox,,Corporate health innovation
Digital Health London,"London, UK",HealthTech / NHS Innovation,Early Stage,0% (no equity),None (NHS access + mentorship),12 months,Annual,Annual,https://www.digitalhealth.london,https://www.digitalhealth.london/accelerator,https://www.linkedin.com/company/digitalaborhealthlondon,https://twitter.com/digaborihealthLDN,,NHS-linked health accelerator
Barclays Accelerator (by Techstars),London / New York,Fintech,Seed,6%,$120K,3 months,Varies,Varies,https://www.techstars.com/accelerators/barclays,https://www.techstars.com/accelerators/barclays,https://www.linkedin.com/company/techstars,https://twitter.com/techstars,https://www.youtube.com/@Techstars,Barclays x Techstars fintech
FinTech Innovation Lab,New York / London / Hong Kong,Fintech,Early Stage,0% (no equity),None (mentorship + bank access),3 months,Annual,Varies,https://www.fintechinnovationlab.com,https://www.fintechinnovationlab.com/apply,https://www.linkedin.com/company/fintech-innovation-lab,https://twitter.com/FintechLab,,Accenture-backed; bank partnerships
Citi Accelerator (via Techstars),Multiple cities,Fintech / Commerce,Seed,6%,$120K,3 months,Varies,Varies,https://www.techstars.com,,https://www.linkedin.com/company/techstars,https://twitter.com/techstars,,Citi + Techstars fintech program
Village Capital,Washington DC / Global,Impact / Multi-sector,Pre-Seed / Seed,0% (no equity),Varies (peer-selected investment),3-4 months,Varies by program,Varies,https://vilcap.com,https://vilcap.com/apply,https://www.linkedin.com/company/village-capital,https://twitter.com/vilaborlagecap,https://www.youtube.com/@VillageCapital,Peer-selected model; impact focus
Elemental Excelerator,Honolulu / Oakland,Climate / Clean Energy / Water,Seed to Series A,0% (no equity),Up to $1M grant,12 months,Annual (~Feb),~Jun,https://elementalexcelerator.com,https://elementalexcelerator.com/apply,https://www.linkedin.com/company/elemental-excelerator,https://twitter.com/elementalxlr8r,https://www.youtube.com/@ElementalExcelerator,Climate + infrastructure grants (no equity)
Greentown Labs,"Boston / Houston, USA",Climate / Clean Tech,Pre-Seed to Seed,0% (membership-based),None (lab space + community),Ongoing membership,Rolling,Rolling,https://greentownlabs.com,https://greentownlabs.com/membership,https://www.linkedin.com/company/greentown-labs,https://twitter.com/greentownlabs,https://www.youtube.com/@GreentownLabs,Largest climate tech incubator in North America
Imagine H2O,"San Francisco, CA, USA",Water / Climate,Seed,0% (no equity),None (mentorship + deployment),9 months,Annual,Annual,https://www.imagineh2o.org,https://www.imagineh2o.org/apply,https://www.linkedin.com/company/imagine-h2o,https://twitter.com/imagineh2o,,Water innovation accelerator
Orbit Startups (formerly 91springboard),"Lahore, Pakistan / MENA",Technology / Multi-sector,Pre-Seed / Seed,5-8%,$25K–$50K,3 months,Rolling,Rolling,https://orbitstartups.com,https://orbitstartups.com/apply,https://www.linkedin.com/company/orbit-startups,https://twitter.com/oraborbitstartups,,Pakistan/MENA accelerator
Grindstone Accelerator,"Johannesburg, South Africa",Technology / Multi-sector,Seed,0% (no equity),None (mentorship + investment readiness),12 months,Annual,Annual,https://grindstone.co.za,https://grindstone.co.za/apply,https://www.linkedin.com/company/grindstonexl,https://twitter.com/graborindstoneXL,,South Africa; investment readiness
FoundersLane (Tengelmann),"Düsseldorf, Germany",Retail / Commerce / Logistics,Seed,Varies,Varies,3-6 months,Rolling,Rolling,https://founderslane.com,https://founderslane.com/apply,https://www.linkedin.com/company/founderslane,,,Corporate retail accelerator
