Name,Publisher/Author,Frequency,Focus/Topics,Free or Paid,Website,Subscribe URL,Notes,Twitter,LinkedIn,YouTube
The Pragmatic Engineer,Gergely Orosz,Weekly,Software engineering and tech,Paid (Free tier available),https://newsletter.pragmaticengineer.com,https://newsletter.pragmaticengineer.com/subscribe,Inside tech companies from engineering perspective,https://twitter.com/GergelyOrosz,https://www.linkedin.com/in/gergelyorosz/,https://www.youtube.com/@mrgergelyorosz
SaaStr Newsletter,Jason Lemkin,Weekly,SaaS and B2B startups,Free,https://www.saastr.com/newsletter,https://www.saastr.com/newsletter,SaaS founder community insights,https://twitter.com/saastr,https://www.linkedin.com/company/saastr/,https://www.youtube.com/@SaaStr
Platformer,Casey Newton,Multiple/week,Social media and tech platforms,Paid (Free tier available),https://www.platformer.news,https://www.platformer.news/subscribe,Tech platform news and accountability journalism,https://twitter.com/caseyabornewton,https://www.linkedin.com/in/caseynewton/,
The Download,MIT Technology Review,Daily,Emerging technology,Free,https://www.technologyreview.com/newsletter,https://www.technologyreview.com/newsletter,MITs daily tech briefing,https://twitter.com/techreview,https://www.linkedin.com/company/mit-technology-review/,https://www.youtube.com/@mitabortechnologyreview
Crunchbase Daily,Crunchbase,Daily,Startup funding and exits,Free,https://news.crunchbase.com/daily,https://news.crunchbase.com/daily,Daily funding and exit news,https://twitter.com/craborunchbase,https://www.linkedin.com/company/crunchbase/,
PitchBook Newsletter,PitchBook,Weekly,PE/VC market data and analysis,Free,https://pitchbook.com/newsletter,https://pitchbook.com/newsletter/subscribe,Data-driven PE/VC market insights,https://twitter.com/PitchBook,https://www.linkedin.com/company/pitchbook-data/,https://www.youtube.com/@PitchBook
AVC Newsletter,Fred Wilson,Daily,Venture capital and tech,Free,https://avc.com,https://avc.com/subscribe,Legendary VC blog turned newsletter (USV),https://twitter.com/fredwilson,https://www.linkedin.com/in/fredwilson/,
Axios Pro Rata,Dan Primack,Daily,Deals and deal-makers,Free (Axios Pro paid),https://www.axios.com/newsletters/axios-pro-rata,https://www.axios.com/newsletters/axios-pro-rata,Essential VC deal flow newsletter,https://twitter.com/danaborprimack,https://www.linkedin.com/in/danprimack/,
AngelList Weekly,AngelList,Weekly,Startup jobs and fundraising,Free,https://angel.co/newsletters,https://angel.co/newsletters/subscribe,Startup ecosystem updates,https://twitter.com/angellist,https://www.linkedin.com/company/angellist/,
Elad Gil Newsletter,Elad Gil,Occasional,Startup scaling and investing,Free,https://blog.eladgil.com,https://blog.eladgil.com/subscribe,High-signal advice from serial operator/investor,https://twitter.com/eladgil,https://www.linkedin.com/in/eladgil/,
This Week in Startups Newsletter,Jason Calacanis,Weekly,Startup news and deals,Free,https://thisweekinstartups.com,https://thisweekinstartups.com/subscribe,Companion to popular podcast,https://twitter.com/jason,https://www.linkedin.com/in/jasoncalacanis/,https://www.youtube.com/@TWiStartups
Superhuman by Zain Kahn,Zain Kahn,Weekly,AI tools and productivity,Free,https://www.superhuman.ai,https://www.superhuman.ai/subscribe,AI-focused productivity newsletter; fast-growing,https://twitter.com/heyzainkhan,https://www.linkedin.com/in/zainkahn/,
The Diff,Byrne Hobart,Daily,Finance and technology analysis,Paid (Free tier available),https://www.thediff.co,https://www.thediff.co/subscribe,Deep analytical takes on finance and tech,https://twitter.com/byrnehobart,https://www.linkedin.com/in/byrnehobart/,
Acquired Newsletter,Ben Gilbert & David Rosenthal,Weekly,Tech company histories and analysis,Free,https://www.acquired.fm/newsletter,https://www.acquired.fm/newsletter,Companion to top-ranked tech podcast,https://twitter.com/acquiredfm,https://www.linkedin.com/company/acquiredfm/,https://www.youtube.com/@AcquiredFM
Every,Every (Dan Shipper),Multiple/week,AI and business creativity,Paid (Free tier available),https://every.to,https://every.to/subscribe,Bundle of business and AI newsletters,https://twitter.com/every,https://www.linkedin.com/company/every-media/,
Fundraise Insider,Nathan Beckord,Weekly,Fundraising tips and deals,Free,https://www.fundraiseinsider.com,https://www.fundraiseinsider.com/subscribe,Practical fundraising advice for founders,https://twitter.com/nathanbeckord,https://www.linkedin.com/in/nathanbeckord/,
Finimize,Finimize,Daily,Finance and investing,Free (premium available),https://www.finimize.com,https://www.finimize.com/subscribe,Bite-size financial analysis,https://twitter.com/finimize,https://www.linkedin.com/company/finimize/,https://www.youtube.com/@Finimize
Exponential View,Azeem Azhar,Weekly,Technology and society,Paid (Free tier available),https://www.exponentialview.co,https://www.exponentialview.co/subscribe,AI and exponential tech analysis,https://twitter.com/azaboreem,https://www.linkedin.com/in/azeemazhar/,
Dense Discovery,Kai Brach,Weekly,Design and tech and culture,Free (donations welcome),https://www.densediscovery.com,https://www.densediscovery.com/subscribe,Curated design and tech links,https://twitter.com/kaibrach,https://www.linkedin.com/in/kaibrach/,
Founder Collective Newsletter,Founder Collective,Monthly,Early-stage investing,Free,https://foundercollective.com,https://foundercollective.com/newsletter,Pre-seed and seed investing insights,https://twitter.com/fcollective,https://www.linkedin.com/company/founder-collective/,
a16z Newsletter,Andreessen Horowitz,Weekly,Tech trends and portfolio news,Free,https://a16z.com/newsletter,https://a16z.com/newsletter/subscribe,Insights from top VC firm,https://twitter.com/a16z,https://www.linkedin.com/company/andreessen-horowitz/,https://www.youtube.com/@a16z
Sequoia Capital Newsletter,Sequoia Capital,Occasional,Building and scaling companies,Free,https://www.sequoiacap.com,https://www.sequoiacap.com/newsletter,Arc framework and company-building insights,https://twitter.com/sequoia,https://www.linkedin.com/company/sequoia-capital/,https://www.youtube.com/@sequoiacapital
NFX Newsletter,NFX,Weekly,Network effects and marketplace strategy,Free,https://www.nfx.com/essays,https://www.nfx.com/newsletter,Network effects playbooks for founders,https://twitter.com/NFX,https://www.linkedin.com/company/nfx/,https://www.youtube.com/@NFX
Tomasz Tunguz Newsletter,Tomasz Tunguz (Theory Ventures),Weekly,SaaS metrics and VC analysis,Free,https://tomtunguz.com,https://tomtunguz.com/subscribe,Data-driven SaaS and VC analysis,https://twitter.com/ttunguz,https://www.linkedin.com/in/tomasztunguz/,
Investing 101 by Fred Wilson,Fred Wilson (USV),Weekly,Startup investing fundamentals,Free,https://avc.com,https://avc.com/subscribe,MBA Mondays series on investing,https://twitter.com/fredwilson,https://www.linkedin.com/in/fredwilson/,
Femstreet,Sarah Nöckel,Weekly,Women in VC and startups,Free,https://femstreet.com,https://femstreet.com/subscribe,Curated content for women in tech and investing,https://twitter.com/femstreet,https://www.linkedin.com/in/sarahnoeckel/,
TLDR Newsletter,TLDR,Daily,Tech news digest,Free,https://tldr.tech,https://tldr.tech/signup,Byte-size daily tech news; millions of subscribers,https://twitter.com/tlabordrtech,https://www.linkedin.com/company/tldrnewsletter/,
Benedict Evans Newsletter,Benedict Evans,Weekly,Tech industry analysis,Free,https://www.ben-evans.com/newsletter,https://www.ben-evans.com/newsletter,Former a16z analyst; sharp tech analysis,https://twitter.com/benedictevans,https://www.linkedin.com/in/benedictevans/,
Tech in Asia Newsletter,Tech in Asia,Daily,Asian startup ecosystem,Free (premium available),https://www.techinasia.com,https://www.techinasia.com/subscribe,Asian tech and startup coverage,https://twitter.com/techinasia,https://www.linkedin.com/company/tech-in-asia/,
