Company,Sector,Role Title,Location,URL,Comp Range (estimate),Why Angel Fits,How to Get In
BetterUp,Mental Health / Wellness,"Director, Sales Enablement","San Francisco, CA",https://jobs.ashbyhq.com/betterup/8ad83014-32a4-449b-ab10-aa177a1f4c6d,"$250K-$350K (base + equity)","GTM expertise but slightly below ideal seniority.","Apply if BetterUp is a priority target."
DeepMind,AI,"Director AGI Economics","London, UK",https://job-boards.greenhouse.io/deepmind/jobs/7556396,"$400K-$600K+ (base + equity)","Unique role blending economics and AI — Angel's M&A/capital formation + AI investing experience could be relevant. Unconventional fit but interesting.","Highly competitive. Would need strong referral."
"=== COMPANIES WITH NO RIGHT ROLE POSTED — PROACTIVE PITCH TARGETS ===","","","","","","",""
OpenAI,AI,Chief Growth Officer / VP Partnerships (PITCH),"San Francisco, CA",https://openai.com/careers/,"$500K-$800K+","OpenAI is scaling commercial operations rapidly. No CGO/VP Partnerships posted but clearly needs senior GTM leadership as they monetize. Angel's combination of AI investing + GTM expertise + media background is unique.","OpenAI hires through network. Leverage AI investor connections. CEO-level outreach through founder network. Pitch a role directly."
Google DeepMind,AI,VP Commercial Partnerships (PITCH),"London / Mountain View",https://job-boards.greenhouse.io/deepmind/jobs,"$500K-$700K+","DeepMind has no senior commercial/partnerships roles posted. As Google integrates AI across products, they need someone who bridges research and commercial — Angel's innovation + business background fits.","Google hiring is formal. Warm intro through Google/Alphabet investors. Apply to posted roles as a foot-in-the-door."
Character AI,AI,Chief Revenue Officer / VP Growth (PITCH),"Redwood City, CA",https://jobs.ashbyhq.com/character,"$400K-$600K+","Only 19 roles posted, no senior commercial/growth leadership. Character AI needs GTM leadership to monetize its massive consumer base. Angel's consumer media (MTV/BBC) + growth expertise is ideal.","Small team — founder/CEO outreach through AI investor network."
Inflection AI,AI,Chief Commercial Officer (PITCH),"Palo Alto, CA",https://boards.greenhouse.io/inflectionai,"$400K-$600K+","Only 5 roles posted — very early team. Perfect time to pitch a senior commercial role. Angel's entrepreneurial background fits startup-stage AI companies.","Direct founder outreach. Inflection is small enough for CEO-level conversation."
Runway,AI,VP Growth / Head of Partnerships (PITCH),"New York / Remote",https://job-boards.greenhouse.io/runwayml/jobs,"$350K-$500K+","Runway sits at intersection of AI + creative/media — Angel's MTV/BBC background + AI investing is unique combination. No senior growth/partnerships role posted.","Creative industry connections + AI investor network."
Perplexity AI,AI,Chief Revenue Officer / VP Growth (PITCH),"San Francisco, CA",https://www.perplexity.ai/hub/careers,"$400K-$600K+","Perplexity is scaling rapidly as a consumer AI product. Needs senior commercial leadership. Angel's media + growth expertise relevant for consumer AI.","Founder-level outreach through AI VC network."
Netflix,Media & Entertainment,VP Partnerships / Chief Growth Officer (PITCH),"Los Angeles / Remote",https://jobs.netflix.com/,"$500K-$800K+","Netflix needs innovation in partnerships/growth as streaming matures. Angel's media industry background (MTV/BBC) + digital innovation expertise is highly relevant. WIRED Top 100 Innovator credential resonates with Netflix's innovation culture.","Reed Hastings / Ted Sarandos level outreach through media network. Hollywood connections from MTV era."
Spotify,Media & Entertainment,VP Growth / Chief Partnerships Officer (PITCH),"New York / Stockholm",https://www.lifeatspotify.com/jobs,"$400K-$600K+","Spotify needs partnership/growth innovation. Angel's media background + startup ecosystem could drive new partnership motions.","European connections helpful. Outreach through music/media network."
Disney,Media & Entertainment,VP Innovation & Growth (PITCH),"Burbank / New York",https://jobs.disneycareers.com/,"$400K-$600K+","Disney is transforming digitally. Angel's innovation credentials (WIRED Top 100) + media industry experience + understanding of entertainment economics.","Large corporate — needs executive-level referral. Leverage media industry network."
Warner Bros Discovery,Media & Entertainment,Chief Growth Officer (PITCH),"New York / LA",https://careers.wbd.com/,"$400K-$600K+","WBD is in transformation mode post-merger. Needs growth leadership. Angel's M&A expertise is directly relevant.","C-suite outreach through media network."
Paramount,Media & Entertainment,VP Partnerships & Innovation (PITCH),"New York / LA",https://www.paramount.com/careers,"$400K-$500K+","Paramount is restructuring — perfect time for a growth-focused pitch. Angel's media industry background is core.","Media industry connections."
Live Nation,Media & Entertainment,Chief Commercial Officer (PITCH),"Beverly Hills / New York",https://www.livenationentertainment.com/careers/,"$400K-$600K+","Live events + entertainment + global partnerships. Angel's global network + entertainment industry connections + pro soccer background (sports events).","Entertainment industry network. Pro athlete connections."
Endeavor/WME,Media & Entertainment,Managing Director / Partner (PITCH),"New York / LA",https://wmeimg.wd1.myworkdayjobs.com/ENDEAVOR,"$500K-$1M+","Talent agency model = relationship-driven. Angel's massive founder/investor network + media background + athlete background hits multiple Endeavor verticals (sports + entertainment + fashion).","Relationship-driven hire. Leverage entertainment + sports network."
CAA,Media & Entertainment,Managing Director / Head of Innovation (PITCH),"Los Angeles / New York",https://www.caa.com/careers,"$500K-$1M+","CAA is expanding into venture/innovation. Angel's VC/founder network + media industry experience + innovation credentials (WIRED 100) aligns with CAA's strategic expansion.","Relationship-based. Outreach through entertainment industry connections."
UTA,Media & Entertainment,Partner / Head of Ventures (PITCH),"Los Angeles / New York",https://www.unitedtalent.com/careers,"$400K-$700K+","UTA has a ventures arm. Angel's investor background + media industry + founder network could drive UTA's innovation strategy.","Outreach through entertainment/VC overlap network."
Roc Nation,Media & Entertainment,Chief Growth Officer / President (PITCH),"New York",N/A,"$400K-$600K+","Culture + entertainment + athlete management. Angel's pro soccer background + global entertainment perspective + growth expertise. Roc Nation's athlete division is a natural fit.","Music/sports industry connections. Jay-Z's network overlaps with founder/investor circles."
Cooley,Law Firm,"Chief Innovation Officer / Head of Growth (PITCH)","Palo Alto / New York",https://www.cooley.com/careers,"$400K-$600K+","Cooley is THE top startup law firm. Angel's startup ecosystem connections (6K founders + 400 investors through Angel Club) could drive massive client acquisition. Innovation officer role would leverage WIRED Top 100 credential.","Cooley partners are in Angel's network already. Direct partner-level outreach."
Wilson Sonsini,Law Firm,"Chief Growth Officer / Head of Innovation (PITCH)","Palo Alto / New York",https://www.wsgr.com/en/careers/,"$400K-$600K+","WSGR is the other top startup law firm. Same thesis as Cooley — Angel's founder/investor network IS their target client base.","Partner-level outreach. Angel Club members likely include WSGR clients."
Fenwick,Law Firm,"Head of Client Growth & Innovation (PITCH)","Mountain View / San Francisco",https://www.fenwick.com/careers,"$350K-$500K+","Strong tech law firm that could benefit from Angel's tech ecosystem connections.","Outreach through Silicon Valley network."
Latham & Watkins,Law Firm,"Chief Innovation Officer (PITCH)","Global",https://www.lw.com/en/careers,"$400K-$700K+","Global AmLaw firm investing in innovation. Angel's global perspective + innovation credentials fit.","Needs senior partner referral."
Goodwin Procter,Law Firm,"Head of Growth (PITCH)","Boston / New York / SF",https://www.goodwinlaw.com/en/careers,"$350K-$500K+","Strong tech/VC practice. Angel's network could drive client growth.","Outreach through VC/PE connections."
Orrick,Law Firm,"Chief Innovation & Growth Officer (PITCH)","San Francisco / New York",https://www.orrick.com/en/Careers,"$350K-$500K+","Strong tech practice. Innovation-oriented firm culture.","Tech industry referral."
Calm,Wellness,Chief Growth Officer (PITCH),"San Francisco / Remote",https://www.calm.com/careers,"$350K-$500K+","Only ~4 roles posted — small team. Wellness + human potential alignment. Angel's consumer brand growth expertise from MTV era. Consciousness/somatic expertise directly relevant to meditation/mindfulness app.","PERFECT MISSION FIT. Direct CEO/founder outreach. Consciousness expertise is a compelling differentiator."
Headspace,Wellness / Mental Health,Chief Commercial Officer (PITCH),"Remote / Santa Monica",N/A,"$350K-$500K+","Similar to Calm — consciousness/human potential expertise directly relevant. Growth expertise needed as Headspace navigates competitive wellness market.","CEO-level outreach. Leverage wellness/mindfulness network."
Noom,Wellness,VP Growth / Chief Marketing Officer (PITCH),"New York",https://www.noom.com/careers/,"$350K-$500K+","Noom is a growth-stage wellness company. Angel's GTM expertise + health/wellness alignment.","Direct apply or founder outreach."
Lyra Health,Mental Health,Chief Growth Officer (PITCH),"Remote / Burlingame CA",N/A,"$400K-$500K+","Enterprise mental health company needs growth leadership. Angel's enterprise GTM skills + human potential expertise.","VC-backed — leverage investor network."
Spring Health,Mental Health,Chief Commercial Officer (PITCH),"New York / Remote",N/A,"$400K-$500K+","Fast-growing mental health platform. Needs commercial leadership. Angel's GTM + venture-backed company experience.","VC network intro."
Two Chairs,Mental Health,Chief Growth Officer (PITCH),"San Francisco",N/A,"$300K-$450K+","Boutique mental health company. Angel's growth expertise + human potential alignment. Smaller company = more direct access.","Direct founder outreach."
MAPS PBC,Mental Health,Chief Commercial Officer (PITCH),"San Jose, CA",N/A,"$300K-$450K+","Psychedelic-assisted therapy organization. Angel's consciousness expertise + public benefit corp alignment. Pioneering organization where Angel's human potential background is uniquely valuable.","Mission-driven hire. Direct outreach through psychedelic/consciousness community."
