Founder Name,Title,Company Name,Company Website,Location (City Country),Total Funding Raised,Revenue (if known),Sector,LinkedIn URL,Email,Notable Investors,Why Invite
Emad Mostaque,Founder,Stability AI,https://stability.ai,"London, UK",$200M+,,AI + Media/Creative,https://linkedin.com/in/emostaque,,Coatue; Lightspeed; O'Shaughnessy Ventures,Founded Stability AI (Stable Diffusion); catalyzed the open-source generative AI movement
David Holz,Founder & CEO,Midjourney,https://midjourney.com,"San Francisco, US",Self-funded,$200M+ ARR (est.),AI + Media/Creative,https://linkedin.com/in/david-holz-36b08a,,Self-funded / bootstrapped,Built Midjourney to $200M+ ARR with no VC funding; rare bootstrapped AI unicorn
Mati Staniszewski,CEO & Co-founder,ElevenLabs,https://elevenlabs.io,"New York / London, US/UK",$180M+,$80M+ ARR,AI + Media/Creative,https://linkedin.com/in/matistaniszewski,,Andreessen Horowitz; Nat Friedman; Daniel Gross,Leading voice AI synthesis; ElevenLabs is the go-to for realistic AI-generated speech
Piotr Dabkowski,CTO & Co-founder,ElevenLabs,https://elevenlabs.io,"New York / London, US/UK",$180M+,,AI + Media/Creative,https://linkedin.com/in/piotr-dabkowski,,Andreessen Horowitz; Nat Friedman; Daniel Gross,Technical co-founder behind ElevenLabs' breakthrough voice cloning technology
Victor Riparbelli,CEO & Co-founder,Synthesia,https://synthesia.io,"London, UK",$157M+,$100M+ ARR,AI + Media/Creative,https://linkedin.com/in/victorriparbelli,,Kleiner Perkins; GV (Google Ventures); Accel,AI video avatar platform with $100M+ ARR; transforming enterprise video communication
Steffen Tjerita,CTO & Co-founder,Synthesia,https://synthesia.io,"London, UK",$157M+,,AI + Media/Creative,https://linkedin.com/in/stjerita,,Kleiner Perkins; GV; Accel,Technical co-founder of Synthesia; pioneered AI avatar video at scale
Dave Rogenmoser,CEO & Co-founder,Jasper,https://jasper.ai,"Austin, US",$131M+,,AI + Enterprise,https://linkedin.com/in/daverogenmoser,,Insight Partners; IVP; Bessemer,Early mover in enterprise AI content; Jasper reached $80M+ ARR in generative AI marketing
Paul Yacoubian,CEO & Co-founder,Copy.ai,https://copy.ai,"San Francisco, US",$14M+,,AI + Enterprise,https://linkedin.com/in/paulyacoubian,,Tiger Global; Wing VC,Pivoted Copy.ai into AI-powered GTM workflows; fast-growing enterprise AI
May Habib,CEO & Co-founder,Writer,https://writer.com,"San Francisco, US",$126M+,,AI + Enterprise,https://linkedin.com/in/mayhabib,,ICONIQ Growth; Insight Partners; Accel,Building the enterprise generative AI platform for regulated industries; strong governance focus
Arvind Jain,CEO & Founder,Glean,https://glean.com,"Palo Alto, US",$360M+,,AI + Enterprise,https://linkedin.com/in/arvindjain1,,Sequoia; Kleiner Perkins; Lightspeed,Former Google Distinguished Engineer; Glean is the leading enterprise AI search platform
Aravind Srinivas,CEO & Co-founder,Perplexity AI,https://perplexity.ai,"San Francisco, US",$775M+,,AI + Enterprise / Search,https://linkedin.com/in/aravind-srinivas-16051987,,Jeff Bezos; Nvidia; IVP; NEA,Building the AI-native answer engine challenging Google; one of the fastest-growing AI startups
Richard Socher,CEO & Founder,You.com,https://you.com,"San Francisco, US",$99M+,,AI + Enterprise / Search,https://linkedin.com/in/richardsocher,,Salesforce Ventures; Day One Ventures,Former Chief Scientist at Salesforce; pioneering AI-powered productivity search
Krish Ramineni,CEO & Co-founder,Fireflies.ai,https://fireflies.ai,"San Francisco, US",$19M+,,AI + Enterprise / Productivity,https://linkedin.com/in/krishramineni,,Canaan Partners,AI meeting assistant with millions of users; strong product-led growth in enterprise AI
Aparna Chennapragada,CEO,Typeface,https://typeface.ai,"San Francisco, US",$165M+,,AI + Enterprise / Content,https://linkedin.com/in/aparnachennapragada,,Lightspeed; GV; Menlo Ventures; Salesforce Ventures,"Ex-Google VP (Lens, Assistant); now building personalized enterprise generative AI content"
Eric Simons,CEO & Co-founder,Tabnine,https://tabnine.com,Tel Aviv / US,$55M+,,AI + Developer Tools,https://linkedin.com/in/ericsimons,,Telstra Ventures; Qualcomm Ventures,Early AI code completion pioneer; Tabnine was doing AI coding before Copilot
Amjad Masad,CEO & Co-founder,Replit,https://replit.com,"San Francisco, US",$222M+,,AI + Developer Tools,https://linkedin.com/in/amjadmasad,,Andreessen Horowitz; Khosla; SV Angel,Building the AI-native coding platform; Replit Agent is democratizing software creation
Eric Glyman,CEO & Co-founder,Ramp,https://ramp.com,"New York, US",$1.6B+,$500M+ ARR,AI + Fintech,https://linkedin.com/in/ericglyman,,Founders Fund; D1 Capital; Thrive Capital,Ramp is the fastest-growing corporate card + AI finance platform; valued at $13B
Karim Atiyeh,CTO & Co-founder,Ramp,https://ramp.com,"New York, US",$1.6B+,,AI + Fintech,https://linkedin.com/in/karimatiyeh,,Founders Fund; D1 Capital; Thrive Capital,Technical co-founder behind Ramp's AI-powered expense management and automation
Henrique Dubugras,Co-CEO & Co-founder,Brex,https://brex.com,"San Francisco, US",$1.5B+,$300M+ ARR,AI + Fintech,https://linkedin.com/in/hdubugras,,Y Combinator; Greenoaks; Tiger Global,Co-leads Brex; integrating AI into corporate spend management for startups and enterprises
Pedro Franceschi,Co-CEO & Co-founder,Brex,https://brex.com,"San Francisco, US",$1.5B+,,AI + Fintech,https://linkedin.com/in/pedrofranceschi,,Y Combinator; Greenoaks; Tiger Global,Technical co-CEO of Brex; driving AI innovation in fintech from Brazil to Silicon Valley
Zach Perret,CEO & Co-founder,Plaid,https://plaid.com,"San Francisco, US",$734M+,,AI + Fintech,https://linkedin.com/in/zachperret,,Altimeter; Silver Lake; Ribbit Capital,Plaid connects 12K+ financial institutions; increasingly leveraging AI for financial data intelligence
Eric Xing,CEO & Founder,Petuum / CAML,https://petuum.com,"Pittsburgh, US",$108M+,,AI Infrastructure / Enterprise,https://linkedin.com/in/epxing,,SoftBank Vision Fund; Tencent,CMU professor; building industrial AI platforms for enterprise deployment
Winston Ibrahim,CEO & Co-founder,Harvey AI,https://harvey.ai,"San Francisco, US",$206M+,,AI + Legal,https://linkedin.com/in/winstoni,,Sequoia; Kleiner Perkins; GV,Building the leading AI platform for law firms; Harvey is transforming legal work
Gabriel Pereyra,CTO & Co-founder,Harvey AI,https://harvey.ai,"San Francisco, US",$206M+,,AI + Legal,https://linkedin.com/in/gabrielpereyra,,Sequoia; Kleiner Perkins; GV,Ex-DeepMind/Meta AI researcher; technical mind behind Harvey's legal AI models
Jason Boehmig,CEO & Co-founder,Ironclad,https://ironcladapp.com,"San Francisco, US",$333M+,,AI + Legal,https://linkedin.com/in/jasonboehmig,,Accel; Y Combinator; Sequoia,Former lawyer turned founder; Ironclad's AI contract management is used by top enterprises
Amit Bendov,CEO & Co-founder,Gong,https://gong.io,"San Francisco, US",$584M+,$300M+ ARR,AI + Sales,https://linkedin.com/in/amitbendov,,Sequoia; Thrive Capital; Battery Ventures,Gong pioneered revenue intelligence with AI; essential tool for B2B sales teams
Ofer Peled,CEO & Co-founder,People.ai,https://people.ai,"San Francisco, US",$200M+,,AI + Sales,https://linkedin.com/in/oferpeled,,ICONIQ; Lightspeed; Andreessen Horowitz,AI revenue operations platform; captures and analyzes every customer touchpoint
Noah Waisberg,CEO & Co-founder,Zuva (ex-Kira Systems),https://zuva.ai,"Toronto, Canada",$65M+ (Kira acq.),,AI + Legal,https://linkedin.com/in/noahwaisberg,,Acquired by Litera; spun out as Zuva,Pioneer of AI contract analysis; Kira was acquired; now leads Zuva's AI document intelligence
Sam Liang,CEO & Founder,Otter.ai,https://otter.ai,"Mountain View, US",$63M+,,AI + Enterprise / Productivity,https://linkedin.com/in/samliangotter,,Fidelity; NTT Docomo; Spectrum Equity,Ex-Google engineer; Otter.ai is a leading AI meeting transcription tool
Ilya Sutskever,Co-founder & Chief Scientist,Safe Superintelligence Inc (SSI),https://ssi.inc,"Palo Alto, US",$1B+,,Generative AI / AI Safety,https://linkedin.com/in/ilaborevich,,Andreessen Horowitz; Sequoia; DST Global; SV Angel,Former OpenAI Chief Scientist; co-founded SSI to build safe superintelligence; legendary figure in AI
Daniel Levy,Co-founder,Safe Superintelligence Inc (SSI),https://ssi.inc,"Palo Alto, US",$1B+,,Generative AI / AI Safety,https://linkedin.com/in/daniel-levy-a2ab6ab6,,Andreessen Horowitz; Sequoia; DST Global,Co-founded SSI with Ilya Sutskever to focus purely on safe superintelligence
Mustafa Suleyman,CEO,Microsoft AI,https://microsoft.com/ai,"Redmond, US",Public (MSFT),,Generative AI / Foundation Models,https://linkedin.com/in/mustafasuleyman,,Microsoft,DeepMind co-founder; former Inflection AI CEO; now leads Microsoft AI; one of the most important figures in AI
Reid Hoffman,Co-founder,Inflection AI,https://inflection.ai,"Palo Alto, US",$1.5B+,,Generative AI / Foundation Models,https://linkedin.com/in/reidhoffman,,Microsoft; Reid Hoffman; Bill Gates; Nvidia,LinkedIn co-founder; co-founded Inflection AI; major AI thought leader and investor
Karén Simonyan,Co-founder & Chief Scientist,Inflection AI,https://inflection.ai,"Palo Alto, US",$1.5B+,,Generative AI / Foundation Models,https://linkedin.com/in/simonyan,,Microsoft; Reid Hoffman; Bill Gates; Nvidia,VGGNet co-creator; former DeepMind researcher; now Chief Scientist at Inflection AI
Alex Atallah,CEO & Co-founder,OpenSea (AI pivot),https://opensea.io,"New York, US",$427M+,,AI + Web3,https://linkedin.com/in/alexatallah,,Paradigm; Coatue; a16z,OpenSea exploring AI; Alex brings deep marketplace expertise to AI-native platforms
Demis Hassabis,CEO & Co-founder,Google DeepMind,https://deepmind.google,"London, UK",Google-backed,,Generative AI / Foundation Models,https://linkedin.com/in/demishassabis,,Alphabet/Google,Nobel Prize winner; co-founded DeepMind; leads Google's frontier AI research
Shane Legg,Chief AGI Scientist & Co-founder,Google DeepMind,https://deepmind.google,"London, UK",Google-backed,,Generative AI / Foundation Models,https://linkedin.com/in/shanelegg,,Alphabet/Google,DeepMind co-founder; coined the term 'artificial general intelligence'; leading AGI safety research
Lila Ibrahim,COO,Google DeepMind,https://deepmind.google,"London, UK",Google-backed,,Generative AI / Foundation Models,https://linkedin.com/in/lilaibrahim,,Alphabet/Google,Runs operations at Google DeepMind; former Intel exec; bridges AI research and business
Alex Graves,Co-founder,NNAISENSE,https://nnaisense.com,"London, UK",$10M+,,AI + Robotics / Research,https://linkedin.com/in/alex-graves-68b5422a,,Unknown,Pioneered attention mechanisms and sequence-to-sequence models; foundational AI researcher
Alex Kendall,CEO & Co-founder,Wayve,https://wayve.ai,"London, UK",$1B+,,AI + Robotics/Autonomy,https://linkedin.com/in/alexkendall,,SoftBank; Microsoft; Nvidia; Eclipse Ventures,Cambridge PhD; leading Wayve's vision-based autonomous driving AI; UK's top robotics founder
Nikolas Halverson,CEO & Co-founder,PolyAI,https://poly.ai,"London, UK",$70M+,,AI + Enterprise / Voice,https://linkedin.com/in/nikolashalfverson,,Khosla Ventures; Point72; NVentures,Building enterprise voice AI assistants; PolyAI handles millions of customer service calls
Nikola Mrkšić,CEO & Co-founder,PolyAI,https://poly.ai,"London, UK",$70M+,,AI + Enterprise / Voice,https://linkedin.com/in/nikolamrksic,,Khosla Ventures; Point72; NVentures,Cambridge PhD in dialogue systems; PolyAI is a leading voice AI for enterprise customer service
Brett Adcock,CEO & Founder,Figure AI,https://figure.ai,"Sunnyvale, US",$754M+,,AI + Robotics/Autonomy,https://linkedin.com/in/brettadcock,,Jeff Bezos; Microsoft; Nvidia; OpenAI; Intel,Building general-purpose humanoid robots; Figure 01 partnership with OpenAI is groundbreaking
Peter Chen,CEO & Co-founder,Covariant,https://covariant.ai,"Emeryville, US",$222M+,,AI + Robotics/Autonomy,https://linkedin.com/in/pieterchen,,Index Ventures; Radical Ventures; Geoffrey Hinton,Building the AI brain for robots; Covariant's foundation model for robotics is category-defining
Dmitry Aksyonov,CEO & Co-founder,1X Technologies,https://1x.tech,"Sunnyvale, US",$125M+,,AI + Robotics/Autonomy,https://linkedin.com/in/dmitry-aksyonov,,OpenAI; Tiger Global; Samsung,Building humanoid robots (NEO); backed by OpenAI; merging AI with physical embodiment
Bernt Børnich,CEO & Co-founder,1X Technologies,https://1x.tech,"Moss, Norway / US",$125M+,,AI + Robotics/Autonomy,https://linkedin.com/in/berntbornich,,OpenAI; Tiger Global; Samsung,Norwegian founder building androids; 1X's EVE robot is deployed in real-world settings
Geordie Rose,CEO & Founder,Sanctuary AI,https://sanctuary.ai,"Vancouver, Canada",$100M+,,AI + Robotics/Autonomy,https://linkedin.com/in/geordierose,,Magna International; BDC Capital; InBC,D-Wave co-founder now building general-purpose humanoid robots; Canadian AI pioneer
Suzanne Gildert,CTO & Co-founder,Sanctuary AI,https://sanctuary.ai,"Vancouver, Canada",$100M+,,AI + Robotics/Autonomy,https://linkedin.com/in/suzannegildert,,Magna International; BDC Capital; InBC,Quantum computing PhD turned humanoid robotics CTO; building the world's first human-like intelligence in robots
Eric Lefkofsky,CEO & Co-founder,Tempus AI,https://tempus.com,"Chicago, US",$1.3B+ / Public (TEM),$700M+ revenue,AI + Health,https://linkedin.com/in/ericlefkofsky,,Google; NEA; New Enterprise Associates; Public,Groupon co-founder turned AI health pioneer; Tempus went public in 2024; precision medicine at scale
Chris Gibson,CEO & Co-founder,Recursion Pharmaceuticals,https://recursion.com,"Salt Lake City, US",$1B+ / Public (RXRX),,AI + Health / Drug Discovery,https://linkedin.com/in/chrisgibsonphd,,Public company,Using AI to decode biology and discover new drugs; Recursion is a leader in AI-driven pharma
Alex Zhavoronkov,CEO & Founder,Insilico Medicine,https://insilico.com,"New York / Hong Kong, US",$400M+,,AI + Health / Drug Discovery,https://linkedin.com/in/zhavoronkov,,Warburg Pincus; B Capital; Qiming Venture Partners,Pioneered generative AI for drug discovery; first AI-designed drug to reach Phase II trials
Andrew Ng,Founder & CEO,Landing AI / DeepLearning.AI,https://landing.ai,"Palo Alto, US",$57M+,,AI Infrastructure / Education,https://linkedin.com/in/andrewyng,,Insight Partners; McRock Capital,Co-founded Google Brain; former Baidu Chief Scientist; one of the most influential AI educators globally
Fei-Fei Li,Co-founder,World Labs,https://worldlabs.ai,"San Francisco, US",$230M+,,Generative AI / Spatial Intelligence,https://linkedin.com/in/faborefei-fei-li,,Andreessen Horowitz; Radical Ventures; NVentures,Stanford HAI director; ImageNet creator; building spatial intelligence AI at World Labs
Justin Johnson,Co-founder & CEO,World Labs,https://worldlabs.ai,"San Francisco, US",$230M+,,Generative AI / Spatial Intelligence,https://linkedin.com/in/jcjohnson,,Andreessen Horowitz; Radical Ventures; NVentures,Former Meta FAIR researcher; leading World Labs' vision for 3D spatial AI
Connor Leahy,CEO & Co-founder,Conjecture,https://conjecture.dev,"London, UK",$22M+,,AI Safety / Foundation Models,https://linkedin.com/in/connor-leahy,,Crypto investors; angels,Former EleutherAI leader; building interpretable AI at Conjecture; prominent AI safety voice
Guillaume Verdon,CEO & Founder,Extropic,https://extropic.ai,"San Francisco, US",$35M+,,AI Infrastructure / Hardware,https://linkedin.com/in/guillaumeverdon,,a16z; Kindred Ventures,Former Google X quantum engineer; building thermodynamic AI hardware; 'Beff Jezos' of e/acc
Naveen Jain,CEO & Founder,Viome,https://viome.com,"Seattle, US",$175M+,,AI + Health / Genomics,https://linkedin.com/in/naveenjain1,,Khosla Ventures; Bold Capital; Marc Benioff,Serial billionaire entrepreneur using AI for personalized nutrition and health diagnostics
Jonathan Ross,CEO & Founder,Groq,https://groq.com,"Mountain View, US",$640M+,,AI Infrastructure / Chips,https://linkedin.com/in/rossjonathan,,Tiger Global; Samsung; Cisco,Former Google TPU architect; Groq's LPU chips deliver fastest AI inference in the world
Kyle Vogt,CEO & Co-founder,The Bot Company,https://thebotcompany.com,"San Francisco, US",$150M+,,AI + Robotics / Home,https://linkedin.com/in/kylevogt,,Khosla Ventures; a16z,Former Cruise CEO; now building AI home robots; serial robotics/autonomy entrepreneur
Boris Sofman,CEO,Waymo,https://waymo.com,"Mountain View, US",Alphabet-backed ($5B+),,AI + Robotics/Autonomy,https://linkedin.com/in/borissofman,,Alphabet/Google,Leads Waymo; former Anki CEO; at the forefront of autonomous vehicle deployment
George Hotz,CEO & Founder,comma.ai,https://comma.ai,"San Diego, US",$8M+ (mostly bootstrapped),$10M+ revenue,AI + Robotics/Autonomy,https://linkedin.com/in/george-hotz-8505284,george@comma.ai,Self-funded / angels,Famous hacker turned autonomous driving founder; comma.ai's openpilot is open-source ADAS
Sébastien Bratières,CEO & Co-founder,Faculty AI,https://faculty.ai,"London, UK",$50M+,,AI + Enterprise / Government,https://linkedin.com/in/sbrat,,Northzone; LocalGlobe,"UK's leading applied AI consultancy; works with NHS, UK government, and major enterprises"
Tabitha Goldstaub,Co-founder,CognitionX / AI Council,https://cognitionx.com,"London, UK",$10M+,,AI + Enterprise / Advisory,https://linkedin.com/in/tabithagoldstaub,,Various UK investors,Chair of the UK AI Council; co-founded CognitionX; key connector in the UK AI ecosystem
Poppy Gustafsson,CEO,Darktrace,https://darktrace.com,"Cambridge, UK",Public (was) / Acquired by Thoma Bravo,$600M+ revenue,AI + Cybersecurity,https://linkedin.com/in/poppygustafsson,,Thoma Bravo (acquirer); KKR; Summit,Led Darktrace from startup to $5.3B acquisition; pioneering self-learning AI for cybersecurity
Jack Clark,Co-founder,Anthropic,https://anthropic.com,"San Francisco, US",$7.6B+,,Generative AI / Foundation Models / Policy,https://linkedin.com/in/jack-clark-b27b782,,Google; Spark Capital,Co-founded Anthropic; former OpenAI Policy Director; leading voice on AI safety and governance
Tom Brown,Co-founder,Anthropic,https://anthropic.com,"San Francisco, US",$7.6B+,,Generative AI / Foundation Models,https://linkedin.com/in/tom-brown-0987b5a,,Google; Spark Capital,Lead author of GPT-3 paper; Anthropic co-founder; instrumental in scaling language models
Chris Olah,Co-founder,Anthropic,https://anthropic.com,"San Francisco, US",$7.6B+,,Generative AI / Foundation Models / Interpretability,https://linkedin.com/in/chris-olah-4571a572,,Google; Spark Capital,Pioneer of neural network interpretability; co-founded Anthropic; legendary ML researcher
Jared Kaplan,Co-founder,Anthropic,https://anthropic.com,"San Francisco, US",$7.6B+,,Generative AI / Foundation Models,https://linkedin.com/in/jaredkaplan,,Google; Spark Capital,Co-discovered neural scaling laws; Johns Hopkins physicist turned AI researcher; Anthropic co-founder
Raquel Urtasun,CEO & Founder,Waabi,https://waabi.ai,"Toronto, Canada",$283M+,,AI + Robotics/Autonomy,https://linkedin.com/in/raquelurtasun,,Khosla Ventures; Uber; a16z; Aurora,Former Uber ATG Chief Scientist; U of T professor; leading AI-first approach to autonomous trucking
Toran Bruce Richards,CEO & Founder,Significo (AutoGPT),https://agpt.co,"London, UK",$12M+,,AI + Autonomous Agents,https://linkedin.com/in/toranbricerichard,,Various angels,"Created AutoGPT, one of the most viral open-source AI projects; pioneering autonomous AI agents"
Tudor Achim,CEO & Co-founder,Luma AI,https://lumalabs.ai,"San Francisco, US",$70M+,,AI + Media/Creative / 3D,https://linkedin.com/in/tudorachim,,Andreessen Horowitz; GV; Matrix Partners,Building Dream Machine for AI video/3D generation; Luma is pushing the frontier of visual AI
Yangqing Jia,CEO & Co-founder,Lepton AI,https://lepton.ai,"San Francisco, US",$57M+,,AI Infrastructure,https://linkedin.com/in/yangqing,,Greycroft; Amplify Partners,Created Caffe (deep learning framework); former Meta/Alibaba AI VP; now building AI cloud infrastructure
Geoffrey Hinton,Professor Emeritus / AI advisor,University of Toronto / Google alum,https://cs.toronto.edu/~hinton,"Toronto, Canada",Nobel Prize winner,,AI Research / Foundation Models,https://linkedin.com/in/geoffreyhinton,,Various,Nobel Prize in Physics for AI; the 'Godfather of Deep Learning'; his students founded many top AI companies
Yoshua Bengio,Professor & Founder,Mila / various AI ventures,https://mila.quebec,"Montreal, Canada",Mila - government funded,,AI Research / Foundation Models,https://linkedin.com/in/yoshuabengio,,CIFAR; Quebec government,Turing Award winner; founded Mila (world's largest academic AI lab); godfather of deep learning
Richard Sutton,Professor & Co-founder,RLAI Lab / Keen Technologies,https://incompleteideas.net,"Edmonton, Canada",$10M+,,AI Research / Reinforcement Learning,https://linkedin.com/in/richardsutton,,Alberta Machine Intelligence Institute,Father of reinforcement learning; co-founded Keen Technologies; his work underpins modern AI
Tad Milbourn,CEO & Co-founder,BenchSci,https://benchsci.com,"Toronto, Canada",$70M+,,AI + Health / Drug Discovery,https://linkedin.com/in/tadmilbourn,,Gradient Ventures (Google); Inovia Capital; iGan Partners,Using AI to accelerate preclinical drug discovery; Toronto-based AI biotech
Connor Grennan,CEO & Founder,EvenUp,https://evenuplaw.com,"San Francisco, US",$135M+,,AI + Legal,https://linkedin.com/in/connorgrennan,,Bain Capital Ventures; Bessemer; Signalfire,AI for personal injury law; EvenUp automates demand letters using AI; fast-growing legal tech
Thomas Wolf,CTO & Co-founder,Hugging Face,https://huggingface.co,"New York, US",$395M+,,AI Infrastructure / Open Source,https://linkedin.com/in/thomwolf,,Google; Amazon; Nvidia; Salesforce,Co-founded and built the technical foundation of Hugging Face; Transformers library creator
Julien Chaumond,CTO & Co-founder,Hugging Face,https://huggingface.co,"New York, US",$395M+,,AI Infrastructure / Open Source,https://linkedin.com/in/julienchaumond,,Google; Amazon; Nvidia; Salesforce,Co-founder of Hugging Face; building the open-source AI platform used by 50K+ organizations
David Luan,CEO & Co-founder,Adept AI,https://adept.ai,"San Francisco, US",$415M+,,Generative AI / AI Agents,https://linkedin.com/in/davidluan,,General Catalyst; Spark Capital; Greylock,Former OpenAI VP Engineering; building AI agents that can use any software tool
Cai GoGwilt,CTO & Co-founder,Ironclad,https://ironcladapp.com,"San Francisco, US",$333M+,,AI + Legal,https://linkedin.com/in/caigogwilt,,Accel; Y Combinator; Sequoia,Technical co-founder behind Ironclad's AI contract platform; MIT dropout turned legal tech pioneer
