#,First Name,Last Name,Firm/Company,Investor Type,Email,LinkedIn URL,Website,Sectors of Interest,Location,Source,Match Score,Assigned Dinner,Also Good For
11,Deborah,Jackson,Plum Alley Investments,Institutional Venture Capital (VC),,https://www.linkedin.com/company/plus-capital,https://www.plumalley.co,"AI/ML,Biotech,Deep Tech,Female Founders,Web3,Wellness,Supply Chain,Robotics,AgTech,Femtech,Frontier Tech,Logistics,Life Sciences,Sustainability",New York,vc_database,9,VC Dinner,
12,Jordan,French,Radian Capital,"Institutional Venture Capital (VC),Growth Equity",,https://www.linkedin.com/company/radian-capital,https://radiancapital.vc,"Technology,Enterprise,Software,Fintech,Marketplaces,Adtech,AgTech,AI/ML,Analytics,AR/VR,Big Data,Civic Tech,Clean Tech,Cloud,Commerce,Construction Tech,Cyber,Data,Data Services,Deep Tech,Design,DevOps","New York,San Francisco Bay Area",vc_database,9,VC Dinner,
13,Wende,Hutton,Canaan Partners,Institutional Venture Capital (VC),,https://www.linkedin.com/company/commonfund,https://www.canaan.com,"Healthcare,Life Sciences,Manufacturing,Health,Consumer,Commerce,Future of Work,Mobile,SaaS,Biotech,Enterprise,Security,Marketplaces","New York,San Francisco Bay Area",vc_database,8,VC Dinner,
14,,,Citi,"Impact Fund,Corporate Venture Capital (CVC)",,https://www.linkedin.com/company/citi,https://www.citigroup.com,"Workforce,Infrastructure,Sustainability,Fintech,Diversity,AgTech,Clean Tech,Data,Enterprise,Education,Energy,Future of Work,Blockchain,AI/ML,Crypto,Risk Management,SaaS,Platforms,All Sectors","New York,San Francisco Bay Area",vc_database,8,VC Dinner,
15,Sanjay,Subhedar,Fine Structure Ventures,Institutional Venture Capital (VC),,https://www.linkedin.com/company/fine-structure-ventures,https://www.finestructureventures.com,"3D Printing,AgTech,Biotech,Clean Tech,Transportation,Sustainability,Materials,Manufacturing,Deep Tech,Energy,Frontier Tech,Hardware","New York,Boston",vc_database,8,VC Dinner,
16,,,Firework Ventures,"Institutional Venture Capital (VC),Impact Fund",,https://www.linkedin.com/company/firework-ventures,https://www.firework.vc,"Future of Work,Education,Fintech,HRTech,Care Economy,Community,Analytics,Creator Economy,Diversity,Family Tech,Marketplaces,Mental Health,Web3,Workforce,Wellness","San Francisco Bay Area,New York",vc_database,8,VC Dinner,
17,Jim,Tananbaum,Foresite Capital,"Accelerator Fund,Institutional Venture Capital (VC)",,https://www.linkedin.com/company/connecticut-innovations,https://www.foresite.com,"Health,Health Care Services,Biopharma,Biotech,AI/ML,Big Data,Diagnostics,Life Sciences,Healthcare","Boston,New York",vc_database,8,VC Dinner,
18,Jonathan,Widawsky,FTW Ventures,"Impact Fund,Institutional Venture Capital (VC)",,https://www.linkedin.com/company/creadev,https://www.ftw.vc,"AgTech,Biotech,Clean Tech,Food,Materials,Supply Chain,Wellness,Sustainability","New Haven,New York,Boston,San Francisco Bay Area",vc_database,8,VC Dinner,
19,Troy,Vosseller,gener8tor,"Accelerator Fund,Impact Fund,Growth Equity,Venture Studio,Corporate Venture Capital (CVC)",,https://www.linkedin.com/company/decarbonization-partners,https://www.gener8tor.com,"Fintech,Insurtech,Data,Diversity,Technology,Health,All Sectors,Education,Analytics,Sustainability,Transportation,SaaS,Security,Software,Platforms","Milwaukee,Minneapolis,Jackson,Chicago,Detroit,Birmingham,New York,Indianapolis,Omaha,Madison,Sacramento,Green Bay,Luxembourg,Memphis,Other",vc_database,8,VC Dinner,
20,Hans,Tung,GGV,"Institutional Venture Capital (VC),Growth Equity",,https://www.linkedin.com/company/deutsche-bank,https://www.ggvc.com,"Consumer,Social Impact,UrbanTech,Commerce,Software,Enterprise,All Sectors,SaaS,Cloud,Fintech,Data,AI/ML,Cyber,Security,DevOps","New York,San Francisco Bay Area",vc_database,8,VC Dinner,
21,Anand,Iyer,Petrichor Healthcare Capital Management,"Growth Equity,Venture Studio,Other",,https://www.linkedin.com/company/phoenix-venture-partners,https://petrichorhc.com,"Biopharma,Biotech,Diagnostics,Healthcare,Health,Medtech,Life Sciences",New York,vc_database,8,VC Dinner,
22,Patrick,Olson,Pulse Fund,"Growth Equity,Impact Fund",,https://www.linkedin.com/company/purple-sage-ventures,https://www.pulsefund.vc,"Clean Tech,AgTech,Construction Tech,Sustainability,Transportation,Software,PropTech,Infrastructure,Energy","Los Angeles,New York",vc_database,8,VC Dinner,
23,Ashish,Shah,Redesign Health,"Venture Studio,Other",,https://www.linkedin.com/company/redesign-health,https://www.redesignhealth.com,"Healthcare,Health,Health Care Services,All Sectors,Mental Health,Wellness","New York,Philadelphia,San Francisco Bay Area",vc_database,8,VC Dinner,
24,Chris,Farmer,SignalFire,Institutional Venture Capital (VC),chris@signalfire.com,https://www.linkedin.com/company/signalfire,https://signalfire.com,"All Sectors,AI/ML,Analytics,Big Data,Cloud,Commerce,Data,Cyber,Data Services,Design,DevOps,Frontier Tech,Future of Work,Infrastructure,SaaS,Fintech,Crypto,Enterprise,Healthcare,Technology,Consumer","San Francisco Bay Area,New York",vc_database,8,VC Dinner,
25,Peter,Chung,Summit Partners,"Institutional Venture Capital (VC),Growth Equity",,https://www.linkedin.com/company/summit-partners,https://www.summitpartners.com,"Technology,Software,SaaS,Cloud,Enterprise,Future of Work,Supply Chain,Risk Management,HRTech,IoT,Manufacturing,All Sectors,Consumer,Beauty,Apparel,Community,Education,Female Founders,Lifestyle,Wellnes","San Francisco Bay Area,Boston,New York",vc_database,8,VC Dinner,
26,Marcos,Gonzalez,Vamos Ventures,"Institutional Venture Capital (VC),Impact Fund",,https://www.linkedin.com/company/vamosventures,https://vamosventures.com,"All Sectors,Fintech,Health,Future of Work,Sustainability","New York,Los Angeles",vc_database,8,Sovereign Funds Dinner,
27,Stephanie,Tilenius,Vita Ventures,Institutional Venture Capital (VC),,https://www.linkedin.com/company/vita-ventures,https://vita.ventures,"Biotech,Food,Software,Sustainability,Supply Chain,AI/ML,Materials,Technology,SaaS","New York,San Francisco Bay Area",vc_database,8,Sovereign Funds Dinner,
28,Laurence,Tosi,WestCap,Growth Equity,,https://www.linkedin.com/company/westcapgroup,https://www.westcap.com,"Blockchain,Health,Crypto,PropTech,Fintech,Construction Tech,Insurtech,Marketplaces,UrbanTech,Mobility,Adtech,AI/ML,AgTech,Clean Tech,Cyber,Data,Healthcare,HRTech,Future of Work,Software,Supply Chain,T","San Francisco Bay Area,New York",vc_database,8,Sovereign Funds Dinner,
29,Joel,Marcus,Alexandria Venture Investments,Corporate Venture Capital (CVC),,https://www.linkedin.com/company/alexandria-venture-investments,https://www.alexandriaventureinvestments.com,"Biotech,Technology,AgTech,Healthcare,Diagnostics,Transportation,Life Sciences,Biopharma","New York,Boston,Seattle",vc_database,7,Sovereign Funds Dinner,
30,,,Amazon Investments,"Corporate Venture Capital (CVC),Accelerator Fund",,https://www.linkedin.com/company/amazon,https://industrialinnovationfund.amazon/,"AI/ML,Analytics,Big Data,Digital Media,Commerce,Cloud,Logistics,Transportation,Hardware,All Sectors,Deep Tech,Drones,Industrial,Robotics","Seattle,San Francisco Bay Area,New York",vc_database,7,Sovereign Funds Dinner,
31,,,Brookfield Technology Partners,"Corporate Venture Capital (CVC),Growth Equity",,https://www.linkedin.com/company/collaborative-fund,https://www.brookfield.com/our-businesses/technology,"PropTech,Transportation,Logistics,Energy,Communication,Enterprise,Software,Healthcare,Food,AgTech,Security,Cyber,Future of Work,Industrial,Infrastructure,Retail,Workforce,All Sectors,Cloud,Constructio","San Francisco Bay Area,New York",vc_database,7,Sovereign Funds Dinner,
32,Ted,Persson,EQT Ventures,Institutional Venture Capital (VC),,https://www.linkedin.com/company/eqt-ventures,https://eqtventures.com,"Blockchain,Fintech,Web3,Infrastructure,Clean Tech,Cloud,Crypto,Enterprise,SaaS,Marketplaces,Data,Data Services,DevOps","San Francisco Bay Area,New York",vc_database,7,Sovereign Funds Dinner,
33,Brendan,Wallace,Fifth Wall,"Corporate Venture Capital (CVC),Institutional Venture Capital (VC)",,https://www.linkedin.com/company/fifth-wall,https://fifthwall.com,"PropTech,Construction Tech,Fintech,Insurtech,SaaS,Marketplaces,Enterprise,UrbanTech,Travel,Clean Tech,Energy,Frontier Tech,Deep Tech,Sustainability,Industrial,IoT,Manufacturing,Materials,Robotics,Supp","New York,Austin",vc_database,7,Sovereign Funds Dinner,
34,Arjuna,Costa,Flourish Ventures,"Impact Fund,Institutional Venture Capital (VC)",,https://www.linkedin.com/company/flourish-ventures,https://flourishventures.com,"Fintech,Female Founders,Insurtech,Silver Tech,Social Impact","San Francisco Bay Area,Washington DC,New York",vc_database,7,Sovereign Funds Dinner,
35,Michael,Cardamone,Forum Ventures,"Institutional Venture Capital (VC),Accelerator Fund,Venture Studio",michael@forumvc.com,https://www.linkedin.com/company/conversion-capital,https://www.forumvc.com,"SaaS,Enterprise,All Sectors,Future of Work,Marketplaces,Healthcare,Fintech,Adtech,AI/ML,Analytics,AR/VR,Civic Tech,Commerce,Data Services,Femtech,Gaming,PropTech","San Francisco Bay Area,New York,Los Angeles,Charleston",vc_database,7,Sovereign Funds Dinner,
36,Hemant,Taneja,General Catalyst,Institutional Venture Capital (VC),,https://www.linkedin.com/company/definition-ventures,https://www.generalcatalyst.com,"Enterprise,Commerce,SaaS,Adtech,All Sectors,Health,Health Care Services,Healthcare,Aerospace,Deep Tech","Boston,San Francisco Bay Area,New York",vc_database,7,Sovereign Funds Dinner,
37,Mike,Collins,Green D Ventures (an Alumni Ventures Group fund),Institutional Venture Capital (VC),,https://www.linkedin.com/company/green-d-ventures,https://greendventures.com,"All Sectors,Fintech,Clean Tech,Healthcare,Mobility","Boston,San Francisco Bay Area,New York",vc_database,7,Sovereign Funds Dinner,
38,Mathias,Schilling,Headline,Institutional Venture Capital (VC),,https://www.linkedin.com/company/headline,https://www.headline.com,"Fintech,Software,SaaS,Creator Economy,Consumer,Marketplaces,AI/ML,Commerce,Health","San Francisco Bay Area,New York,Los Angeles",vc_database,7,Sovereign Funds Dinner,
39,Amy,Burr,JetBlue Ventures,Corporate Venture Capital (CVC),,https://www.linkedin.com/company/galaxy-digital,https://www.jetblueventures.com,"Travel,Transportation,Big Data,Industrial,Aerospace,AI/ML,Analytics,Clean Tech","San Francisco Bay Area,Los Angeles,New York",vc_database,7,Sovereign Funds Dinner,
40,Jakob,Pfaudler,Lumos Capital Group,"Growth Equity,Impact Fund",,https://www.linkedin.com/company/lumos-capital-group,https://lumoscapitalgroup.com,"Education,Workforce,Future of Work,HRTech,L&D,SaaS,Social Impact,Software,Technology","San Francisco Bay Area,New York",vc_database,7,Sovereign Funds Dinner,
41,Matt,Murphy,Menlo Ventures,"Institutional Venture Capital (VC),Venture Studio",,https://www.linkedin.com/company/menlo-ventures,https://www.menlovc.com,"AI/ML,Analytics,Cloud,Data,Data Services,Workforce,Technology,Enterprise,Infrastructure,Future of Work,Design,DevOps,SaaS,Software,Communication,L&D,Martech,Platforms,Video,Consumer,Healthcare,All Sec","San Francisco Bay Area,New York",vc_database,7,Sovereign Funds Dinner,
42,Javier,Santiso,Mundi Ventures,"Institutional Venture Capital (VC),Growth Equity",,https://www.linkedin.com/company/mundi-ventures,https://www.mundiventures.com,"Biotech,Clean Tech,Deep Tech,Fashion,Logistics,Retail,Supply Chain,Transportation,Sustainability","Madrid,New York",vc_database,7,Sovereign Funds Dinner,
43,Michael,Dowling,Northwell Holdings,Corporate Venture Capital (CVC),,https://www.linkedin.com/company/northwell-holdings,https://www.northwell.edu/about-northwell/northwell-holdings,"Healthcare,Health Care Services,AgTech,Mental Health,Health,AI/ML,Diagnostics,Medtech",New York,vc_database,7,Sovereign Funds Dinner,
44,Scott,Stuart,Sageview Capital,"Institutional Venture Capital (VC),Growth Equity",,https://www.linkedin.com/company/sageview-capital,https://www.sageviewcapital.com,"All Sectors,Analytics,Clean Tech,Commerce,Construction Tech,Energy,Enterprise,Marketplaces,PropTech,Retail","San Francisco Bay Area,New York",vc_database,7,Sovereign Funds Dinner,
45,Brendon,Kim,Samsung NEXT Ventures,"Corporate Venture Capital (CVC),Venture Studio",,https://www.linkedin.com/company/samsung-next,https://www.samsungnext.com,"AI/ML,Blockchain,Networks,Crypto,All Sectors,Healthcare,Fintech,Web3,Infrastructure,DevOps","San Francisco Bay Area,Los Angeles,New York",vc_database,7,Sovereign Funds Dinner,
46,David,Droga,The 98,Other,,https://www.linkedin.com/company/the-98,https://www.the98.com,"Adtech,Analytics,Big Data,Clean Tech,Technology,UrbanTech,Sustainability,Supply Chain,Software,AI/ML,Deep Tech,Enterprise,Female Founders,Future of Work,Fintech,HRTech,Insurtech,Martech,Medtech,Silver",New York,vc_database,7,Sovereign Funds Dinner,
47,Eric,Manlunas,Wavemaker 360,Institutional Venture Capital (VC),,https://www.linkedin.com/company/wavemaker360,https://www.wavemaker360.com,"Diagnostics,Health,Health Care Services,Healthcare,Femtech,Medtech,Mental Health,Silver Tech,Wellness",New York,vc_database,7,Sovereign Funds Dinner,
48,Alana,Feld,AHA Ventures,"Corporate Venture Capital (CVC),Evergreen Fund,Foundation,Impact Fund",,https://www.linkedin.com/company/aha-ventures,https://www.ahaventures.in,"Health Care Services,Health,Mental Health,Diagnostics,Life Sciences",New York,vc_database,6,Sovereign Funds Dinner,
49,Andres,Roa,Ansa Capital,Institutional Venture Capital (VC),,https://www.linkedin.com/company/ansa-capital,https://www.ansa.co/,"Big Data,Biotech,Cyber,Deep Tech,Enterprise,Esports,Female Founders,Femtech,Frontier Tech,Future of Work,Gaming,Insurtech,IoT,Medtech,PetTech,SaaS,UrbanTech,PropTech,Platforms",New York,vc_database,6,Sovereign Funds Dinner,
50,Ron,Gonen,Closed Loop Ventures,"Institutional Venture Capital (VC),Impact Fund",,https://www.linkedin.com/company/closed-loop-partners,https://www.closedloop.vc,"Clean Tech,Hardware,Logistics,AgTech,Fashion,Infrastructure,Materials,Apparel,Civic Tech,Manufacturing,Food,Supply Chain,Sustainability,Beauty,AI/ML,Consumer,Deep Tech,Energy,Platforms,Robotics",New York,vc_database,6,Sovereign Funds Dinner,
51,Laurent,Marcel,Danone Ventures,Corporate Venture Capital (CVC),,https://www.linkedin.com/company/danone-ventures,https://www.danoneventures.com,"Food,AgTech,Consumer,Medtech,Sustainability,Biotech",New York,vc_database,6,Family Office Dinner,
52,Baba,Shetty,Decisive Point,Institutional Venture Capital (VC),,https://www.linkedin.com/company/decisive-point,https://www.decisivepoint.com,"Aerospace,AR/VR,Biopharma,Biotech,Clean Tech,Data,Deep Tech,Drones,Government,Robotics,Security,Manufacturing,Energy,Infrastructure,Logistics,Mobility",New York,vc_database,6,Family Office Dinner,
53,Karim,Nurani,Dynamk Capital,"Institutional Venture Capital (VC),Growth Equity",,,https://www.dynamk.vc,"Life Sciences,3D Printing,AI/ML,Biopharma,Biotech",New York,vc_database,6,Family Office Dinner,
54,Martin,Seidenberg,EW Healthcare Partners,Growth Equity,,https://www.linkedin.com/company/ew-healthcare-partners,https://www.ewhealthcare.com,"Healthcare,Life Sciences,Medtech,Biopharma,Health",New York,vc_database,6,Family Office Dinner,
55,Noubar,Afeyan,Flagship Pioneering,"Corporate Venture Capital (CVC),Venture Studio,Institutional Venture Capital (VC)",,https://www.linkedin.com/company/flagship-pioneering,https://www.flagshippioneering.com,"Biotech,Health,Biopharma,AI/ML,AgTech","Boston,New York",vc_database,6,Family Office Dinner,
56,David,Given,Gore Range Capital,Institutional Venture Capital (VC),,https://www.linkedin.com/company/copper-wire-ventures,https://www.gorerangecapital.com,"Healthcare,Biopharma,Biotech,Health,Life Sciences",New York,vc_database,6,Family Office Dinner,
57,Evan,Nisselson,LDV Capital,Institutional Venture Capital (VC),evan@ldv.co,https://www.linkedin.com/company/ldv-capital,https://www.ldv.co,"Adtech,AI/ML,AgTech,Aerospace,Biotech,Content,Diagnostics,Deep Tech,Design,Health,Construction Tech,SaaS,Software,Platforms,Mental Health,Video,Transportation,Materials,Enterprise",New York,vc_database,6,Family Office Dinner,
58,Constance,Freedman,Moderne Ventures,"Institutional Venture Capital (VC),Accelerator Fund,Growth Equity",constance@moderneventures.com,https://www.linkedin.com/company/moderne-ventures,https://www.moderneventures.com,"PropTech,Fintech,Insurtech,AI/ML,3D Printing,Technology,Clean Tech,Construction Tech,Future of Work,Blockchain,Design,UrbanTech,Energy,Sustainability,Workforce,Deep Tech,Data Services,SaaS,Robotics","Chicago,New York",vc_database,6,Family Office Dinner,
59,Andrew,Kimball,New York City Economic Development Corporation,Government Fund,,https://www.linkedin.com/company/new-york-city-economic-development-corporation,https://edc.nyc,"Life Sciences,Biotech,Sustainability",New York,vc_database,6,Family Office Dinner,
60,James,Gutierrez,NY Ventures,Government Fund,,https://www.linkedin.com/company/ny-ventures,https://esd.ny.gov/new-york-ventures,"Technology,AgTech,AI/ML,Clean Tech,Cannabis,Deep Tech,Femtech,Fintech,Health,Robotics,Drones,Web3,SaaS",New York,vc_database,6,Family Office Dinner,
61,Paul,Silver,Parkway Venture Capital,Growth Equity,,https://www.linkedin.com/company/partnership-fund-for-new-york-city,https://www.parkwayvc.com,"AI/ML,Clean Tech,Deep Tech,SaaS,Fintech,Healthcare,Cyber",New York,vc_database,6,Family Office Dinner,
62,Todd,Goldberg,Phoenix Venture Partners,Institutional Venture Capital (VC),,https://www.linkedin.com/company/picus-capital,https://www.phoenix-vp.com,"Diagnostics,Deep Tech,Data,Healthcare,Life Sciences",New York,vc_database,6,Family Office Dinner,
63,Brian,Tanoury,Santé,Growth Equity,,https://www.linkedin.com/company/sante-ventures,https://sante.com,"Biotech,Health Care Services,Life Sciences,Medtech",New York,vc_database,6,Family Office Dinner,
64,Jason,Helfstein,SteelSky Ventures,"Impact Fund,Institutional Venture Capital (VC)",,https://www.linkedin.com/company/steelsky-ventures,https://steelskyventures.com,"Female Founders,Diagnostics,Healthcare,Health Care Services,Femtech,Health,Medtech,Mental Health","New York,Seattle",vc_database,6,Family Office Dinner,
65,Mark,Semer,Stelliger Partners,Family Office,,https://www.linkedin.com/company/stelliger-partners,https://www.stelliger.com,"AgTech,Biotech,Biopharma,Cannabis,Life Sciences,Healthcare",New York,vc_database,6,Family Office Dinner,
66,Jimmy,Iovine,The Outsiders Fund,"Institutional Venture Capital (VC),Corporate Venture Capital (CVC)",,https://www.linkedin.com/company/the-outsiders-fund,https://www.outsidersfund.com,"Aerospace,AgTech,Analytics,Clean Tech,Construction Tech,Data,Data Services,DevOps,Energy,Hardware,Health,Health Care Services,HRTech,Industrial,Infrastructure,Insurtech,Legal,Logistics,Manufacturing,P",New York,vc_database,6,Family Office Dinner,
67,John,Trach,Satiate Syndicate,Angel/Syndicate,johntrach@gmail.com,https://www.linkedin.com/in/johntrach,,Food & Beverage/Health & Wellness (LOHAS)/,,angel_syndicate,5,Angel Investor Dinner,
68,Jay,Zaveri,Natural Capital,Angel/Syndicate,jayzaveri@gmail.com,http://www.linkedin.com/in/jayzaveri,,Pharmaceutical/HeathCare/BioTechnology/Therapeutics/,,angel_syndicate,5,Angel Investor Dinner,
69,Dan,O'Keefe,Apax Digital Investments,"Institutional Venture Capital (VC),Growth Equity",,https://www.linkedin.com/company/apax,https://www.apax.com/digital/,"SaaS,Cloud,Enterprise,Consumer,Technology,Sustainability,Clean Tech,All Sectors,Software",New York,vc_database,5,Family Office Dinner,
70,Nick,Dussault,Athneia Partners,Growth Equity,,https://www.linkedin.com/company/athneia-partners,https://athneia.com/,"AgTech,Biotech,Clean Tech,Energy,Supply Chain,Manufacturing",New York,vc_database,5,Family Office Dinner,
71,Scott,Feuer,Carica Sustainable Investments,"Family Office,Growth Equity",,https://www.linkedin.com/company/concord-health-partners,https://www.caricasustainable.com,"AgTech,Clean Tech,Sustainability,Transportation,Food",New York,vc_database,5,Family Office Dinner,
72,Rajeev,Singh,Clear Ventures,Institutional Venture Capital (VC),,https://www.linkedin.com/company/clear-ventures,https://www.clear.ventures,"AI/ML,Analytics,Big Data,Cyber,Data,Data Services,Deep Tech,DevOps,Enterprise,Frontier Tech,Networks,SaaS,Technology,Software,Platforms",New York,vc_database,5,Family Office Dinner,
73,,,Commonfund Private Equity,Other,,https://www.linkedin.com/company/commonfund,https://www.commonfund.org,"Software,AI/ML,Blockchain,Enterprise,Healthcare,Biotech,Data,Fintech,Health Care Services,Consumer",New York,vc_database,5,Family Office Dinner,
74,,,CVS Health Ventures,"Corporate Venture Capital (CVC),Growth Equity",,https://www.linkedin.com/company/cvs-health-ventures,https://www.cvshealthventures.com,"Health,Health Care Services,Healthcare,Mental Health,Wellness,Technology","Boston,New York",vc_database,5,Family Office Dinner,
75,David,Antonioli,Decarbonization Partners,Growth Equity,,https://www.linkedin.com/company/decarbonization-partners,https://www.decarbonizationpartners.com,"Clean Tech,Energy,Industrial,Manufacturing,Sustainability,Supply Chain",New York,vc_database,5,Family Office Dinner,
76,Gia,Scinto,Eden Global Partners,Growth Equity,,https://www.linkedin.com/company/eden-global-partners,https://www.edenglobalpartners.com,"All Sectors,AI/ML,Big Data,Cloud,Data Services,Deep Tech,Education,Healthcare,Workforce,Technology",New York,vc_database,5,Family Office Dinner,
77,John,Tough,Energize Ventures,"Institutional Venture Capital (VC),Growth Equity,Impact Fund",,https://www.linkedin.com/company/energize-ventures,https://www.energize.vc,"Energy,Clean Tech,Sustainability,SaaS,Industrial","Chicago,New York",vc_database,5,Family Office Dinner,
78,,,Equilibra Partners Management,Family Office,,https://www.linkedin.com/company/equilibra-partners-management,https://www.equilibra.vc,"Consumer,Social Impact,Wellness,Food,All Sectors",New York,vc_database,5,Angel Investor Dinner,
79,Julian,Salisbury,Goldman Sachs Investment Group,"Institutional Venture Capital (VC),Growth Equity,Impact Fund",,https://www.linkedin.com/company/dorm-room-fund,https://www.goldmansachs.com,"Fintech,Travel,Healthcare,Transportation,Sustainability",New York,vc_database,5,Angel Investor Dinner,
80,Jeff,Eckel,Greenbacker Capital (GDEV),"Growth Equity,Other",,https://www.linkedin.com/company/greenbacker,https://greenbackercapital.com,"Clean Tech,Energy,Mobility,Sustainability",New York,vc_database,5,Angel Investor Dinner,
81,Kristian,Andersen,High Alpha Innovation,Venture Studio,,https://www.linkedin.com/company/high-alpha-innovation,https://www.highalphainnovation.com,"SaaS,Enterprise,AgTech,Healthcare,Sustainability,Big Data,All Sectors","New York,Hartford",vc_database,5,Angel Investor Dinner,
82,John,Lettieri,Impact America Fund,"Impact Fund,Institutional Venture Capital (VC)",,https://www.linkedin.com/company/impact-america-fund,https://www.impactamericafund.com,"AI/ML,Commerce,Community,Diversity,Enterprise,Fintech,Platforms,Social Impact,SaaS,Workforce,All Sectors,Technology","Chicago,Washington DC,New York",vc_database,5,Angel Investor Dinner,
83,Jessica,Droste Yagan,Impact Engine,"Institutional Venture Capital (VC),Impact Fund",,https://www.linkedin.com/company/impact-engine,https://www.theimpactengine.com,"Education,Healthcare,Clean Tech,Civic Tech,HRTech,Fintech,Health,Health Care Services,Mental Health","Chicago,New York",vc_database,5,Angel Investor Dinner,
84,Zach,Ware,Integrated VC,Institutional Venture Capital (VC),,https://www.linkedin.com/company/foresite-capital,https://integrated.vc,"Mental Health,Biotech,Consumer",New York,vc_database,5,Angel Investor Dinner,
85,Gil,Sadka,KawiSafi Ventures,Impact Fund,,https://www.linkedin.com/company/kawisafi-ventures,https://www.kawisafi.com,"Energy,Fintech,AgTech,Clean Tech,Manufacturing,SaaS,Mobility,Sustainability",New York,vc_database,5,Angel Investor Dinner,
86,Ben,Lerer,Lerer Hippeau,Institutional Venture Capital (VC),ben@lererhippeau.com,https://www.linkedin.com/company/lerer-hippeau,https://www.lererhippeau.com,"Technology,All Sectors,Fintech,Health,AI/ML,Entertainment,Aerospace,Apparel,Beauty,Biopharma",New York,vc_database,5,Angel Investor Dinner,
87,Olaf,Sakkers,Maniv,Institutional Venture Capital (VC),,https://www.linkedin.com/company/maniv-mobility,https://www.maniv.com,"Clean Tech,Aerospace,Deep Tech,Energy,Hardware,Industrial,Manufacturing,Materials,Mobility,Supply Chain,Software,Transportation",New York,vc_database,5,Angel Investor Dinner,
