#,First Name,Last Name,Firm/Company,Investor Type,Email,LinkedIn URL,Website,Sectors of Interest,Location,Source,Match Score,Lead?,Also Good For
111,,,gener8tor,"Accelerator Fund,Impact Fund,Growth Equity,Venture Studio,Corporate Venture Capital (CVC)",,https://www.linkedin.com/company/decarbonization-partners,https://www.gener8tor.com,"Fintech,Insurtech,Data,Diversity,Technology,Health,All Sectors,Education,Analytics,Sustainability,Transportation,SaaS,Security,Software,Platforms","Milwaukee,Minneapolis,Jackson,Chicago,Detroit,Birmingham,New York,Indianapolis,Omaha,Madison,Sacramento,Green Bay,Luxembourg,Memphis,Other",vc_database,3,NA,Human Tech Week
112,,,General Catalyst,Institutional Venture Capital (VC),,https://www.linkedin.com/company/definition-ventures,https://www.generalcatalyst.com,"Enterprise,Commerce,SaaS,Adtech,All Sectors,Health,Health Care Services,Healthcare,Aerospace,Deep Tech","Boston,San Francisco Bay Area,New York",vc_database,4,NA,Human Tech Week
113,,,GGV,"Institutional Venture Capital (VC),Growth Equity",,https://www.linkedin.com/company/deutsche-bank,https://www.ggvc.com,"Consumer,Social Impact,UrbanTech,Commerce,Software,Enterprise,All Sectors,SaaS,Cloud,Fintech,Data,AI/ML,Cyber,Security,DevOps","New York,San Francisco Bay Area",vc_database,6,NA,
114,,,Gradient Ventures,"Institutional Venture Capital (VC),Corporate Venture Capital (CVC)",,https://www.linkedin.com/company/core-innovation-capital,https://gradient.google,"AI/ML,Technology,Analytics,Big Data,Commerce,Data,DevOps,Data Services,Martech,Enterprise,Infrastructure,Software,Platforms,Cloud,Future of Work,SaaS","New Haven,New York,San Francisco Bay Area",vc_database,6,NA,
115,,,Greycroft,Institutional Venture Capital (VC),,https://www.linkedin.com/company/greycroft,https://www.greycroft.com,"SaaS,Healthcare,Fintech,Food,Commerce,Enterprise,Consumer,Mobile,Infrastructure,Gaming,Adtech,Big Data,IoT,Manufacturing,All Sectors","New York,Los Angeles",vc_database,5,NA,Human Tech Week
116,,,Growth Warrior Capital,"Impact Fund,Institutional Venture Capital (VC)",,https://www.linkedin.com/company/growth-warrior-capital,https://growthwarrior.co,"Fintech,Future of Work,AI/ML,SaaS,DevOps,Enterprise,Technology,Software","San Francisco Bay Area,Austin,New York",vc_database,5,NA,
117,,,H/L Ventures,"Venture Studio,Impact Fund,Corporate Venture Capital (CVC)",,https://www.linkedin.com/company/h-l-ventures,https://hlventures.org,"All Sectors,Mobility,Robotics,Clean Tech,AI/ML,AgTech,Aerospace,Construction Tech,Enterprise,Frontier Tech,Technology,Software,Social Impact","New York,San Francisco Bay Area",vc_database,3,NA,
118,,,Headline,Institutional Venture Capital (VC),,https://www.linkedin.com/company/headline,https://www.headline.com,"Fintech,Software,SaaS,Creator Economy,Consumer,Marketplaces,AI/ML,Commerce,Health","San Francisco Bay Area,New York,Los Angeles",vc_database,6,NA,Human Tech Week
119,,,Hercules Capital,"venture debt,Evergreen Fund",,https://www.linkedin.com/company/hercules-capital,https://www.htgc.com,"AgTech,Adtech,Big Data,Clean Tech,Cloud,Technology,Fintech,Insurtech,Hardware,Martech,SaaS,Software,Social Impact,3D Printing,HRTech,Diagnostics,Health,Health Care Services,Mental Health,Biopharma,Lif","New York,San Francisco Bay Area,Boston",vc_database,3,NA,Human Tech Week
120,,,Lumos Capital Group,"Growth Equity,Impact Fund",,https://www.linkedin.com/company/lumos-capital-group,https://lumoscapitalgroup.com,"Education,Workforce,Future of Work,HRTech,L&D,SaaS,Social Impact,Software,Technology","San Francisco Bay Area,New York",vc_database,3,NA,
121,,,Manhattan Venture Partners,"Growth Equity,Evergreen Fund,Institutional Venture Capital (VC)",,https://www.linkedin.com/company/manhattan-venture-partners,https://mvp.vc,"Technology,All Sectors,AI/ML,Analytics,Blockchain,Cloud,Community,Consumer,Fintech,SaaS","New York,San Francisco Bay Area,Nashville",vc_database,3,NA,
122,,,Menlo Ventures,"Institutional Venture Capital (VC),Venture Studio",,https://www.linkedin.com/company/menlo-ventures,https://www.menlovc.com,"AI/ML,Analytics,Cloud,Data,Data Services,Workforce,Technology,Enterprise,Infrastructure,Future of Work,Design,DevOps,SaaS,Software,Communication,L&D,Martech,Platforms,Video,Consumer,Healthcare,All Sec","San Francisco Bay Area,New York",vc_database,6,NA,Human Tech Week
123,,,PayPal Ventures,Corporate Venture Capital (CVC),,https://www.linkedin.com/company/peak6-investments,https://www.paypal.com/ventures,"Fintech,Blockchain,Commerce,Creator Economy,Crypto,HRTech,Insurtech,Martech,PropTech,SaaS,Silver Tech,Web3,Software,AI/ML,Big Data,Cloud,Enterprise","San Francisco Bay Area,New York",vc_database,5,NA,
124,,,PeakSpan Capital,Growth Equity,,https://www.linkedin.com/company/pepsico,https://www.peakspancapital.com,"Commerce,HRTech,Education,SaaS,Software,Creator Economy,Fintech,AI/ML","San Francisco Bay Area,New York",vc_database,4,NA,
125,,,Pepsico Ventures,Corporate Venture Capital (CVC),,https://www.linkedin.com/company/perseverance-capital,https://www.pepsico.com/our-impact/pepsico-ventures,"AI/ML,Analytics,Big Data,Commerce,Consumer,Technology,Transportation,Manufacturing,Enterprise","Los Angeles,New York",vc_database,4,NA,
126,,,PLUS Capital,"Growth Equity,Government Fund,Institutional Venture Capital (VC)",,https://www.linkedin.com/company/point72-ventures,https://www.pluscapital.com,"All Sectors,Healthcare,Consumer,Software","Los Angeles,New York",vc_database,2,NA,Human Tech Week
127,,,PruVen Capital,"Corporate Venture Capital (CVC),Growth Equity",,https://www.linkedin.com/company/prysm-capital,https://www.pruvencapital.com,"AI/ML,Fintech,Wellness,Technology,Analytics,Big Data,Consumer,Enterprise,Health,Female Founders,Femtech,Fitness,Health Care Services,Healthcare,Future of Work,Frontier Tech,Insurtech,Mobile Apps,Marke","San Francisco Bay Area,New York",vc_database,7,NA,Human Tech Week
128,,,Prysm Capital,Growth Equity,,https://www.linkedin.com/company/pulse-fund,https://prysmcapital.com,"Analytics,Big Data,Commerce,Data,Consumer,Data Services,Food,SaaS,Enterprise,Security","San Francisco Bay Area,New York",vc_database,4,NA,
129,,,Pulse Fund,"Growth Equity,Impact Fund",,https://www.linkedin.com/company/purple-sage-ventures,https://www.pulsefund.vc,"Clean Tech,AgTech,Construction Tech,Sustainability,Transportation,Software,PropTech,Infrastructure,Energy","Los Angeles,New York",vc_database,2,NA,
130,,,Radian Capital,"Institutional Venture Capital (VC),Growth Equity",,https://www.linkedin.com/company/radian-capital,https://radiancapital.vc,"Technology,Enterprise,Software,Fintech,Marketplaces,Adtech,AgTech,AI/ML,Analytics,AR/VR,Big Data,Civic Tech,Clean Tech,Cloud,Commerce,Construction Tech,Cyber,Data,Data Services,Deep Tech,Design,DevOps","New York,San Francisco Bay Area",vc_database,7,NA,Human Tech Week
131,,,Sageview Capital,"Institutional Venture Capital (VC),Growth Equity",,https://www.linkedin.com/company/sageview-capital,https://www.sageviewcapital.com,"All Sectors,Analytics,Clean Tech,Commerce,Construction Tech,Energy,Enterprise,Marketplaces,PropTech,Retail","San Francisco Bay Area,New York",vc_database,5,NA,
132,,,Salesforce Ventures,"Corporate Venture Capital (CVC),Impact Fund,Institutional Venture Capital (VC)",,https://www.linkedin.com/company/salesforce-ventures,https://www.salesforceventures.com,"SaaS,Enterprise,Cloud,Civic Tech,Diversity,Education,Energy,HRTech,Social Impact,Future of Work,Sustainability,Technology,Female Founders,Government,All Sectors,Software,Fintech,Security","San Francisco Bay Area,New York",vc_database,5,NA,
133,,,Sancus Ventures,Institutional Venture Capital (VC),,https://www.linkedin.com/company/sancus-ventures,https://sancusventures.com,"AI/ML,Cyber,Blockchain,Enterprise,Infrastructure","New York,San Francisco Bay Area",vc_database,2,NA,
134,,,SAP.iO,Corporate Venture Capital (CVC),,https://www.linkedin.com/company/sap-io,https://sap.io,"Enterprise,Software,AI/ML,SaaS","New York,San Francisco Bay Area",vc_database,4,NA,
135,,,Seed to Harvest,"Venture Studio,Institutional Venture Capital (VC)",,https://www.linkedin.com/company/seed-to-harvest,https://seedtoharvest.vc,"Wellness,AgTech,Blockchain,Cannabis,Civic Tech,Clean Tech,Community,Crypto,Enterprise,Workforce,Travel,Technology,Social Impact,PropTech,Future of Work","New York,Oakland",vc_database,3,NA,Human Tech Week
136,,,SignalFire,Institutional Venture Capital (VC),,https://www.linkedin.com/company/signalfire,https://signalfire.com,"All Sectors,AI/ML,Analytics,Big Data,Cloud,Commerce,Data,Cyber,Data Services,Design,DevOps,Frontier Tech,Future of Work,Infrastructure,SaaS,Fintech,Crypto,Enterprise,Healthcare,Technology,Consumer","San Francisco Bay Area,New York",vc_database,6,NA,Human Tech Week
137,,,Sixth Street Growth,"Growth Equity,Evergreen Fund",,https://www.linkedin.com/company/sixth-street,https://sixthstreet.com/growth,"Software,Education,Future of Work,HRTech,Enterprise,All Sectors,Big Data,AI/ML,Cyber,Data,Biopharma,Biotech,Manufacturing,Diagnostics,AgTech,Life Sciences,Platforms","New York,San Francisco Bay Area,Austin",vc_database,4,NA,
138,,,Softbank Vision Fund,"Institutional Venture Capital (VC),Corporate Venture Capital (CVC),Growth Equity",,https://www.linkedin.com/company/softbank-vision-fund,https://visionfund.com,"Consumer,All Sectors,Software,Technology,AI/ML,Commerce,Creator Economy,Cyber,DevOps,Fintech,SaaS,Robotics,PropTech","San Francisco Bay Area,New York",vc_database,5,NA,
139,,,Summit Partners,"Institutional Venture Capital (VC),Growth Equity",,https://www.linkedin.com/company/summit-partners,https://www.summitpartners.com,"Technology,Software,SaaS,Cloud,Enterprise,Future of Work,Supply Chain,Risk Management,HRTech,IoT,Manufacturing,All Sectors,Consumer,Beauty,Apparel,Community,Education,Female Founders,Lifestyle,Wellnes","San Francisco Bay Area,Boston,New York",vc_database,8,NA,Human Tech Week
140,,,The MBA Fund,"Accelerator Fund,Institutional Venture Capital (VC)",,https://www.linkedin.com/company/the-mba-fund,https://www.mbafund.com,"All Sectors,Software,Enterprise,AI/ML,Cloud,Infrastructure,DevOps,Data","San Francisco Bay Area,New York,Paris,Boston",vc_database,3,NA,
141,,,Tola Capital,Institutional Venture Capital (VC),,https://www.linkedin.com/company/tola-capital,https://www.tolacapital.com,"Enterprise,All Sectors,AI/ML","San Francisco Bay Area,Seattle,New York",vc_database,2,NA,
142,,,TPG Rise Fund,"Growth Equity,Impact Fund",,https://www.linkedin.com/company/tpg-rise-fund,https://www.therisefund.com,"Consumer,Technology,Government,Software","London,New York,San Francisco Bay Area",vc_database,2,NA,
143,,,Vamos Ventures,"Institutional Venture Capital (VC),Impact Fund",,https://www.linkedin.com/company/vamosventures,https://vamosventures.com,"All Sectors,Fintech,Health,Future of Work,Sustainability","New York,Los Angeles",vc_database,2,NA,Human Tech Week
144,,,Vista Equity Partners,Growth Equity,,https://www.linkedin.com/company/vista-equity-partners,https://www.vistaequitypartners.com,"Enterprise,Software","San Francisco Bay Area,New York",vc_database,2,NA,
145,,,Vita Ventures,Institutional Venture Capital (VC),,https://www.linkedin.com/company/vita-ventures,https://vita.ventures,"Biotech,Food,Software,Sustainability,Supply Chain,AI/ML,Materials,Technology,SaaS","New York,San Francisco Bay Area",vc_database,3,NA,
146,,,Wells Fargo Strategic Investments,"Corporate Venture Capital (CVC),Growth Equity",,https://www.linkedin.com/company/wellsfargo,https://www.wellsfargo.com/com/strategic-capital,"AI/ML,Analytics,Big Data,Blockchain,Cloud,Cyber,Data,Data Services,Enterprise,Fintech,SaaS,Risk Management,Software,Crypto","New York,San Francisco Bay Area",vc_database,4,NA,
147,,,WestCap,Growth Equity,,https://www.linkedin.com/company/westcapgroup,https://www.westcap.com,"Blockchain,Health,Crypto,PropTech,Fintech,Construction Tech,Insurtech,Marketplaces,UrbanTech,Mobility,Adtech,AI/ML,AgTech,Clean Tech,Cyber,Data,Healthcare,HRTech,Future of Work,Software,Supply Chain,T","San Francisco Bay Area,New York",vc_database,7,NA,Human Tech Week
148,,,WOCStar Fund,Impact Fund,,https://www.linkedin.com/company/wocstar,https://www.wocstarfund.com,"All Sectors,Diversity,Fashion,Retail,IoT,Technology,AgTech","New York,San Diego",vc_database,2,NA,
149,,,XRC Labs,"Accelerator Fund,Corporate Venture Capital (CVC)",,https://www.linkedin.com/company/xrcventures,https://xrclabs.com,"Apparel,Consumer,Female Founders,Wellness,Retail,Beauty,Design,Sustainability,Manufacturing,Commerce,Femtech,Fitness,Future of Work,Hardware,Technology","New York,Los Angeles",vc_database,5,NA,Human Tech Week
150,,,Yes VC,Institutional Venture Capital (VC),,https://www.linkedin.com/company/yesvc,https://yes.vc,"Community,Consumer,Data,Crypto,Future of Work,Marketplaces,Robotics,Mobility,Transportation,All Sectors","San Francisco Bay Area,New York",vc_database,3,NA,
151,Jason,Calacanis,LAUNCH Fund,Angel/Syndicate,jason@calacanis.com,https://www.linkedin.com/in/jasoncalacanis/,https://www.launch.co,"AI, SaaS, Consumer, Marketplaces, Future of Work",San Francisco,curated_research,8,Y,
152,Cyan,Banister,Cyan Banister (Angel),Angel,,https://www.linkedin.com/in/cyanbanister/,,"AI, Consumer, SaaS, Marketplaces",San Francisco,curated_research,8,Y,
153,Elad,Gil,Elad Gil (Angel),Angel,,https://www.linkedin.com/in/eladgil/,https://eladgil.com,"AI, SaaS, Enterprise, Consumer, Infrastructure",San Francisco,curated_research,8,Y,
154,Alexis,Ohanian,Seven Seven Six,VC/Angel,,https://www.linkedin.com/in/alexisohanian/,https://www.sevensevensix.com,"AI, Consumer, Commerce, Media, Gaming, Future of Work",San Francisco,curated_research,8,Y,Human Tech Week
155,Garry,Tan,Y Combinator,Accelerator,,https://www.linkedin.com/in/garrytan/,https://www.ycombinator.com,"AI, SaaS, Consumer, Enterprise, All Sectors",San Francisco,curated_research,8,Y,
156,Naval,Ravikant,AngelList / Naval (Angel),Angel,,https://www.linkedin.com/in/navalr/,https://nav.al,"AI, SaaS, Consumer, Marketplaces, DTC",San Francisco,curated_research,8,N,
157,Sahil,Lavingia,Gumroad / SHL Capital,Angel,,https://www.linkedin.com/in/sahillavingia/,https://sahillavingia.com,"E-Commerce, Consumer, SaaS, Creator Economy, DTC",San Francisco,curated_research,8,N,
158,Lachy,Groom,Lachy Groom (Angel),Angel,,https://www.linkedin.com/in/lachygroom/,,"Fintech, SaaS, Infrastructure, AI, Commerce",San Francisco,curated_research,8,Y,
159,Dylan,Field,Dylan Field (Angel),Angel,,https://www.linkedin.com/in/dylanfield/,,"AI, Design, SaaS, Consumer, Future of Work",San Francisco,curated_research,8,N,
160,Gokul,Rajaram,Marathon Fund,Angel,,https://www.linkedin.com/in/gokulrajaram/,,"AI, Consumer, SaaS, Marketplaces, Adtech",San Francisco,curated_research,8,N,
161,Harry,Stebbings,20VC,VC,,https://www.linkedin.com/in/harrystebbings/,https://www.20vc.com,"AI, SaaS, Consumer, Enterprise, Future of Work",San Francisco,curated_research,8,Y,
162,Todd,Goldberg,Todd Goldberg (Angel),Angel,,https://www.linkedin.com/in/toddgoldberg/,,"Consumer, E-Commerce, DTC, Media, Marketplaces",Los Angeles,curated_research,8,N,Human Tech Week
163,Paige,Craig,Arena Ventures,Angel/Family Office,,https://www.linkedin.com/in/paigecraig/,,"Consumer, Media, Entertainment, E-Commerce, AI",Los Angeles,curated_research,8,Y,Human Tech Week
164,Mark,Cuban,Mark Cuban Companies,Angel/Family Office,,https://www.linkedin.com/in/markcuban/,https://markcubancompanies.com,"AI, Consumer, E-Commerce, Media, Sports, SaaS",Dallas/LA,curated_research,8,Y,Human Tech Week
165,Troy,Carter,Q&A Ventures,Family Office,,https://www.linkedin.com/in/troycarter/,,"Media, Entertainment, Consumer, E-Commerce, AI",Los Angeles,curated_research,8,Y,Human Tech Week
166,Michael,Ovitz,Creative Artists Agency / Broad Beach Ventures,Family Office,,https://www.linkedin.com/in/michaelovitz/,,"Media, Entertainment, AI, Consumer, Technology",Los Angeles,curated_research,8,Y,Human Tech Week
167,Scooter,Braun,TQ Ventures,Family Office/VC,,https://www.linkedin.com/in/scooterbraun/,https://www.tqventures.com,"Media, Entertainment, Consumer, AI, DTC",Los Angeles,curated_research,8,Y,Human Tech Week
168,Robert,Downey Jr.,FootPrint Coalition,Family Office/VC,,https://www.linkedin.com/company/footprint-coalition/,https://www.footprintcoalition.com,"AI, Sustainability, Consumer, Technology",Los Angeles,curated_research,8,N,
169,Ashton,Kutcher,Sound Ventures,Family Office/VC,,https://www.linkedin.com/in/aplusk/,https://www.sound.ventures,"AI, Consumer, E-Commerce, SaaS, Media, Entertainment",Los Angeles,curated_research,8,Y,Human Tech Week
170,Gwyneth,Paltrow,Goop / GP (Angel),Angel,,https://www.linkedin.com/in/gwyneth-paltrow/,https://goop.com,"Consumer, DTC, Wellness, E-Commerce, Media",Los Angeles,curated_research,8,N,Human Tech Week
171,Will,Smith,Dreamers VC,Family Office/VC,,https://www.linkedin.com/company/dreamers-vc/,https://dreamers.vc,"Consumer, Media, Entertainment, AI, E-Commerce",Los Angeles,curated_research,8,N,Human Tech Week
172,Nas,(Nasir Jones),QueensBridge Venture Partners,Family Office/VC,,https://www.linkedin.com/company/queensbridge-venture-partners/,,"Consumer, Media, Technology, AI",San Francisco,curated_research,8,N,Human Tech Week
173,Joe,Montana,Liquid 2 Ventures,Family Office/VC,,https://www.linkedin.com/in/joemontana/,https://www.liquid2.vc,"Consumer, SaaS, AI, Enterprise, Marketplaces",San Francisco,curated_research,8,Y,
174,Andre,Iguodala,Catalyst Fund,Angel,,https://www.linkedin.com/in/andreiguodala/,,"Consumer, AI, Media, Sports, Technology",San Francisco,curated_research,8,N,Human Tech Week
175,Kevin,Durant,Thirty Five Ventures,Family Office/VC,,https://www.linkedin.com/company/thirty-five-ventures/,https://thirtyfiveventures.com,"Media, Consumer, AI, Sports, Technology",San Francisco,curated_research,8,N,Human Tech Week
