Name,Type,AUM,VC/PE Allocation,Location,Key Contact,Contact Title,Contact LinkedIn,Contact Email,Website,Known VC Fund Commitments,Sector Preference,Stage Preference,Minimum Commitment Size,Open to Emerging Managers?,Notes
Dartmouth College,University Endowment,$8.5B,~28% PE/VC (~$2.4B),"Hanover, NH, USA",Alice Ruth,CIO,linkedin.com/in/aliceruth,,dartmouth.edu,"Sequoia, Bessemer, Tuck-connected managers",Broad,All stages,$5M+,Yes,"Smaller endowment willing to take emerging manager risk; Alice Ruth known for innovative approach"
Brown University,University Endowment,$6.6B,~20% PE/VC (~$1.3B),"Providence, RI, USA",Jane Dietze,CIO,linkedin.com/in/janedietze,,brown.edu,"Spark Capital, General Catalyst, local managers",Tech & social impact,Early & growth,$5M+,Yes,"Has historically backed smaller/emerging managers; mission-aligned investing interest"
Cornell University,University Endowment,$10.0B,~25% PE/VC (~$2.5B),"Ithaca, NY, USA",Kenneth Miranda,CIO,linkedin.com/in/kennethmiranda,,cornell.edu,"Union Square Ventures, Insight Partners",Tech & agriculture/sustainability,All stages,$10M+,Unknown,"Cornell Tech NYC campus creates deal flow connections"
Rice University,University Endowment,$8.1B,~30% PE/VC (~$2.4B),"Houston, TX, USA",Allison Thacker,CIO & VP,linkedin.com/in/allisonthacker,,rice.edu,"Energy-focused VCs, Mercury Fund, local Houston managers",Energy & tech,All stages,$5M+,Yes,"Houston energy ecosystem; open to niche/emerging managers in energy-adjacent sectors"
Emory University,University Endowment,$11.0B,~25% PE/VC (~$2.8B),"Atlanta, GA, USA",Mary Cahill,CIO,linkedin.com/in/marycahill,,emory.edu,"TechOperators, Sante Ventures, healthcare-focused managers",Healthcare & life sciences,All stages,$5M+,Yes,"Strong healthcare tilt (Emory medical school); has backed smaller healthcare-focused funds"
Vanderbilt University,University Endowment,$10.9B,~28% PE/VC (~$3.1B),"Nashville, TN, USA",Laurie Wieland,CIO,linkedin.com/in/lauriewieland,,vanderbilt.edu,"Andreessen Horowitz, healthcare-focused funds",Healthcare & tech,All stages,$10M+,Unknown,"Growing alternatives program; Nashville healthcare ecosystem connection"
University of Notre Dame,University Endowment,$18.4B,~30% PE/VC (~$5.5B),"Notre Dame, IN, USA",Scott Malpass,VP & CIO,linkedin.com/in/scottmalpass,,nd.edu,"Andreessen Horowitz, Sequoia, Notre Dame alumni managers",Broad,All stages,$10M+,Unknown,"Scott Malpass is one of the longest-tenured endowment CIOs; large allocation to VC"
University of Southern California (USC),University Endowment,$8.1B,~22% PE/VC (~$1.8B),"Los Angeles, CA, USA",Lisa Mazzocco,CIO,linkedin.com/in/lisamazzocco,,usc.edu,"LA-based VCs, Upfront Ventures",Entertainment tech & healthcare,All stages,$5M+,Unknown,"LA entertainment/tech ecosystem; Trojan network is strong in media/tech"
UCLA Foundation,University Endowment,$7.2B,~18% PE/VC (~$1.3B),"Los Angeles, CA, USA",Johnathan Grabel,CIO,linkedin.com/in/johnathangrabel,,uclaFoundation.org,"March Capital, Upfront Ventures, TenOneTen",Tech & life sciences,All stages,$5M+,Yes,"Smaller program building out VC exposure; willing to look at emerging managers"
UC Berkeley Foundation,University Endowment,$7.0B,~18% PE/VC (~$1.3B),"Berkeley, CA, USA",Jagdeep Bachher (UC system CIO),CIO (UC Regents / Foundation),linkedin.com/in/jagdeepbachher,,ucop.edu/investment-office,"Formation 8, Playground Global, Berkeley alumni managers",Deep tech & climate,Early-stage focus,$5M+,Yes,"Silicon Valley proximity; SkyDeck accelerator deal flow; open to smaller innovative managers"
University of Michigan,University Endowment,$17.0B,~22% PE/VC (~$3.7B),"Ann Arbor, MI, USA",L. Erik Lundberg,CIO,linkedin.com/in/eriklundberg,,umich.edu,"Flagship Pioneering, Drive Capital, RPM Ventures",Tech & life sciences,All stages,$10M+,Unknown,"Large endowment; strong Midwest connections; has backed some emerging managers"
University of Virginia Investment Management Company (UVIMCO),University Endowment,$14.0B,~30% PE/VC (~$4.2B),"Charlottesville, VA, USA",Robert Durden,CEO,linkedin.com/in/robertdurden,,uvimco.org,"Sequoia, Andreessen Horowitz, General Catalyst",Broad,All stages,$10M+,Unknown,"One of the best-performing public university endowments; concentrated manager approach"
University of Texas Investment Management Company (UTIMCO),University Endowment,$70.0B,~18% PE/VC (~$12.6B),"Austin, TX, USA",Rich Hall,CEO & CIO,linkedin.com/in/richhall,,utimco.org,"Vista Equity, Silverton Partners, Andreessen Horowitz, Austin Ventures legacy",Tech & energy,All stages,$25M+,No,"Largest university endowment system in the US; PUF + other funds; very institutional"
University of North Carolina Management Company (UNC-MC),University Endowment,$5.2B,~20% PE/VC (~$1.0B),"Chapel Hill, NC, USA",Rich Siewert,CEO & CIO,linkedin.com/in/richsiewert,,uncmc.unc.edu,"Hatteras Venture Partners, regional managers",Life sciences & tech,All stages,$5M+,Yes,"Research Triangle connection; open to regional and emerging managers"
Georgia Tech Foundation,University Endowment,$3.1B,~15% PE/VC (~$465M),"Atlanta, GA, USA",Philip Jacobs,VP Investments,linkedin.com/in/philipjacobs,,gtf.gatech.edu,"Tech Square Ventures, TechOperators",Deep tech & engineering,Early-stage,$3M+,Yes,"Small but growing program; strong engineering/tech orientation; very open to emerging managers"
Carnegie Mellon University,University Endowment,$11.8B,~20% PE/VC (~$2.4B),"Pittsburgh, PA, USA",Charles Kennedy,CIO,linkedin.com/in/charleskennedy,,cmu.edu,"Innovation Works, AI-focused VCs, Draper Triangle",AI/ML & robotics,Early-stage & growth,$5M+,Yes,"World-class AI/CS/robotics programs; interested in AI-focused emerging managers"
California Institute of Technology (Caltech),University Endowment,$4.6B,~20% PE/VC (~$920M),"Pasadena, CA, USA",Scott Richland,CIO,linkedin.com/in/scottrichland,,caltech.edu,"Deep tech managers, Lux Capital",Deep tech & space,All stages,$5M+,Unknown,"Small but sophisticated; JPL/deep tech connections"
Johns Hopkins University,University Endowment,$9.3B,~22% PE/VC (~$2.0B),"Baltimore, MD, USA",Daniel Truran,CIO,linkedin.com/in/danieltruran,,jhu.edu,"Healthcare-focused VCs, New Enterprise Associates",Healthcare & life sciences,All stages,$5M+,Unknown,"Largest research university by R&D spending; strong biotech/pharma connections"
Washington University in St. Louis,University Endowment,$15.3B,~25% PE/VC (~$3.8B),"St. Louis, MO, USA",Scott Wilson,CIO,linkedin.com/in/scottwilson-wustl,,wustl.edu,"Prolog Ventures, BioGenerator-connected managers",Life sciences & tech,All stages,$10M+,Unknown,"Large endowment relative to size; strong medical school connection"
Georgetown University,University Endowment,$4.3B,~18% PE/VC (~$774M),"Washington, DC, USA",Michael Barry,CIO,linkedin.com/in/michaelbarry-gtown,,georgetown.edu,"DC-area managers, policy-tech funds",Policy tech & healthcare,All stages,$3M+,Yes,"DC policy connections; smaller program open to emerging managers"
Williams College,University Endowment,$4.1B,~25% PE/VC (~$1.0B),"Williamstown, MA, USA",Collette Chilton,CIO,linkedin.com/in/collettechilton,,williams.edu,"Small/mid-cap focused VCs",Broad,All stages,$3M+,Yes,"Collette Chilton known for backing emerging managers; punches above weight"
Bowdoin College,University Endowment,$2.6B,~22% PE/VC (~$572M),"Brunswick, ME, USA",Paula Volent,SVP Investments,linkedin.com/in/paulavolent,,bowdoin.edu,"Small venture managers, niche funds",Broad,All stages,$2M+,Yes,"One of highest endowment-per-student ratios; very open to emerging managers"
CalPERS,Pension Fund,$502.0B,~13% PE (~$65B),"Sacramento, CA, USA",Nicole Musicco,CIO (former); interim leadership,linkedin.com/in/nicolemusicco,,calpers.ca.gov,"TPG, Apollo, Carlyle, Blackstone; limited direct VC",Broad — infrastructure & tech,Primarily buyout/growth; limited early-stage,$100M+,No,"Largest US public pension; shifting toward direct/co-invest; very institutional process"
CalSTRS,Pension Fund,$330.0B,~13% PE (~$43B),"West Sacramento, CA, USA",Christopher Ailman,CIO,linkedin.com/in/christopherailman,,calstrs.com,"Vista Equity, Silver Lake, Insight Partners",Tech & healthcare,Growth & late-stage,$50M+,No,"Second-largest US pension; Chris Ailman very experienced; prefers established managers"
New York City Retirement Systems,Pension Fund,$275.0B,~8% PE (~$22B),"New York, NY, USA",multiple comptroller-appointed CIOs,,,,comptroller.nyc.gov,"Apollo, Blackstone, Carlyle, KKR",Broad,Growth & buyout,$50M+,No,"Five pension funds managed together; politically influenced; very institutional"
Teacher Retirement System of Texas (TRS),Pension Fund,$200.0B,~14% PE (~$28B),"Austin, TX, USA",Jase Auby,CIO,linkedin.com/in/jaseauby,,trs.texas.gov,"Vista Equity, Thoma Bravo, Silver Lake",Tech & healthcare,Growth & buyout,$50M+,No,"Large and sophisticated; built strong internal team"
Florida State Board of Administration (SBA),Pension Fund,$250.0B,~9% PE (~$22.5B),"Tallahassee, FL, USA",Lamar Taylor,Interim Executive Director,linkedin.com/in/lamartaylor,,sbafla.com,"Blackstone, Apollo, Francisco Partners",Broad,Growth & buyout,$50M+,No,"Manages Florida Retirement System; conservative approach"
Washington State Investment Board (WSIB),Pension Fund,$180.0B,~25% PE (~$45B),"Olympia, WA, USA",Allyson Tucker,CIO,linkedin.com/in/allysontuckerwsib,,sib.wa.gov,"Sequoia, Andreessen Horowitz, General Atlantic, Madrona",Tech & healthcare,All stages — one of few pensions doing early-stage,$25M+,Yes,"One of the most VC-friendly pension funds; long history with venture; OPEN TO EMERGING MANAGERS"
Oregon Public Employees Retirement System (Oregon PERS/OIC),Pension Fund,$100.0B,~21% PE (~$21B),"Tigard, OR, USA",Rex Kim,CIO (Oregon State Treasury),linkedin.com/in/rexkim,,oregon.gov/treasury,"Sequoia, Kleiner Perkins, Andreessen Horowitz",Tech,All stages — strong early-stage,$15M+,Yes,"PIONEER of institutional VC investing; first pension to invest in VC (1970s); VERY open to emerging managers"
Colorado PERA,Pension Fund,$62.0B,~10% PE (~$6.2B),"Denver, CO, USA",Amy McGarrity,CIO,linkedin.com/in/amymcgarrity,,copera.org,"Foundry Group-connected, regional managers",Broad,Growth & buyout,$10M+,Unknown,"Moderate PE program; some VC exposure through fund-of-funds"
Virginia Retirement System (VRS),Pension Fund,$102.0B,~14% PE (~$14.3B),"Richmond, VA, USA",Ronald Schmitz,CIO,linkedin.com/in/ronaldschmitz,,varetire.org,"Carlyle, General Atlantic",Broad,Growth & buyout,$25M+,No,"Established program; prefers known managers"
Ohio State Teachers Retirement System (STRS Ohio),Pension Fund,$94.0B,~10% PE (~$9.4B),"Columbus, OH, USA",Matt Worley,CIO,linkedin.com/in/mattworley,,strsoh.org,"Drive Capital, NCT Ventures, Midwest managers",Broad with Midwest interest,Growth & buyout,$10M+,Unknown,"Has shown interest in Midwest venture; worth exploring"
Pennsylvania PSERS,Pension Fund,$73.0B,~15% PE (~$11B),"Harrisburg, PA, USA",James Grossman,CIO,linkedin.com/in/jamesgrossman,,psers.pa.gov,"Blackstone, Apollo",Broad,Buyout focus,$25M+,No,"Has faced scrutiny on fees; more conservative now"
State of Wisconsin Investment Board (SWIB),Pension Fund,$150.0B,~12% PE (~$18B),"Madison, WI, USA",Edwin Denson,Executive Director/CIO,linkedin.com/in/edwindenson,,swib.state.wi.us,"Adams Street, HarbourVest, established managers",Broad,Growth & buyout,$25M+,No,"Well-run pension; fully funded; prefers fund-of-funds for VC exposure"
Connecticut Retirement Plans & Trust Funds,Pension Fund,$45.0B,~11% PE (~$5B),"Hartford, CT, USA",Shawn Wooden,State Treasurer (political),linkedin.com/in/shawnwooden,,ott.ct.gov,"Fairview Capital (emerging manager program), diverse managers",Broad,All stages,$5M+,Yes,"Has EXPLICIT emerging manager program through Fairview Capital; STRONG opportunity"
Massachusetts PRIM,Pension Fund,$100.0B,~15% PE (~$15B),"Boston, MA, USA",Michael Trotsky,Executive Director & CIO,linkedin.com/in/michaeltrotsky,,mapension.com,"Battery Ventures, General Catalyst, Volition Capital",Tech & healthcare,All stages,$15M+,Yes,"Has emerging manager program; Boston ecosystem connection; worth pursuing"
New Jersey Division of Investment,Pension Fund,$95.0B,~13% PE (~$12.4B),"Trenton, NJ, USA",Corey Amon,Director,linkedin.com/in/coreyamon,,nj.gov/treasury/doinvest,"Blackstone, Apollo, diverse managers",Broad,Growth & buyout,$25M+,Unknown,"Has made some emerging manager commitments; politically influenced"
Illinois SURS,Pension Fund,$24.0B,~7% PE (~$1.7B),"Champaign, IL, USA",Various — board-driven,,,,surs.org,"Midwest-focused managers, fund-of-funds",Broad,Growth & buyout,$5M+,Unknown,"Smaller PE program; uses consultants extensively"
Maryland State Retirement,Pension Fund,$68.0B,~12% PE (~$8.2B),"Baltimore, MD, USA",Andrew Palmer,CIO,linkedin.com/in/andrewpalmer-md,,sra.maryland.gov,"Emerging manager programs, diverse managers",Broad,Growth & buyout,$10M+,Yes,"Has emerging and diverse manager mandates; worth exploring"
Minnesota State Board of Investment (MSBI),Pension Fund,$135.0B,~12% PE (~$16.2B),"St. Paul, MN, USA",Mansco Perry,Executive Director,linkedin.com/in/manscoperry,,msbi.state.mn.us,"Adams Street, HarbourVest",Broad,Growth & buyout,$15M+,Unknown,"Conservative approach; primarily through fund-of-funds"
Michigan Retirement Systems (SMRS),Pension Fund,$96.0B,~14% PE (~$13.4B),"Lansing, MI, USA",Jon Braeutigam,CIO,linkedin.com/in/jonbraeutigam,,michigan.gov/treasury,"RPM Ventures, Midwest managers, established GPs",Broad with Midwest tilt,All stages,$10M+,Yes,"Emerging manager interest; Midwest venture interest; worth pursuing"
Ford Foundation,Foundation,$16.0B,~20% MRI/PE (~$3.2B),"New York, NY, USA",Eric Doppstadt,CIO,linkedin.com/in/ericdoppstadt,,fordfoundation.org,"Mission-aligned VCs, impact-focused managers",Social impact & equity,All stages — mission-aligned,$5M+,Yes,"Pioneer of Mission-Related Investments (MRI); VERY interested in diverse/emerging managers with social impact thesis"
Rockefeller Foundation,Foundation,$6.0B,~15% PE/VC (~$900M),"New York, NY, USA",CIO (rotates),,,,rockefellerfoundation.org,"Impact VCs, climate-focused managers",Climate & health equity,All stages,$3M+,Yes,"Strong impact investing mandate; interested in innovative emerging managers"
John D. and Catherine T. MacArthur Foundation,Foundation,$8.0B,~18% PE/VC (~$1.4B),"Chicago, IL, USA",Susan Manske,VP & CIO,linkedin.com/in/susanmanske,,macfound.org,"Impact-oriented managers, diverse VCs",Social impact & climate,All stages,$3M+,Yes,"Impact investing pioneer; has backed emerging managers with diverse/impact focus"
William and Flora Hewlett Foundation,Foundation,$12.2B,~18% PE/VC (~$2.2B),"Menlo Park, CA, USA",Ana Marshall,CIO,linkedin.com/in/anamarshall,,hewlett.org,"Silicon Valley VCs, climate tech managers",Climate & education,All stages,$5M+,Unknown,"Menlo Park location = Silicon Valley connections; climate investing interest"
David and Lucile Packard Foundation,Foundation,$8.0B,~20% PE/VC (~$1.6B),"Los Altos, CA, USA",Investment Committee,,,,packard.org,"Silicon Valley VCs, sustainability-focused managers",Conservation & science,All stages,$5M+,Unknown,"Silicon Valley heritage; conservation/science focus"
Andrew W. Mellon Foundation,Foundation,$8.3B,~15% PE/VC (~$1.2B),"New York, NY, USA",Michele Warman (interim),General Counsel/interim investment,linkedin.com/in/michelewarman,,mellon.org,"Diversified PE managers",Arts & humanities (mission) / broad (investing),Growth & buyout,$5M+,Unknown,"More traditional investment approach; arts/humanities mission"
Carnegie Corporation of New York,Foundation,$4.3B,~15% PE/VC (~$645M),"New York, NY, USA",Kim Lew (former CIO),CIO,linkedin.com/in/kimlew,,carnegie.org,"Diverse manager set",Education & democracy (mission),All stages,$3M+,Yes,"Has shown interest in diverse and emerging managers"
Kresge Foundation,Foundation,$4.2B,~15% PE/VC (~$630M),"Troy, MI, USA",Robert Manilla,VP & CIO,linkedin.com/in/robertmanilla,,kresge.org,"Impact-oriented managers, community development",Social impact & climate,All stages,$3M+,Yes,"Strong social investing mandate; interested in emerging impact managers"
Bloomberg Philanthropies,Foundation,$10.0B+,~10% PE/VC (~$1B),"New York, NY, USA",Investment team (Bloomberg LP-connected),,,,bloomberg.org,"Bloomberg-connected managers",Climate & public health,Growth,$5M+,Unknown,"Investment managed closely with Bloomberg LP; data-driven approach"
W.K. Kellogg Foundation,Foundation,$8.5B,~18% PE/VC (~$1.5B),"Battle Creek, MI, USA",Joel Wittenberg,VP & CIO,linkedin.com/in/joelwittenberg,,wkkf.org,"Mission-driven managers, racial equity-focused VCs",Racial equity & children/families,All stages,$3M+,Yes,"STRONG emerging/diverse manager mandate; racial equity focus; EXCELLENT opportunity"
Robert Wood Johnson Foundation,Foundation,$13.7B,~15% PE/VC (~$2.1B),"Princeton, NJ, USA",Brian O'Neil,CIO,linkedin.com/in/brianoneil-rwjf,,rwjf.org,"Healthcare VCs, health equity managers",Healthcare & health equity,All stages,$5M+,Yes,"Largest US health-focused foundation; interested in health equity-focused emerging managers"
John S. and James L. Knight Foundation,Foundation,$2.8B,~15% PE/VC (~$420M),"Miami, FL, USA",Juan Martinez,VP & CIO,linkedin.com/in/juanmartinez-knight,,knightfoundation.org,"Media/journalism tech managers",Media & journalism & community,Early-stage,$2M+,Yes,"Interested in innovative emerging managers; media/tech intersection"
Walton Family Foundation,Foundation,$5.0B+,~12% PE/VC (~$600M),"Bentonville, AR, USA",Investment team (Walton Enterprises),,,,waltonfamilyfoundation.org,"Education & environment managers",Education & environment,All stages,$3M+,Unknown,"Connected to Walton Enterprises ($200B+ family office); foundation is smaller piece"
Simons Foundation,Foundation,$5.0B,~20% PE/VC (~$1.0B),"New York, NY, USA",Investment team (Renaissance Technologies-connected),,,,simonsfoundation.org,"Quantitative/math-driven managers",Math & science & autism research,All stages,$5M+,Unknown,"Connected to Jim Simons / Renaissance Technologies; quantitative orientation"
Gordon and Betty Moore Foundation,Foundation,$8.1B,~15% PE/VC (~$1.2B),"Palo Alto, CA, USA",Investment Committee,,,,moore.org,"Science & environment VCs",Science & environment & patient care,All stages,$5M+,Unknown,"Intel co-founder legacy; science/tech orientation"
Bill & Melinda Gates Foundation Trust,Foundation,$70.0B,~10% PE/VC (~$7B),"Seattle, WA, USA",Michael Larson (Cascade Investment),CIO (via Cascade),linkedin.com/in/michaellarson-cascade,,gatesfoundation.org,"Large established managers, Cascade-directed",Global health & development (mission) / broad (investing),Growth & late-stage,$50M+,No,"Managed by Cascade Investment (Gates family office); very institutional; not accessible for emerging managers"
Lilly Endowment,Foundation,$18.4B,~10% PE/VC (~$1.8B),"Indianapolis, IN, USA",Investment Committee,,,,lillyendowment.org,"Eli Lilly-connected, Midwest managers",Education & religion & community (mission),Broad,$5M+,Unknown,"Very concentrated in Eli Lilly stock; Indiana-focused grantmaking; quiet investor"
Wellcome Trust,Foundation,$38.0B,~15% PE/VC (~$5.7B),"London, UK",Nick Moakes,CIO,linkedin.com/in/nickmoakes,,wellcome.org,"Syncona, healthcare/biotech VCs globally",Healthcare & life sciences,All stages,$10M+,Yes,"One of the world's largest foundations; strong healthcare/biotech VC interest; has backed emerging healthcare managers"
HarbourVest Partners,Fund-of-Funds,$115.0B,100% PE/VC,"Boston, MA, USA",John Toomey,Managing Director,linkedin.com/in/johntoomey-hv,,harbourvest.com,"Invests across 100s of VC/PE funds globally",Broad,All stages,$5M+ (underlying),"Yes","Major FoF; has emerging manager program; wide mandate"
Adams Street Partners,Fund-of-Funds,$55.0B,100% PE/VC,"Chicago, IL, USA",Jeff Diehl,Managing Partner & CEO,linkedin.com/in/jeffdiehl,,adamsstreetpartners.com,"200+ GP relationships globally",Broad,All stages,$5M+ (underlying),"Yes","Strong emerging manager track record; systematic approach to finding new managers"
Horsley Bridge Partners,Fund-of-Funds,$20.0B+,100% VC-focused,"San Francisco, CA, USA",Robert Huret,Managing Director,linkedin.com/in/roberthuret,,horsleybridge.com,"Sequoia, Benchmark, Greylock, Accel — top-tier VC access",Tech-heavy,Early-stage focus,$5M+,Yes,"One of the most VC-focused FoFs; strong early-stage orientation; has backed emerging managers"
Pantheon,Fund-of-Funds,$90.0B,100% PE/VC,"London / San Francisco",Paul Ward,Partner & CEO,linkedin.com/in/paulward-pantheon,,pantheon.com,"Global PE/VC fund portfolio",Broad — global focus,All stages,$5M+,Yes,"Global FoF with emerging manager interest; offices worldwide"
StepStone Group,Fund-of-Funds,$155.0B,100% PE/VC/Infra/RE,"New York, NY, USA",Scott Hart,CEO,linkedin.com/in/scotthart-stepstone,,stepstonegroup.com,"700+ GP relationships; absorbed Greenspring Associates",Broad,All stages,$5M+,Yes,"Public company; acquired Greenspring (VC specialist); has dedicated emerging manager program"
Hamilton Lane,Fund-of-Funds,$920.0B AUA,100% PE/VC (advisory + direct),"Bala Cynwyd, PA, USA",Mario Giannini,CEO,linkedin.com/in/mariogiannini,,hamiltonlane.com,"1000+ GP relationships; advisory to pensions/endowments",Broad,All stages,$5M+,Yes,"Public company; both advisory and direct fund investing; strong emerging manager data & program"
Greenspring Associates (now part of StepStone),Fund-of-Funds,$19.0B (pre-acquisition),100% VC-focused,"Baltimore, MD, USA",Ashton Newhall,Co-Founder (now at StepStone),linkedin.com/in/ashtonnewhall,,stepstonegroup.com,"Pure VC FoF; backed many emerging VC managers",Tech & healthcare,Early-stage focus,$3M+,Yes,"VC-SPECIALIST FoF; historically one of the best for emerging VC managers; now part of StepStone"
Top Tier Capital Partners,Fund-of-Funds,$8.0B,100% VC-focused,"San Francisco, CA, USA",Phil Paul,Founder & Managing Partner,linkedin.com/in/philpaul,,toptiercapital.com,"VC-only portfolio; backed emerging and diverse managers",Tech,Early-stage focus,$2M+,Yes,"EXCELLENT for emerging VC managers; VC-only mandate; Phil Paul very accessible"
Industry Ventures,Fund-of-Funds,$6.0B,100% VC-focused,"San Francisco, CA, USA",Hans Swildens,Founder & Managing Partner,linkedin.com/in/hansswildens,,industryventures.com,"VC secondaries & primary commitments; emerging managers",Tech,Early-stage & secondaries,$2M+,Yes,"VC specialist; secondary market pioneer; very open to emerging managers"
Cendana Capital,Fund-of-Funds,$3.0B,100% seed/pre-seed VC-focused,"San Francisco, CA, USA",Michael Kim,Founder & Managing Partner,linkedin.com/in/michaelkimcendana,,cendanacapital.com,"Backed 50+ seed-stage managers: Lowercase, Homebrew, Precursor, etc.",Tech — seed-stage,Seed/Pre-seed focus,$500K-$5M,Yes,"PREMIER emerging seed-stage manager backer; Michael Kim is the go-to for new seed funds; CRITICAL TARGET"
Sapphire Partners (Sapphire Ventures LP program),Fund-of-Funds,$3.5B (LP program),100% VC-focused,"Palo Alto, CA, USA",Beezer Clarkson,Managing Director,linkedin.com/in/beezerclarkson,,sapphireventures.com/lp-program,"Backed many emerging VC managers globally",Tech — enterprise & consumer,Early-stage focus,$2M+,Yes,"Beezer Clarkson is the most connected person in emerging manager VC LP world; MUST CONTACT; runs Sapphire's LP program"
Vintage Investment Partners,Fund-of-Funds,$5.5B,100% VC-focused,"Herzliya, Israel / USA",Alan Feld,Managing Partner,linkedin.com/in/alanfeld,,vintage-ip.com,"Israel & global VC managers; secondary deals",Tech — Israel ecosystem,Early & growth,$2M+,Yes,"Israel VC specialist but invests globally; interested in emerging managers with unique angle"
LGT Capital Partners,Fund-of-Funds,$18.0B (PE/VC),100% PE/VC,"Pfäffikon, Switzerland",Tycho Sneyers,Managing Partner (PE),linkedin.com/in/tychosneyers,,lgtcp.com,"Global PE/VC portfolio; European and US managers",Broad — global,All stages,$5M+,Yes,"Liechtenstein royal family-backed; global mandate; has emerging manager interest"
abrdn (formerly Aberdeen Standard),Fund-of-Funds,$15.0B (PE),PE/VC allocation within larger platform,"Edinburgh, UK / Philadelphia",Alan Gauld,Head of PE,linkedin.com/in/alangauld,,abrdn.com,"Global PE/VC manager portfolio",Broad,All stages,$5M+,Unknown,"Large asset manager; PE FoF within bigger platform"
Partners Group,Fund-of-Funds,$147.0B,100% private markets,"Baar, Switzerland",David Layton,CEO,linkedin.com/in/davidlayton,,partnersgroup.com,"700+ programs; direct deals + fund commitments",Broad — global,Growth & buyout focus,$10M+,No,"Very institutional; primarily growth/buyout; less early-stage VC"
Neuberger Berman Private Markets,Fund-of-Funds,$120.0B (private markets),PE/VC allocation,"New York, NY, USA",Tony Tutrone,Global Head of NB Alternatives,linkedin.com/in/tonytutrone,,nb.com,"Large institutional GP relationships",Broad,Growth & buyout,$10M+,Unknown,"Large alternatives platform; primarily buyout/growth"
